year,month,total
2016,1,336123
2016,2,338896
2016,3,341111
2016,4,343447
2016,5,345498
2016,6,348402
2016,7,351775
2016,8,357388
2016,9,362080
2016,10,366695
2016,11,372172
2016,12,375697
2017,1,379046
2017,2,383998
2017,3,387341
2017,4,389354
2017,5,391722
2017,6,394871
2017,7,398490
2017,8,403900
2017,9,408366
2017,10,412643
2017,11,419385
2017,12,423285
2018,1,428556
2018,2,431617
2018,3,434588
2018,4,436973
2018,5,439338
2018,6,442048
2018,7,446026
2018,8,451493
2018,9,456087
2018,10,460954
2018,11,469507
2018,12,472882
2019,1,476855
2019,2,479923
2019,3,482875
2019,4,485102
2019,5,487658
2019,6,490487
2019,7,495289
2019,8,500648
2019,9,505546
2019,10,510326
2019,11,519229
2019,12,522816
2020,1,527391
2020,2,530732
2020,3,533402
2020,4,535406
2020,5,537748
2020,6,541470
2020,7,547114
2020,8,553483
2020,9,559647
2020,10,565328
2020,11,575019
2020,12,581163
2021,1,587318
2021,2,591771
2021,3,596313
2021,4,599369
2021,5,602650
2021,6,607356
2021,7,614602
2021,8,622752
2021,9,630261
2021,10,636472
2021,11,647930
2021,12,652972
2022,1,657857
2022,2,660742
2022,3,664185
2022,4,668900
2022,5,676445
2022,6,680607
2022,7,684260
2022,8,689054
2022,9,694579
2022,10,697975
2022,11,703858
2022,12,706437
2023,1,709086
2023,2,711326
2023,3,714110
2023,4,716721
2023,5,718554
2023,6,720207
2023,7,722293
