year,month,ag,ai,ar,be,bl,bs,fr,ge,gl,gr,ju,lu,ne,nw,ow,sg,sh,so,sz,tg,ti,ur,vd,vs,zg,zh,
2016,1,21162,219,1276,30365,9441,3297,6328,9075,1060,3127,971,6789,5263,681,547,9893,2663,8973,2819,8222,6450,398,22093,5462,2398,35896,1443
2016,2,21351,218,1287,30644,9495,3323,6392,9135,1071,3165,977,6848,5303,684,549,9971,2680,9047,2847,8288,6515,401,22291,5542,2422,36151,1443
2016,3,21518,221,1299,30870,9555,3338,6475,9192,1082,3181,982,6887,5354,686,555,10043,2705,9105,2853,8358,6587,402,22460,5617,2436,36368,1454
2016,4,21642,225,1304,31100,9614,3369,6537,9254,1097,3215,988,6946,5385,692,557,10123,2727,9168,2874,8404,6660,402,22670,5681,2443,36580,1471
2016,5,21768,226,1315,31283,9647,3379,6570,9309,1106,3241,995,6997,5422,702,561,10200,2750,9211,2889,8454,6706,400,22837,5734,2456,36760,1481
2016,6,21926,229,1321,31492,9721,3399,6629,9378,1114,3279,1009,7050,5461,708,565,10275,2778,9290,2914,8526,6777,401,23027,5787,2473,37033,1496
2016,7,22060,233,1328,31780,9782,3428,6688,9457,1126,3302,1019,7119,5517,712,566,10361,2799,9363,2938,8579,6842,404,23235,5854,2497,37345,1513
2016,8,22417,240,1342,32315,9912,3474,6832,9572,1145,3359,1032,7239,5577,721,573,10532,2848,9501,2993,8711,6930,411,23582,5961,2526,37899,1535
2016,9,22680,246,1355,32727,10026,3513,6909,9657,1167,3395,1049,7331,5634,733,585,10670,2893,9620,3023,8833,7001,414,23834,6049,2562,38409,1554
2016,10,22969,249,1376,33124,10128,3554,7021,9740,1181,3456,1065,7427,5687,747,593,10832,2930,9735,3057,8963,7120,418,24098,6128,2591,38919,1586
2016,11,23288,253,1399,33644,10267,3603,7137,9856,1202,3533,1075,7545,5776,763,599,11016,2981,9867,3112,9100,7227,426,24430,6229,2632,39445,1610
2016,12,23513,258,1413,33954,10350,3630,7217,9951,1219,3568,1090,7631,5821,772,606,11122,3002,9957,3139,9195,7315,430,24645,6318,2661,39800,1622
2017,1,23722,260,1429,34273,10435,3666,7303,10033,1237,3593,1102,7711,5876,779,612,11244,3040,10037,3170,9283,7408,439,24868,6396,2700,40184,1638
2017,2,23976,268,1451,34743,10564,3699,7450,10131,1258,3651,1111,7815,5967,789,620,11390,3074,10154,3227,9408,7521,442,25230,6497,2725,40588,1654
2017,3,24207,272,1468,35046,10648,3732,7533,10193,1267,3696,1127,7881,6028,796,626,11510,3101,10248,3260,9487,7613,447,25521,6583,2749,40889,1675
2017,4,24322,270,1473,35244,10691,3744,7584,10243,1271,3718,1134,7919,6059,802,636,11581,3126,10297,3291,9543,7686,454,25727,6642,2755,41101,1679
2017,5,24445,271,1486,35407,10737,3763,7649,10315,1275,3746,1138,7966,6097,811,641,11654,3141,10361,3316,9600,7742,456,25919,6695,2767,41327,1693
2017,6,24604,272,1497,35648,10802,3796,7730,10399,1280,3778,1150,8028,6129,816,653,11748,3164,10405,3355,9653,7816,457,26135,6769,2782,41617,1699
2017,7,24781,273,1511,35919,10854,3814,7795,10491,1293,3796,1162,8082,6169,823,664,11848,3181,10464,3380,9732,7891,462,26319,6834,2803,41888,1713
2017,8,25110,276,1542,36408,10967,3850,7892,10579,1315,3864,1172,8189,6239,828,672,12019,3221,10595,3419,9889,7974,470,26654,6922,2836,42334,1740
2017,9,25374,277,1563,36742,11079,3881,7981,10663,1323,3915,1195,8277,6293,834,676,12139,3254,10684,3459,10002,8069,475,26898,7019,2870,42773,1759
2017,10,25615,280,1585,37136,11183,3920,8070,10745,1338,3949,1205,8377,6357,839,680,12275,3285,10800,3491,10102,8182,486,27177,7127,2899,43100,1779
2017,11,25961,290,1623,37679,11318,3954,8203,10857,1353,4032,1214,8512,6431,849,700,12484,3338,10938,3557,10271,8310,494,27545,7303,2944,43608,1800
2017,12,26167,289,1634,38108,11423,3971,8298,10942,1364,4078,1232,8596,6485,855,709,12623,3354,11016,3580,10354,8426,500,27828,7391,2967,43970,1822
2018,1,26483,293,1660,38579,11532,4019,8451,11091,1378,4153,1264,8745,6556,867,718,12816,3396,11144,3641,10489,8567,516,28196,7527,2999,44497,1849
2018,2,26677,298,1673,38848,11593,4041,8528,11173,1390,4200,1277,8817,6613,869,726,12918,3414,11236,3678,10574,8659,524,28419,7623,3023,44830,1860
2018,3,26839,302,1686,39097,11655,4072,8588,11241,1398,4246,1296,8880,6669,885,731,13009,3427,11321,3696,10644,8750,527,28673,7703,3052,45110,1869
2018,4,26990,303,1697,39306,11695,4088,8666,11295,1405,4277,1303,8936,6714,891,733,13087,3448,11374,3724,10703,8834,527,28889,7779,3069,45359,1878
2018,5,27094,306,1708,39498,11740,4104,8715,11355,1411,4305,1315,8968,6740,896,740,13150,3466,11428,3735,10757,8903,532,29095,7852,3082,45567,1891
2018,6,27222,308,1719,39679,11792,4122,8777,11429,1418,4332,1328,9013,6773,902,741,13215,3504,11476,3746,10808,8961,536,29313,7910,3098,45811,1906
2018,7,27415,312,1736,39996,11870,4154,8881,11528,1425,4375,1334,9063,6813,903,747,13309,3528,11543,3772,10883,9047,544,29588,8010,3116,46095,1917
2018,8,27690,314,1768,40441,11982,4194,8982,11627,1442,4444,1344,9161,6886,913,753,13473,3567,11660,3823,11007,9142,547,29870,8093,3133,46582,1935
2018,9,27969,318,1797,40823,12086,4225,9075,11702,1457,4488,1360,9273,6937,922,756,13614,3599,11774,3850,11094,9235,555,30158,8170,3153,47040,1964
2018,10,28250,325,1826,41215,12173,4270,9204,11807,1470,4546,1377,9377,7001,941,768,13756,3624,11879,3895,11218,9364,562,30480,8269,3189,47447,1981
2018,11,28671,341,1864,42022,12331,4330,9433,11946,1504,4657,1412,9560,7099,957,783,14023,3702,12054,4001,11434,9544,567,31044,8477,3227,48027,2026
2018,12,28862,342,1886,42297,12405,4356,9531,12040,1510,4691,1426,9640,7152,968,792,14127,3720,12132,4038,11502,9655,570,31305,8559,3256,48330,2040
2019,1,29065,344,1902,42667,12520,4389,9651,12127,1522,4721,1446,9730,7216,976,808,14238,3742,12219,4068,11601,9780,577,31589,8657,3289,48689,2066
2019,2,29249,348,1909,42942,12599,4420,9729,12193,1527,4755,1452,9797,7270,983,818,14352,3756,12310,4101,11689,9881,584,31812,8758,3314,48957,2081
2019,3,29420,352,1917,43165,12665,4453,9822,12270,1535,4794,1474,9846,7324,986,825,14456,3787,12389,4133,11756,9955,591,32058,8831,3326,49251,2100
2019,4,29554,353,1925,43356,12718,4484,9902,12332,1539,4818,1493,9899,7369,991,834,14513,3807,12426,4157,11799,10039,596,32263,8913,3342,49498,2116
2019,5,29673,354,1942,43547,12766,4520,9969,12405,1548,4848,1509,9950,7412,997,842,14570,3821,12472,4173,11857,10118,602,32449,8992,3345,49731,2134
2019,6,29796,357,1957,43734,12825,4541,10024,12468,1551,4877,1524,10008,7461,1004,846,14650,3840,12506,4194,11917,10165,611,32644,9062,3361,49922,2147
2019,7,29987,363,1982,44107,12919,4583,10121,12544,1565,4930,1555,10109,7517,1011,847,14766,3863,12593,4225,12016,10282,619,32905,9172,3394,50302,2162
2019,8,30268,370,2005,44563,13023,4615,10238,12636,1580,4979,1573,10226,7572,1026,858,14970,3912,12717,4264,12132,10373,624,33192,9289,3411,50737,2188
2019,9,30542,374,2035,44959,13126,4650,10373,12719,1595,5033,1599,10323,7633,1043,863,15134,3934,12806,4289,12256,10476,632,33489,9431,3451,51142,2217
2019,10,30801,378,2056,45347,13218,4675,10499,12838,1607,5087,1630,10432,7685,1053,874,15292,3974,12898,4335,12363,10603,641,33771,9548,3475,51534,2227
