year,month,count
2016,1,3071
2016,2,1229
2016,3,3621
2016,4,8361
2016,5,9374
2016,6,5523
2016,7,4727
2016,8,6010
2016,9,3465
2016,10,1530
2016,11,756
2016,12,644
2017,1,3032
2017,2,1509
2017,3,4254
2017,4,9121
2017,5,8883
2017,6,5227
2017,7,5381
2017,8,5523
2017,9,3521
2017,10,1614
2017,11,844
2017,12,623
2018,1,2841
2018,2,1397
2018,3,3547
2018,4,8037
2018,5,10882
2018,6,5875
2018,7,5045
2018,8,5095
2018,9,2802
2018,10,1337
2018,11,801
2018,12,645
2019,1,2373
2019,2,1557
2019,3,4265
2019,4,9672
2019,5,9592
2019,6,5653
2019,7,5220
2019,8,6332
2019,9,3571
2019,10,1724
2019,11,878
2019,12,645
2020,1,2177
2020,2,1462
2020,3,3915
2020,4,11115
2020,5,11639
2020,6,6406
2020,7,6448
2020,8,7268
2020,9,4845
2020,10,2170
2020,11,1057
2020,12,724
2021,1,1825
2021,2,2091
2021,3,6222
2021,4,12636
2021,5,10214
2021,6,6735
2021,7,7157
2021,8,7762
2021,9,4526
2021,10,1940
2021,11,1008
2021,12,739
2022,1,1203
2022,2,1720
2022,3,3817
2022,4,8093
2022,5,10225
2022,6,6165
2022,7,5481
2022,8,4628
2022,9,2815
2022,10,1243
2022,11,720
2022,12,546
2023,1,561
2023,2,969
2023,3,1989
2023,4,3102
2023,5,1329
2023,6,117
2023,7,9
