year,month,breed,n_animals
2016,1,Abyssiniane,1376.0
2016,2,Abyssiniane,1376.0
2016,3,Abyssiniane,1378.0
2016,4,Abyssiniane,1381.0
2016,5,Abyssiniane,1382.0
2016,6,Abyssiniane,1392.0
2016,7,Abyssiniane,1404.0
2016,8,Abyssiniane,1420.0
2016,9,Abyssiniane,1423.0
2016,10,Abyssiniane,1432.0
2016,11,Abyssiniane,1444.0
2016,12,Abyssiniane,1449.0
2017,1,Abyssiniane,1452.0
2017,2,Abyssiniane,1461.0
2017,3,Abyssiniane,1470.0
2017,4,Abyssiniane,1478.0
2017,5,Abyssiniane,1484.0
2017,6,Abyssiniane,1495.0
2017,7,Abyssiniane,1504.0
2017,8,Abyssiniane,1524.0
2017,9,Abyssiniane,1536.0
2017,10,Abyssiniane,1549.0
2017,11,Abyssiniane,1562.0
2017,12,Abyssiniane,1564.0
2018,1,Abyssiniane,1577.0
2018,2,Abyssiniane,1579.0
2018,3,Abyssiniane,1580.0
2018,4,Abyssiniane,1582.0
2018,5,Abyssiniane,1587.0
2018,6,Abyssiniane,1588.0
2018,7,Abyssiniane,1604.0
2018,8,Abyssiniane,1610.0
2018,9,Abyssiniane,1626.0
2018,10,Abyssiniane,1629.0
2018,11,Abyssiniane,1642.0
2018,12,Abyssiniane,1646.0
2019,1,Abyssiniane,1652.0
2019,2,Abyssiniane,1657.0
2019,3,Abyssiniane,1663.0
2019,4,Abyssiniane,1669.0
2019,5,Abyssiniane,1675.0
2019,6,Abyssiniane,1687.0
2019,7,Abyssiniane,1700.0
2019,8,Abyssiniane,1707.0
2019,9,Abyssiniane,1717.0
2019,10,Abyssiniane,1723.0
2019,11,Abyssiniane,1733.0
2019,12,Abyssiniane,1731.0
2020,1,Abyssiniane,1733.0
2020,2,Abyssiniane,1737.0
2020,3,Abyssiniane,1740.0
2020,4,Abyssiniane,1749.0
2020,5,Abyssiniane,1760.0
2020,6,Abyssiniane,1778.0
2020,7,Abyssiniane,1786.0
2020,8,Abyssiniane,1789.0
2020,9,Abyssiniane,1795.0
2020,10,Abyssiniane,1811.0
2020,11,Abyssiniane,1816.0
2020,12,Abyssiniane,1824.0
2021,1,Abyssiniane,1840.0
2021,2,Abyssiniane,1839.0
2021,3,Abyssiniane,1847.0
2021,4,Abyssiniane,1857.0
2021,5,Abyssiniane,1863.0
2021,6,Abyssiniane,1873.0
2021,7,Abyssiniane,1896.0
2021,8,Abyssiniane,1901.0
2021,9,Abyssiniane,1905.0
2021,10,Abyssiniane,1914.0
2021,11,Abyssiniane,1928.0
2021,12,Abyssiniane,1938.0
2022,1,Abyssiniane,1948.0
2022,2,Abyssiniane,1957.0
2022,3,Abyssiniane,1961.0
2022,4,Abyssiniane,1981.0
2022,5,Abyssiniane,1999.0
2022,6,Abyssiniane,2010.0
2022,7,Abyssiniane,2017.0
2022,8,Abyssiniane,2013.0
2022,9,Abyssiniane,2024.0
2022,10,Abyssiniane,2028.0
2022,11,Abyssiniane,2042.0
2022,12,Abyssiniane,2043.0
2023,1,Abyssiniane,2042.0
2023,2,Abyssiniane,2051.0
2023,3,Abyssiniane,2073.0
2023,4,Abyssiniane,2083.0
2023,5,Abyssiniane,2083.0
2023,6,Abyssiniane,2081.0
2023,7,Abyssiniane,2081.0
2016,1,Aegean Cat,0.0
2016,2,Aegean Cat,0.0
2016,3,Aegean Cat,0.0
2016,4,Aegean Cat,0.0
2016,5,Aegean Cat,0.0
2016,6,Aegean Cat,0.0
2016,7,Aegean Cat,0.0
2016,8,Aegean Cat,0.0
2016,9,Aegean Cat,0.0
2016,10,Aegean Cat,0.0
2016,11,Aegean Cat,0.0
2016,12,Aegean Cat,0.0
2017,1,Aegean Cat,0.0
2017,2,Aegean Cat,0.0
2017,3,Aegean Cat,0.0
2017,4,Aegean Cat,0.0
2017,5,Aegean Cat,0.0
2017,6,Aegean Cat,0.0
2017,7,Aegean Cat,0.0
2017,8,Aegean Cat,0.0
2017,9,Aegean Cat,0.0
2017,10,Aegean Cat,0.0
2017,11,Aegean Cat,0.0
2017,12,Aegean Cat,0.0
2018,1,Aegean Cat,0.0
2018,2,Aegean Cat,0.0
2018,3,Aegean Cat,0.0
2018,4,Aegean Cat,0.0
2018,5,Aegean Cat,0.0
2018,6,Aegean Cat,0.0
2018,7,Aegean Cat,0.0
2018,8,Aegean Cat,0.0
2018,9,Aegean Cat,0.0
2018,10,Aegean Cat,0.0
2018,11,Aegean Cat,0.0
2018,12,Aegean Cat,0.0
2019,1,Aegean Cat,0.0
2019,2,Aegean Cat,0.0
2019,3,Aegean Cat,0.0
2019,4,Aegean Cat,0.0
2019,5,Aegean Cat,0.0
2019,6,Aegean Cat,0.0
2019,7,Aegean Cat,0.0
2019,8,Aegean Cat,0.0
2019,9,Aegean Cat,0.0
2019,10,Aegean Cat,0.0
2019,11,Aegean Cat,0.0
2019,12,Aegean Cat,0.0
2020,1,Aegean Cat,0.0
2020,2,Aegean Cat,0.0
2020,3,Aegean Cat,0.0
2020,4,Aegean Cat,0.0
2020,5,Aegean Cat,0.0
2020,6,Aegean Cat,0.0
2020,7,Aegean Cat,0.0
2020,8,Aegean Cat,0.0
2020,9,Aegean Cat,0.0
2020,10,Aegean Cat,0.0
2020,11,Aegean Cat,0.0
2020,12,Aegean Cat,0.0
2021,1,Aegean Cat,0.0
2021,2,Aegean Cat,0.0
2021,3,Aegean Cat,0.0
2021,4,Aegean Cat,0.0
2021,5,Aegean Cat,0.0
2021,6,Aegean Cat,0.0
2021,7,Aegean Cat,0.0
2021,8,Aegean Cat,0.0
2021,9,Aegean Cat,0.0
2021,10,Aegean Cat,0.0
2021,11,Aegean Cat,0.0
2021,12,Aegean Cat,0.0
2022,1,Aegean Cat,0.0
2022,2,Aegean Cat,0.0
