year,month,ag,ai,ar,be,bl,bs,fr,ge,gl,gr,ju,lu,ne,nw,ow,sg,sh,so,sz,tg,ti,ur,vd,vs,zg,zh,
2016,1,33744,343,1984,46920,14847,4689,10965,20082,1615,4618,1414,10374,9141,1082,858,14871,5143,16025,4327,12907,9288,654,40593,8357,3667,55355,2260
2016,2,33995,343,1998,47368,14945,4723,11073,20212,1627,4679,1423,10468,9215,1088,858,15014,5171,16163,4366,13004,9379,660,40889,8484,3703,55785,2263
2016,3,34263,347,2011,47598,15043,4735,11196,20340,1648,4721,1437,10545,9279,1083,867,15102,5202,16257,4380,13113,9484,659,41153,8589,3725,56057,2277
2016,4,34450,352,2019,47944,15126,4782,11288,20465,1667,4775,1443,10620,9337,1100,868,15221,5231,16352,4412,13190,9576,660,41494,8673,3738,56365,2299
2016,5,34680,352,2040,48201,15169,4801,11350,20625,1681,4810,1454,10697,9394,1111,875,15325,5261,16441,4433,13263,9658,657,41765,8752,3760,56630,2313
2016,6,34960,359,2046,48607,15274,4838,11463,20797,1692,4868,1475,10790,9470,1130,885,15471,5303,16623,4472,13363,9759,658,42114,8846,3786,57014,2339
2016,7,35195,363,2063,49111,15373,4885,11624,20996,1714,4888,1489,10886,9597,1151,888,15662,5333,16805,4512,13499,9881,666,42472,8938,3832,57578,2374
2016,8,35817,373,2094,50086,15592,4954,11866,21237,1742,4970,1503,11103,9694,1165,897,15929,5414,17061,4586,13686,10039,675,43077,9088,3888,58438,2414
2016,9,36280,382,2110,50749,15775,5022,12022,21445,1778,5028,1534,11268,9818,1176,916,16141,5495,17277,4640,13898,10147,681,43565,9254,3952,59274,2453
2016,10,36733,386,2137,51386,15955,5082,12194,21651,1806,5109,1557,11422,9915,1214,932,16406,5565,17486,4689,14092,10314,689,44056,9392,3985,60046,2496
2016,11,37303,392,2174,52230,16181,5155,12348,21881,1836,5245,1584,11606,10044,1231,939,16693,5652,17748,4776,14293,10488,703,44647,9561,4053,60876,2533
2016,12,37652,398,2196,52739,16327,5193,12481,22041,1861,5303,1602,11738,10113,1250,951,16870,5679,17876,4827,14441,10627,706,45025,9703,4092,61451,2555
2017,1,37962,399,2220,53167,16477,5245,12606,22182,1884,5342,1622,11859,10199,1237,965,17051,5733,18004,4868,14563,10759,714,45375,9839,4144,62050,2580
2017,2,38405,413,2259,53919,16702,5292,12855,22389,1916,5427,1638,12028,10333,1266,975,17295,5775,18140,4961,14769,10961,722,46014,10040,4187,62713,2604
2017,3,38787,418,2280,54376,16824,5333,12994,22515,1934,5489,1657,12118,10421,1280,981,17461,5827,18241,5010,14910,11109,730,46421,10169,4221,63208,2627
2017,4,38946,415,2286,54629,16888,5352,13076,22640,1938,5514,1668,12175,10472,1277,995,17559,5857,18326,5056,14977,11207,736,46719,10252,4226,63532,2636
2017,5,39172,418,2305,54924,16951,5379,13192,22767,1944,5554,1681,12243,10523,1293,1004,17668,5882,18407,5094,15088,11301,739,47024,10392,4239,63881,2657
2017,6,39440,423,2320,55372,17052,5430,13328,22969,1954,5612,1700,12327,10582,1303,1025,17832,5928,18519,5154,15192,11449,740,47412,10507,4264,64365,2672
2017,7,39815,424,2343,55937,17162,5459,13507,23214,1982,5646,1720,12426,10662,1333,1039,17999,5961,18653,5202,15345,11566,748,47815,10625,4305,64904,2698
2017,8,40470,429,2396,56764,17362,5522,13644,23436,2013,5778,1734,12611,10808,1321,1054,18299,6038,18916,5270,15593,11685,774,48444,10754,4350,65697,2738
2017,9,40955,429,2424,57378,17554,5578,13796,23643,2036,5854,1762,12766,10922,1350,1059,18534,6113,19071,5333,15786,11810,782,48899,10922,4413,66432,2765
2017,10,41374,434,2467,58059,17728,5634,13949,23879,2057,5913,1778,12930,11021,1374,1065,18714,6162,19261,5390,15933,12009,786,49398,11098,4451,66979,2800
2017,11,42030,451,2527,59052,17989,5693,14211,24107,2087,6073,1799,13164,11163,1382,1097,19101,6274,19529,5520,16251,12236,801,50162,11368,4525,67950,2843
2017,12,42390,452,2549,59739,18153,5725,14372,24249,2103,6140,1833,13282,11262,1405,1112,19307,6308,19652,5567,16403,12401,811,50625,11479,4568,68527,2871
2018,1,42923,460,2593,60419,18334,5799,14609,24490,2124,6253,1874,13495,11360,1431,1128,19566,6376,19879,5657,16613,12591,835,51207,11696,4612,69321,2911
2018,2,43197,468,2611,60820,18410,5825,14746,24661,2145,6323,1892,13600,11465,1409,1140,19696,6396,20025,5709,16748,12712,847,51540,11830,4639,69836,2927
2018,3,43451,473,2632,61194,18510,5867,14839,24784,2156,6392,1919,13707,11554,1433,1146,19840,6424,20164,5732,16857,12848,842,51952,11937,4680,70311,2944
2018,4,43642,474,2653,61482,18572,5895,14974,24881,2168,6442,1933,13806,11620,1457,1155,19945,6450,20233,5768,16937,12966,842,52279,12052,4701,70687,2959
2018,5,43806,479,2674,61838,18646,5917,15054,25035,2180,6493,1952,13871,11681,1458,1158,20038,6501,20327,5785,17013,13069,859,52595,12189,4726,71020,2974
2018,6,44059,478,2689,62184,18744,5939,15175,25229,2194,6530,1971,13938,11742,1469,1157,20172,6556,20459,5802,17111,13183,868,52930,12305,4755,71413,2996
2018,7,44535,483,2721,62812,18865,5994,15390,25433,2207,6598,1983,14025,11825,1474,1164,20347,6605,20583,5849,17292,13338,871,53448,12463,4780,71927,3014
2018,8,45077,485,2765,63719,19101,6054,15615,25662,2228,6690,2003,14192,11976,1485,1180,20672,6681,20827,5950,17520,13476,882,53931,12591,4824,72864,3043
2018,9,45554,491,2817,64350,19265,6111,15775,25834,2251,6758,2020,14372,12090,1511,1190,20888,6738,21053,6004,17679,13652,894,54452,12718,4865,73654,3101
2018,10,46088,498,2860,65056,19398,6184,15982,26064,2273,6855,2049,14533,12234,1557,1211,21128,6785,21261,6092,17868,13861,904,54972,12881,4907,74321,3132
2018,11,46865,517,2967,66438,19672,6286,16402,26284,2340,7029,2100,14878,12421,1561,1233,21537,6927,21604,6251,18273,14145,913,55992,13221,4972,75459,3220
2018,12,47188,520,3000,66834,19786,6335,16576,26468,2352,7088,2117,15003,12520,1584,1245,21724,6955,21725,6300,18390,14316,918,56392,13345,5012,75939,3250
2019,1,47481,523,3028,67391,19979,6479,16767,26602,2372,7143,2148,15155,12639,1582,1268,21939,7002,21850,6349,18533,14484,928,56845,13508,5066,76503,3291
2019,2,47764,528,3036,67805,20122,6520,16855,26710,2381,7186,2167,15258,12714,1590,1282,22122,7024,21990,6396,18697,14632,935,57179,13658,5096,76970,3306
2019,3,48038,532,3051,68168,20241,6571,17009,26834,2394,7239,2194,15335,12810,1596,1293,22267,7053,22105,6435,18823,14729,946,57563,13765,5115,77439,3330
2019,4,48239,534,3067,68403,20315,6619,17103,26951,2404,7277,2220,15425,12867,1603,1305,22339,7074,22165,6471,18880,14837,954,57906,13887,5131,77773,3353
2019,5,48445,538,3101,68753,20393,6669,17216,27091,2408,7322,2290,15509,12936,1608,1318,22457,7097,22240,6497,18963,14982,969,58204,14003,5141,78131,3377
2019,6,48721,546,3126,69064,20505,6724,17320,27276,2415,7378,2333,15603,13037,1625,1325,22618,7138,22348,6525,19060,15054,991,58591,14124,5175,78471,3394
2019,7,49114,551,3167,69783,20685,6785,17500,27484,2440,7462,2381,15778,13140,1657,1324,22851,7195,22540,6576,19280,15245,1009,59143,14333,5237,79210,3419
2019,8,49664,555,3213,70612,20895,6838,17721,27727,2478,7541,2417,15955,13265,1662,1344,23199,7293,22755,6644,19504,15368,1013,59765,14501,5278,79974,3467
2019,9,50134,567,3265,71297,21061,6897,17928,27967,2504,7642,2460,16114,13421,1708,1356,23454,7315,22933,6681,19749,15525,1027,60325,14707,5338,80658,3513
2019,10,50588,572,3301,71935,21236,6934,18130,28202,2537,7732,2510,16291,13545,1738,1372,23710,7383,23082,6759,19919,15723,1043,60902,14892,5373,81378,3539
2019,11,51348,585,3363,73402,21589,7043,18579,28468,2592,7886,2587,16593,13789,1759,1398,24128,7514,23502,6902,20324,15997,1049,61950,15212,5426,82628,3616
2019,12,51697,588,3397,73838,21666,7070,18750,28651,2600,7939,2611,16753,13887,1761,1417,24312,7538,23642,6973,20495,16140,1047,62405,15360,5463,83174,3642
2020,1,52040,598,3428,74496,21853,7123,18940,28852,2635,8023,2656,16911,14004,1772,1431,24544,7584,23795,7043,20649,16352,1069,62946,15595,5509,83870,3673
2020,2,52339,601,3436,74956,21969,7151,19096,29004,2657,8068,2677,17023,14103,1785,1436,24718,7622,23896,7100,20811,16512,1080,63323,15773,5539,84341,3716
2020,3,52576,601,3443,75308,22054,7178,19234,29118,2662,8111,2707,17128,14181,1785,1438,24858,7651,24010,7140,20921,16636,1083,63676,15880,5564,84720,3739
2020,4,52762,602,3473,75516,22118,7201,19294,29218,2666,8150,2738,17199,14259,1778,1448,24939,7667,24078,7166,20998,16737,1091,63943,15982,5576,85044,3763
2020,5,52916,610,3485,75814,22170,7236,19415,29368,2674,8198,2761,17256,14331,1796,1452,25021,7678,24176,7192,21078,16874,1099,64359,16111,5589,85309,3780
2020,6,53243,610,3498,76231,22273,7290,19568,29634,2693,8265,2795,17350,14435,1806,1469,25240,7706,24330,7236,21209,17017,1113,64942,16244,5617,85840,3816
2020,7,53771,618,3537,76990,22459,7351,19832,29947,2722,8345,2857,17504,14559,1826,1488,25600,7769,24573,7306,21451,17229,1122,65698,16437,5656,86600,3867
2020,8,54322,629,3609,78028,22660,7416,20095,30204,2755,8466,2885,17703,14729,1846,1500,25925,7831,24819,7381,21743,17428,1124,66497,16646,5723,87591,3928
2020,9,54827,646,3676,78903,22868,7486,20445,30455,2786,8579,2943,17919,14895,1878,1524,26259,7895,25007,7473,22030,17598,1128,67298,16858,5791,88525,3955
2020,10,55320,643,3704,79683,23037,7542,20730,30737,2808,8678,3002,18125,15036,1878,1557,26539,7962,25234,7536,22297,17852,1151,67994,17095,5847,89323,4018
2020,11,56017,676,3774,81193,23334,7645,21224,31075,2850,8853,3055,18558,15345,1905,1577,27070,8053,25642,7723,22698,18169,1167,69173,17542,5933,90681,4087
2020,12,56405,676,3815,81737,23468,7708,21476,31292,2888,8925,3095,18733,15444,1923,1585,27286,8089,25776,7994,22887,18349,1181,71094,17757,6024,91416,4140
2021,1,56898,681,3863,82445,23603,7798,21725,31531,2924,9023,3136,18949,16254,1946,1596,27526,8157,25976,8051,23120,18593,1202,71830,17971,6101,92248,4171
2021,2,57319,687,3907,82989,23748,7863,21937,31790,2954,9094,3159,19126,16366,1956,1601,27759,8188,26144,8117,23315,18755,1226,72396,18169,6140,92855,4211
2021,3,57728,690,3948,83474,23903,7945,22167,31997,2975,9183,3204,19263,16516,1973,1620,27983,8203,26306,8188,23470,18975,1234,73093,18357,6171,93505,4242
2021,4,57990,698,3979,83820,23984,7970,22376,32144,2982,9237,3228,19367,16632,1978,1627,28122,8213,26386,8214,23558,19086,1245,73602,18528,6213,93923,4267
2021,5,58248,712,4010,84225,24073,8021,22525,32330,3003,9280,3276,19442,16716,1988,1638,28296,8260,26483,8242,23654,19242,1251,74142,18687,6243,94378,4285
2021,6,58622,725,4044,84786,24197,8103,22743,32601,3034,9335,3326,19605,16852,2031,1656,28502,8300,26618,8278,23832,19499,1273,74831,18870,6291,95082,4320
2021,7,59173,727,4097,85888,24384,8184,23088,32951,3059,9439,3390,19816,17035,2041,1680,28916,8413,26894,8377,24162,19771,1279,75666,19201,6348,96244,4379
2021,8,59889,740,4147,87054,25413,8241,23394,33304,3089,9580,3432,20056,17227,2081,1705,29288,8486,27196,8471,24434,20046,1301,76529,19470,6413,97333,4433
2021,9,60599,759,4226,87976,25642,8360,23678,33712,3121,9737,3487,20344,17442,2111,1743,29694,8546,27489,8557,24746,20305,1334,77456,19795,6479,98431,4492
2021,10,61214,757,4273,88800,25835,8445,23965,34015,3161,9832,3553,20565,17550,2125,1767,30012,8596,27661,8650,25019,20605,1364,78278,20044,6559,99295,4532
2021,11,62122,792,4350,90522,26249,8550,24554,34335,3233,10062,3637,21016,17836,2170,1792,30638,8717,28089,8875,25538,20985,1391,79774,20616,6653,100811,4623
2021,12,62606,797,4380,91132,26401,8605,24804,34568,3244,10143,3678,21187,17985,2174,1817,30957,8764,28336,8928,25760,21148,1405,80444,20906,6649,101477,4677
2022,1,63060,805,4423,91697,26564,8677,25057,34759,3273,10207,3731,21336,18095,2188,1838,31194,8812,28541,8995,25954,21379,1415,81018,21182,6694,102254,4709
2022,2,63303,807,4438,91975,26625,8704,25193,35249,3282,10261,3773,21420,18214,2190,1841,31292,8833,28620,9021,25997,21559,1424,81318,21363,6718,102639,4683
2022,3,63579,816,4457,92371,26745,8707,25462,35438,3330,10323,3797,21504,18334,2216,1850,31447,8859,28761,9067,26096,21780,1424,81760,21565,6761,103134,4602
2022,4,63996,828,4507,93026,26924,8736,25733,35619,3349,10383,3833,21660,18422,2230,1871,31664,8922,28940,9122,26290,22036,1434,82334,21844,6787,103818,4592
