year,month,male_castrated,male_not_castrated,female_castrated,female_not_castrated
2016,1,100729,66771,87370,80105
2016,2,101765,67088,88334,80496
2016,3,102610,67309,89126,80810
2016,4,103514,67573,89879,81185
2016,5,104241,67822,90559,81574
2016,6,105074,68426,91323,82253
2016,7,105781,69427,91897,83300
2016,8,106691,71281,92743,85240
2016,9,107613,72649,93540,86816
2016,10,108814,73811,94604,87978
2016,11,110384,75043,95979,89246
2016,12,111470,75786,96818,90085
2017,1,112659,76301,97860,90675
2017,2,114443,76963,99577,91456
2017,3,115719,77349,100752,91957
2017,4,116468,77554,101472,92296
2017,5,117240,77928,102247,92739
2017,6,118030,78720,102998,93548
2017,7,118681,79901,103565,94762
2017,8,119562,81684,104390,96662
2017,9,120471,83060,105150,98072
2017,10,121607,84170,106053,99191
2017,11,123426,85807,107614,100895
2017,12,124543,86692,108595,101797
2018,1,126324,87587,110133,102833
2018,2,127445,87975,111199,103313
2018,3,128569,88307,112278,103746
2018,4,129478,88574,113119,104107
2018,5,130296,88876,113898,104560
2018,6,131055,89482,114539,105254
2018,7,131734,90716,115183,106656
2018,8,132530,92711,115924,108558
2018,9,133406,94156,116695,110030
2018,10,134675,95401,117737,111314
2018,11,137181,97506,119580,113364
2018,12,138255,98173,120514,114053
2019,1,139649,98714,121794,114789
2019,2,140834,99087,122829,115257
2019,3,141960,99387,123874,115726
2019,4,142827,99641,124613,116086
2019,5,143700,100032,125371,116600
2019,6,144282,100830,126002,117403
2019,7,145012,102484,126688,119098
2019,8,145833,104354,127395,121030
2019,9,146780,105875,128218,122614
2019,10,148026,107116,129266,123839
2019,11,150350,109392,131176,126164
2019,12,151356,110221,132057,127017
2020,1,152862,111043,133429,127873
2020,2,154000,111496,134602,128439
2020,3,155000,111801,135540,128857
2020,4,155730,112063,136215,129187
2020,5,156540,112407,136937,129643
2020,6,157386,113373,137745,130717
2020,7,158239,115306,138582,132705
2020,8,158993,117755,139304,135097
2020,9,160051,119786,140226,137206
2020,10,161489,121328,141249,138849
2020,11,163872,123868,143299,141500
2020,12,165412,125525,144568,143126
2021,1,167241,126808,146116,144579
2021,2,168867,127465,147495,145342
2021,3,170559,128003,149002,146118
2021,4,171638,128405,150060,146620
2021,5,172651,128997,151028,147301
2021,6,173566,130422,151981,148691
2021,7,174742,132922,153107,151100
2021,8,176230,135482,154503,153755
2021,9,177747,137806,155753,156138
2021,10,179325,139450,157078,157770
2021,11,181931,142565,159325,161184
2021,12,183238,143891,160349,162552
2022,1,184707,144870,161732,163580
2022,2,185638,145396,162578,164157
2022,3,186653,146044,163556,164947
2022,4,187816,147265,164587,166231
2022,5,189870,149036,166368,168132
2022,6,190771,150256,167181,169345
2022,7,191409,151470,167756,170563
2022,8,192176,153130,168427,172236
2022,9,193281,154896,169301,173994
2022,10,194119,155848,169922,174968
2022,11,195593,157433,171195,176505
2022,12,196295,158124,171720,177160
2023,1,197032,158767,172356,177789
2023,2,197582,159282,172984,178337
2023,3,198225,160014,173611,179113
2023,4,198534,161045,173895,180092
2023,5,198830,161656,174148,180759
2023,6,199056,162238,174395,181356
2023,7,199172,163185,174577,182192
