year,month,count
2016,1,492
2016,2,341
2016,3,437
2016,4,429
2016,5,518
2016,6,490
2016,7,514
2016,8,535
2016,9,523
2016,10,626
2016,11,509
2016,12,512
2017,1,531
2017,2,429
2017,3,530
2017,4,517
2017,5,618
2017,6,635
2017,7,640
2017,8,601
2017,9,646
2017,10,690
2017,11,622
2017,12,573
2018,1,640
2018,2,454
2018,3,556
2018,4,612
2018,5,735
2018,6,716
2018,7,743
2018,8,786
2018,9,671
2018,10,818
2018,11,695
2018,12,635
2019,1,710
2019,2,585
2019,3,620
2019,4,733
2019,5,768
2019,6,717
2019,7,823
2019,8,811
2019,9,847
2019,10,885
2019,11,816
2019,12,783
2020,1,871
2020,2,671
2020,3,730
2020,4,771
2020,5,888
2020,6,880
2020,7,949
2020,8,888
2020,9,911
2020,10,970
2020,11,871
2020,12,924
2021,1,763
2021,2,728
2021,3,898
2021,4,940
2021,5,997
2021,6,1037
2021,7,1012
2021,8,1103
2021,9,1098
2021,10,1117
2021,11,1012
2021,12,979
2022,1,909
2022,2,696
2022,3,810
2022,4,739
2022,5,871
2022,6,829
2022,7,936
2022,8,1028
2022,9,917
2022,10,1093
2022,11,1155
2022,12,1115
2023,1,1109
2023,2,995
2023,3,1134
2023,4,996
2023,5,1171
2023,6,1174
2023,7,1117
