year,month,abyssiniane,aegean_cat,american_bobtail_shorthair,american_curl_longhair,american_curl_shorthair,american_shorthair,american_wirehair,angora,arabian_mau,asian_shorthair,balinese,bengal,bengal_longhair,bombay,brazilian_shorthair,british_longhair_highlander,british_shorthair,burma,burmilla,california_spangled,celestial_british_shorthair,chartreux,chausie,colourpoint_shorthair,cornish_rex,cornish_rex_longhair,crossbred,devon_rex,domestic_longhair,domestic_mediumhair,domestic_shorthair,don_sphynx,eur_europe,egyptian_mau,elfcat,european,european_longhair,european_shorthair,exotic_shorthair,german_rex,havana_brown,japanese_bobtail,karelian_bobtail,khao_manee,korat,kurilian_bobtail,la_perm_shorthair,lambkin,lykoi,maine_coon,mandalay,manx,mekong_bobtail,minuet,munchkin,nebelung,neva_masquerade,norwegian_forest_cat,ocicat,ojos_azules,oriental_longhair,oriental_shorthair,persian,peterbald,pixiebob,ragamuffin,ragdoll,russian_blue,sacred_birman,savannah,scottish_fold_highland_fold,scottish_straight,selkirk_rex,serengeti,siamese,siberian,singapura,snowshoe,sokoke,somali,sphynx,thai,thai_siam,tonkinese_shorthair,toyger,turkish_angora,turkish_vankedisi,ukrainian_levkoy,unknown
2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,,0.0,,16.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,24.0,,0.0,0.0,,0.0,0.0,0.0,0.0,58,5.0,118,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,18.0,,0.0,0.0,20.0,,6.0,,,,0.0,0.0,5.0,9.0,0.0,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,13.0,,0.0,0.0,0.0,0.0,0.0,,0.0,89,,68,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,10.0,,0.0,0.0,6.0,,7.0,6.0,,,,0.0,5.0,5.0,0.0,,0.0,,8.0,0.0,0.0,,,,0.0,0.0,0.0
2016,3,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,18.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,6.0,,0.0,0.0,0.0,0.0,0.0,,0.0,77,,69,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,,9.0,,,,0.0,0.0,,11.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2016,4,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,16.0,0.0,0.0,0.0,,13.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,9.0,,0.0,0.0,,0.0,0.0,,0.0,62,,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,0.0,5.0,0.0,7.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,5.0,104,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,6.0,,0.0,0.0,,,9.0,0.0,,,,0.0,,5.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2016,6,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,19.0,0.0,0.0,0.0,0.0,21.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,19.0,,0.0,0.0,,0.0,0.0,,0.0,58,9.0,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,5.0,9.0,0.0,0.0,,7.0,6.0,15.0,,,,,0.0,7.0,9.0,0.0,0.0,0.0,,9.0,,,0.0,,0.0,,0.0,0.0
2016,7,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,,26.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,13.0,,0.0,0.0,,,0.0,0.0,0.0,50,,82,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,5.0,0.0,,0.0,6.0,,6.0,,,,,0.0,6.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2016,8,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,,0.0,0.0,,0.0,103,0.0,44,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,,6.0,,0.0,0.0,,9.0,,0.0,,,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0
2016,9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,0.0,0.0,0.0,,11.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.0,,0.0,0.0,0.0,0.0,0.0,,0.0,87,,23,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,0.0,0.0,5.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,14.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2016,11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,17.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,82,,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,12,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,13.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,56,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
