year,month,imports
2016,1,345
2016,2,297
2016,3,254
2016,4,245
2016,5,251
2016,6,341
2016,7,252
2016,8,252
2016,9,181
2016,10,189
2016,11,176
2016,12,131
2017,1,167
2017,2,161
2017,3,128
2017,4,138
2017,5,140
2017,6,172
2017,7,130
2017,8,266
2017,9,178
2017,10,190
2017,11,248
2017,12,143
2018,1,274
2018,2,132
2018,3,143
2018,4,127
2018,5,131
2018,6,104
2018,7,134
2018,8,171
2018,9,138
2018,10,174
2018,11,183
2018,12,144
2019,1,181
2019,2,160
2019,3,159
2019,4,205
2019,5,144
2019,6,137
2019,7,139
2019,8,159
2019,9,153
2019,10,175
2019,11,193
2019,12,109
2020,1,174
2020,2,175
2020,3,111
2020,4,83
2020,5,89
2020,6,175
2020,7,213
2020,8,239
2020,9,246
2020,10,254
2020,11,205
2020,12,186
2021,1,263
2021,2,182
2021,3,182
2021,4,153
2021,5,173
2021,6,214
2021,7,221
2021,8,228
2021,9,270
2021,10,267
2021,11,280
2021,12,206
2022,1,198
2022,2,487
2022,3,584
2022,4,429
2022,5,820
2022,6,557
2022,7,501
2022,8,633
2022,9,748
2022,10,774
2022,11,866
2022,12,776
2023,1,789
2023,2,761
2023,3,746
2023,4,574
2023,5,651
2023,6,710
2023,7,674
