year,month,woman,man
2016,1,0.691,0.309
2016,2,0.691,0.309
2016,3,0.691,0.309
2016,4,0.691,0.309
2016,5,0.691,0.309
2016,6,0.691,0.309
2016,7,0.691,0.309
2016,8,0.691,0.309
2016,9,0.691,0.309
2016,10,0.691,0.309
2016,11,0.691,0.309
2016,12,0.691,0.309
2017,1,0.691,0.309
2017,2,0.691,0.309
2017,3,0.691,0.309
2017,4,0.692,0.308
2017,5,0.692,0.308
2017,6,0.692,0.308
2017,7,0.692,0.308
2017,8,0.692,0.308
2017,9,0.692,0.308
2017,10,0.692,0.308
2017,11,0.692,0.308
2017,12,0.692,0.308
2018,1,0.691,0.309
2018,2,0.691,0.309
2018,3,0.691,0.309
2018,4,0.691,0.309
2018,5,0.691,0.309
2018,6,0.691,0.309
2018,7,0.691,0.309
2018,8,0.691,0.309
2018,9,0.691,0.309
2018,10,0.691,0.309
2018,11,0.691,0.309
2018,12,0.691,0.309
2019,1,0.691,0.309
2019,2,0.691,0.309
2019,3,0.691,0.309
2019,4,0.69,0.31
2019,5,0.69,0.31
2019,6,0.69,0.31
2019,7,0.69,0.31
2019,8,0.69,0.31
2019,9,0.69,0.31
2019,10,0.69,0.31
2019,11,0.69,0.31
2019,12,0.69,0.31
2020,1,0.69,0.31
2020,2,0.69,0.31
2020,3,0.69,0.31
2020,4,0.69,0.31
2020,5,0.69,0.31
2020,6,0.69,0.31
2020,7,0.69,0.31
2020,8,0.69,0.31
2020,9,0.689,0.311
2020,10,0.689,0.311
2020,11,0.689,0.311
2020,12,0.689,0.311
2021,1,0.689,0.311
2021,2,0.689,0.311
2021,3,0.689,0.311
2021,4,0.689,0.311
2021,5,0.689,0.311
2021,6,0.689,0.311
2021,7,0.688,0.312
2021,8,0.688,0.312
2021,9,0.688,0.312
2021,10,0.688,0.312
2021,11,0.688,0.312
2021,12,0.688,0.312
2022,1,0.688,0.312
2022,2,0.688,0.312
2022,3,0.689,0.311
2022,4,0.689,0.311
2022,5,0.689,0.311
2022,6,0.69,0.31
2022,7,0.69,0.31
2022,8,0.69,0.31
2022,9,0.691,0.309
2022,10,0.691,0.309
2022,11,0.692,0.308
2022,12,0.692,0.308
2023,1,0.692,0.308
2023,2,0.692,0.308
2023,3,0.693,0.307
2023,4,0.693,0.307
2023,5,0.693,0.307
2023,6,0.693,0.307
2023,7,0.694,0.306
