canton,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Graubünden,11538,1.6,5.8,"European  4362, European Shorthair  4102, Crossbred  501, Maine Coon  447, British Shorthair  430","Luna  195, Nala  136, Mia  90, Leo  82, Mimi  64"
Bern,99915,17.1,9.6,"European  56299, European Shorthair  21358, Crossbred  4833, Maine Coon  3283, British Shorthair  2609","Luna  1599, Nala  1143, Leo  914, Mia  633, Filou  614"
Valais,24770,4.8,7.1,"European  15139, Maine Coon  1795, Crossbred  1229, European Shorthair  1003, Bengal  676","Luna  235, Nala  212, Tigrou  113, Plume  109, Mia  107"
Vaud,89273,31.6,11.0,"European  58665, Crossbred  4605, Maine Coon  4086, European Shorthair  3908, Bengal  1849","Luna  709, Nala  592, Plume  429, Caramel  364, Gribouille  356"
Ticino,24657,9.0,7.0,"European  13925, European Shorthair  2502, Maine Coon  1788, Crossbred  966, Siberian  602","Luna  301, Mia  213, Leo  178, Romeo  136, Nala  120"
St. Gallen,34603,17.7,6.7,"European  13387, European Shorthair  12560, Crossbred  1438, British Shorthair  1360, Maine Coon  1236","Luna  596, Nala  450, Mia  306, Leo  281, Tigi  214"
Zürich,111003,66.8,7.1,"European  39510, European Shorthair  37746, Crossbred  6433, British Shorthair  5915, Maine Coon  3920","Luna  1711, Nala  1026, Leo  861, Mia  709, Mimi  566"
Fribourg,28843,18.1,8.9,"European  16112, European Shorthair  3966, Crossbred  1535, Maine Coon  1473, British Shorthair  632","Luna  287, Nala  218, Plume  151, Caramel  124, Mia  103"
Luzern,23535,16.5,5.7,"European  12205, European Shorthair  4897, Crossbred  1099, British Shorthair  995, Maine Coon  809","Luna  416, Nala  260, Leo  191, Mia  175, Charly  137"
Aargau,68306,49.0,9.8,"European  29124, European Shorthair  19599, Crossbred  4107, British Shorthair  3020, Maine Coon  2898","Luna  1157, Nala  759, Leo  568, Mia  472, Mogli  395"
Uri,1639,1.6,4.5,"European  659, European Shorthair  450, British Shorthair  93, Crossbred  89, Maine Coon  72","Luna  30, Nala  19, Kira  12, Lucy  10, Merlin  10"
Thurgau,28344,32.8,10.0,"European  12795, European Shorthair  8471, Crossbred  1426, Maine Coon  1104, British Shorthair  1087","Luna  478, Nala  321, Leo  261, Mia  245, Mogli  207"
Schwyz,9883,11.6,6.1,"European  4750, European Shorthair  2309, British Shorthair  520, Crossbred  441, Maine Coon  395","Luna  177, Nala  98, Mogli  77, Mia  74, Leo  68"
Jura,4402,5.2,6.0,"European  2675, European Shorthair  440, Maine Coon  243, Crossbred  157, Bengal  99","Caramel  31, Luna  29, Nala  29, Tigrou  27, Plume  26"
Neuchâtel,19786,27.6,11.2,"European  12439, European Shorthair  2360, Crossbred  1001, Maine Coon  796, Sacred Birman  424","Luna  148, Nala  135, Plume  106, Gribouille  102, Tigrou  91"
Solothurn,30931,39.1,11.1,"European  15220, European Shorthair  8650, Crossbred  1515, British Shorthair  1076, Maine Coon  1003","Luna  507, Nala  369, Leo  287, Mogli  187, Mia  185"
Glarus,3616,5.3,8.9,"European Shorthair  1550, European  1200, Crossbred  146, Maine Coon  117, European Longhair  88","Luna  57, Nala  40, Charly  30, Leo  29, Filou  25"
Basel-Landschaft,28599,55.2,9.8,"European  14243, European Shorthair  7000, Crossbred  1459, British Shorthair  1254, Maine Coon  937","Luna  466, Nala  315, Leo  269, Mia  221, Mogli  197"
Obwalden,2061,4.3,5.4,"European  1330, European Shorthair  295, Maine Coon  77, Crossbred  63, British Shorthair  51","Luna  38, Nala  34, Lilly  19, Jimmy  17, Leo  17"
Nidwalden,2295,9.5,5.3,"European  1322, European Shorthair  334, Crossbred  107, British Shorthair  94, Maine Coon  73","Luna  35, Leo  21, Nala  20, Kira  17, Mia  16"
Genève,38122,155.1,7.5,"European  21403, European Shorthair  4348, Crossbred  2058, Maine Coon  1255, British Shorthair  888","Chaton  941, Luna  265, Nala  185, Tigrou  138, Plume  130"
Schaffhausen,9521,31.9,11.5,"European  4936, European Shorthair  2318, Crossbred  467, British Shorthair  360, Maine Coon  287","Luna  150, Nala  103, Leo  69, Mia  69, Lilly  58"
Appenzell Ausserrhoden,4990,20.5,9.0,"European  2253, European Shorthair  1760, Crossbred  193, British Shorthair  127, Maine Coon  123","Luna  93, Nala  70, Leo  44, Mia  43, Mimi  36"
Zug,7157,34.5,5.6,"European  3675, European Shorthair  1196, British Shorthair  433, Crossbred  368, Maine Coon  268","Luna  100, Nala  67, Leo  51, Charly  40, Lilly  36"
Appenzell Innerrhoden,917,5.3,5.6,"European Shorthair  497, European  244, Crossbred  26, European Longhair  21, Maine Coon  21","Luna  17, Nala  12, Findus  11, Lucy  9, Mia  9"
Basel-Stadt,9415,254.8,4.8,"European  4163, European Shorthair  2494, Crossbred  531, British Shorthair  515, Maine Coon  290","Luna  134, Leo  83, Nala  67, Mia  65, Mimi  61"
Liechtenstein,3392,21.1,8.7,"European  1455, European Shorthair  1103, British Shorthair  187, Crossbred  117, Maine Coon  107","Luna  54, Mia  29, Nala  25, Lilly  24, Leo  19"
