commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Scuol,265.0,0.6,5.7,"European Shorthair  129, European  86, Crossbred  9, British Shorthair  8, Norwegian Forest Cat  7",
Glarus Süd,930.0,2.2,9.8,"European Shorthair  381, European  302, EUR Europe  42, Crossbred  30, European Longhair  29","Luna  14, Charly  11, Tigi  11, Filou  10, Max  9, Moritz  9"
Zernez,67.0,0.2,4.4,"European Shorthair  26, European  19, British Shorthair  6, Maine Coon  5",
Surses,20.0,0.1,0.8,European  11,
Val de Bagnes,190.0,0.6,1.8,"European  131, Crossbred  12, Maine Coon  9, Siberian  8, British Shorthair  7",
Davos,431.0,1.5,4.0,"European Shorthair  244, European  77, European Longhair  20, Crossbred  16, Maine Coon  16","Luna  10, Balu  5, Milo  5"
Bregaglia,83.0,0.3,5.3,"European  31, European Shorthair  26, Devon Rex  9, Crossbred  6",
Anniviers,164.0,0.7,6.0,"European  108, Maine Coon  12, Crossbred  11, Chartreux  8, European Shorthair  5",
Zermatt,197.0,0.8,3.4,"European  105, Unknown  21, European Shorthair  20, Maine Coon  13, Crossbred  11",
Innertkirchen,86.0,0.4,8.0,"European  67, European Shorthair  10",
Klosters,194.0,0.9,4.4,"European Shorthair  110, European  38, European Longhair  11, Maine Coon  10, British Shorthair  6, Crossbred  6",
Verzasca,18.0,0.1,2.3,"European  9, European Shorthair  5",
Evolène,118.0,0.6,7.2,"European  83, Maine Coon  14, Crossbred  8",
Blenio,100.0,0.5,5.6,"European  74, European Shorthair  7, Maine Coon  5",
Guttannen,10.0,0.0,4.1,European  8,
Val Müstair,38.0,0.2,2.7,"European  21, European Shorthair  15",
Poschiavo,52.0,0.3,1.5,"European  23, European Shorthair  14, European Longhair  5",
Bergün Filisur,14.0,0.1,1.5,European  11,
Lavizzara,9.0,0.0,1.8,European  9,
Vals,30.0,0.2,3.2,"European Shorthair  10, Maine Coon  9, European  7",
Fieschertal,7.0,0.0,2.1,European  5,
Muotathal,70.0,0.4,2.0,"European  40, European Shorthair  14, Crossbred  5, European Longhair  5",
Grindelwald,262.0,1.5,6.9,"European  160, European Shorthair  72, Maine Coon  10, Crossbred  5",Luna  5
Lumnezia,85.0,0.5,4.3,"European Shorthair  37, European  33",
Orsières,172.0,1.0,5.4,"European  114, Maine Coon  27, Crossbred  8, European Shorthair  5",
Mesocco,57.0,0.3,4.3,"European  44, Maine Coon  5",
Lauterbrunnen,153.0,0.9,6.6,"European  96, European Shorthair  35, Crossbred  5, Persian  5",
Bellinzona,1683.0,10.2,3.9,"European  928, Maine Coon  131, European Shorthair  126, Crossbred  75, Persian  45, Ragdoll  45","Luna  23, Mia  19, Leo  17, Nuvola  9, Romeo  9"
Obergoms,24.0,0.2,3.7,European  18,
Arosa,165.0,1.1,5.2,"European  73, European Shorthair  57, British Shorthair  5, Maine Coon  5",Nala  5
Glarus Nord,1709.0,11.6,9.1,"European Shorthair  708, European  572, Crossbred  83, Maine Coon  58, Unknown  54","Luna  31, Nala  23, Balu  14, Charly  14, Leo  14"
Safiental,56.0,0.4,6.0,"European Shorthair  22, European  16, European Longhair  5",
Cevio,80.0,0.5,7.0,"European  29, Siberian  27, European Shorthair  12",
Valsot,72.0,0.5,8.7,"European Shorthair  42, European  24",
Naters,371.0,2.5,3.6,"European  161, European Shorthair  64, Unknown  29, Maine Coon  24, British Shorthair  22","Max  7, Luna  6, Mia  6, Amy  5, Jimmy  5"
Silenen,171.0,1.2,8.8,"Devon Rex  56, European  35, British Shorthair  27, European Shorthair  27, Maine Coon  11",
Mels,357.0,2.6,4.1,"European  153, European Shorthair  114, Unknown  22, Crossbred  15, British Shorthair  10","Luna  8, Momo  5"
S-chanf,46.0,0.3,6.6,"European Shorthair  22, European  18",
Rheinwald,53.0,0.4,9.2,"Siberian  34, Neva Masquerade  7, European Shorthair  5",
Medel (Lucmagn),9.0,0.1,2.6,,
Kandersteg,123.0,0.9,9.5,"European  50, European Shorthair  50, Maine Coon  8, Crossbred  5",
Tujetsch,47.0,0.4,4.0,"European  24, European Shorthair  7",
Ilanz/Glion,269.0,2.0,5.6,"European  120, European Shorthair  88, Maine Coon  15, Norwegian Forest Cat  11, Crossbred  7","Luna  6, Mimi  6"
Faido,170.0,1.3,6.0,"European  97, European Shorthair  17, Maine Coon  12, Sphynx  8, Crossbred  5",
Diemtigen,164.0,1.3,7.3,"European  94, European Shorthair  36, Crossbred  10, European Longhair  6, Maine Coon  5, Unknown  5",
Goms,49.0,0.4,4.2,"European  27, Norwegian Forest Cat  5",
Pfäfers,94.0,0.7,6.2,"European  40, European Shorthair  39, Crossbred  5",
Reichenbach im Kandertal,370.0,2.9,10.2,"European  174, European Shorthair  139, Crossbred  15, European Longhair  11, Maine Coon  10","Luna  10, Jimmy  5, Max  5, Mila  5"
Val-de-Travers,1708.0,13.7,16.1,"European  1359, Maine Coon  78, European Shorthair  69, Crossbred  42, Bengal  24","Nala  17, Gribouille  11, Minette  10, Merlin  7, Plume  7"
Val-de-Ruz,2302.0,18.5,13.4,"European  1508, European Shorthair  183, Maine Coon  147, Crossbred  118, Sacred Birman  53","Luna  18, Plume  18, Nala  15, Tigrou  14, Caramel  12, Gribouille  12"
Lenk,81.0,0.7,3.5,"European  42, Maine Coon  14, European Shorthair  12, Crossbred  5",
Saanen,322.0,2.7,4.7,"European  208, European Shorthair  48, Bengal  9, Unknown  9, Maine Coon  7",
Pontresina,70.0,0.6,3.2,"European  41, European Shorthair  13, Crossbred  5",
Château-d'Oex,161.0,1.4,4.6,"European  114, Maine Coon  7, Crossbred  6, Siamese  6, European Shorthair  5",
Val-de-Charmey,179.0,1.6,7.0,"European  136, European Shorthair  10, Crossbred  9, Maine Coon  6",
Maggia,229.0,2.1,8.8,"European  117, European Shorthair  35, Norwegian Forest Cat  19, Maine Coon  17, Crossbred  7, European Longhair  7, Persian  7",Leo  6
Saas-Almagell,,,,,
Einsiedeln,1132.0,11.4,7.0,"European  547, European Shorthair  297, Crossbred  61, British Shorthair  50, Maine Coon  34","Luna  25, Nala  13, Mogli  12, Mia  10, Charly  9, Leo  9, Schnurrli  9, Tigi  9"
Flühli,48.0,0.4,2.6,"European  22, European Shorthair  8, Bengal  6",
Hérémence,83.0,0.8,5.8,"European  55, European Shorthair  7, Crossbred  5, Maine Coon  5",
Escholzmatt-Marbach,141.0,1.3,3.2,"European  67, European Shorthair  50, British Shorthair  7",
Onsernone,19.0,0.2,2.9,European  10,
Göschenen,28.0,0.3,6.5,European  24,
Glarus,977.0,9.4,7.8,"European Shorthair  461, European  326, Maine Coon  35, Crossbred  33, European Longhair  21","Luna  12, Nala  11, Kira  9, Leo  8, Lucy  8, Momo  8"
Sumvitg,44.0,0.4,4.0,"European  15, European Shorthair  10, Ragdoll  9",
Le Chenit,299.0,3.0,6.5,"European  179, European Shorthair  35, Maine Coon  30, Crossbred  11, Norwegian Forest Cat  11",
Wassen,8.0,0.1,1.9,,
Serravalle,148.0,1.5,7.1,"European  80, European Shorthair  22, Maine Coon  11, Crossbred  7",
Breil/Brigels,76.0,0.8,4.4,"European  26, European Shorthair  20, Siamese  17, Maine Coon  6",
Bex,758.0,7.9,9.7,"European  535, Maine Coon  42, Crossbred  41, Persian  20, European Shorthair  19","Caline  8, Kiwi  6, Luna  6, Nougat  6, Stella  6"
Airolo,65.0,0.7,4.4,"European  37, Maine Coon  9, European Shorthair  7",
