year,month,n_owners,1,2,3,4,5,6,7,8
2016,1,206311,132241,57761,10643,3221,1052,481,219,693
2016,2,208040,133319,58271,10734,3246,1067,478,223,702
2016,3,209583,134319,58674,10837,3276,1062,486,229,700
2016,4,211128,135325,59106,10914,3295,1062,492,227,707
2016,5,212399,136168,59442,10973,3306,1081,485,231,713
2016,6,214058,137236,59858,11088,3338,1083,494,240,721
2016,7,215847,138325,60341,11234,3368,1109,507,235,728
2016,8,219179,140312,61368,11443,3442,1124,516,243,731
2016,9,221869,141839,62185,11675,3517,1147,516,250,740
2016,10,224694,143577,62979,11870,3576,1166,530,250,746
2016,11,228015,145523,64019,12048,3673,1200,544,249,759
2016,12,230199,146839,64641,12204,3718,1222,550,257,768
2017,1,232438,148317,65232,12339,3743,1232,557,254,764
2017,2,235403,149975,66148,12592,3825,1251,580,256,776
2017,3,237603,151401,66723,12723,3853,1294,570,254,785
2017,4,238992,152349,67081,12776,3875,1290,565,262,794
2017,5,240418,153300,67436,12867,3889,1290,572,259,805
2017,6,242182,154375,67919,12996,3932,1300,591,267,802
2017,7,243942,155318,68450,13173,4000,1321,594,280,806
2017,8,246976,156945,69447,13443,4054,1381,609,282,815
2017,9,249474,158345,70227,13651,4114,1402,626,279,830
2017,10,251982,159788,70965,13854,4203,1405,645,290,832
2017,11,255568,161473,72274,14231,4331,1448,665,302,844
2017,12,257982,162901,73025,14358,4415,1459,672,303,849
2018,1,261426,165099,74005,14530,4476,1473,687,312,844
2018,2,263481,166376,74608,14656,4512,1488,676,308,857
2018,3,265366,167529,75161,14773,4555,1488,690,314,856
2018,4,266970,168570,75615,14853,4548,1515,693,319,857
2018,5,268353,169430,76002,14947,4575,1522,699,309,869
2018,6,269839,170359,76355,15062,4632,1536,709,308,878
2018,7,271904,171543,76949,15219,4697,1569,723,316,888
2018,8,274773,173056,77900,15474,4794,1583,729,338,899
2018,9,277394,174485,78736,15706,4874,1603,742,349,899
2018,10,280214,176052,79646,15922,4948,1616,768,342,920
2018,11,285036,178530,81273,16393,5100,1660,789,350,941
2018,12,287132,179724,81959,16512,5169,1684,796,352,936
2019,1,289599,181152,82748,16675,5214,1709,800,358,943
2019,2,291586,182330,83330,16838,5246,1732,812,363,935
2019,3,293481,183509,83886,16945,5265,1755,821,359,941
2019,4,295036,184553,84301,17012,5292,1760,821,357,940
2019,5,296546,185517,84719,17090,5314,1766,830,361,949
2019,6,297992,186402,85084,17192,5375,1788,821,379,951
2019,7,300439,187707,85850,17417,5477,1809,823,391,965
2019,8,303341,189224,86813,17657,5605,1821,849,404,968
2019,9,306124,190751,87734,17857,5678,1863,853,405,983
2019,10,308841,192265,88630,18044,5749,1882,855,411,1005
2019,11,313723,194792,90270,18459,5928,1946,882,414,1032
2019,12,315979,196083,90955,18637,6001,1959,897,417,1030
2020,1,318708,197669,91778,18847,6072,1980,909,428,1025
2020,2,320769,198859,92439,18982,6106,2015,903,434,1031
2020,3,322547,200021,92893,19085,6135,2033,911,441,1028
2020,4,323770,200805,93215,19161,6166,2024,925,440,1034
2020,5,325121,201645,93570,19273,6185,2031,931,437,1049
2020,6,327161,202910,94135,19416,6219,2044,927,448,1062
2020,7,330306,204743,95059,19659,6304,2079,937,455,1070
2020,8,333844,206657,96209,19965,6404,2122,940,461,1086
2020,9,337300,208625,97246,20249,6501,2164,946,474,1095
2020,10,340628,210473,98381,20466,6571,2204,964,471,1098
2020,11,346057,213286,100305,20900,6718,2261,975,493,1119
2020,12,349055,215148,101120,21122,6782,2291,982,489,1121
2021,1,352344,217069,102191,21316,6837,2328,985,493,1125
2021,2,355213,218823,103064,21456,6904,2352,997,492,1125
2021,3,358022,220478,103959,21610,6975,2375,997,492,1136
2021,4,359788,221579,104420,21716,7042,2375,1017,495,1144
2021,5,361474,222603,104851,21820,7095,2409,1029,494,1173
2021,6,363775,223919,105514,22008,7167,2427,1050,504,1186
2021,7,367242,225637,106673,22344,7297,2486,1079,528,1198
2021,8,370767,227237,107849,22801,7462,2563,1103,525,1227
2021,9,374650,229194,109180,23128,7609,2629,1133,527,1250
2021,10,378030,230937,110325,23429,7720,2682,1132,545,1260
2021,11,383919,233632,112481,24095,7922,2745,1178,568,1298
2021,12,386913,235289,113447,24304,8016,2764,1212,581,1300
2022,1,389718,236786,114378,24543,8090,2802,1216,584,1319
2022,2,391624,238101,114865,24616,8109,2799,1234,582,1318
2022,3,393908,239518,115469,24787,8168,2804,1249,581,1332
2022,4,395786,240279,116033,25102,8292,2850,1268,601,1361
2022,5,399223,241913,117110,25536,8442,2924,1300,616,1382
2022,6,401306,243072,117592,25794,8537,2970,1308,638,1395
2022,7,403087,244005,118094,25980,8633,2989,1335,643,1408
2022,8,406086,245876,118967,26103,8709,3025,1339,641,1426
2022,9,410057,248519,120088,26240,8759,3035,1342,638,1436
2022,10,413053,250740,120818,26285,8760,3038,1337,638,1437
2022,11,418068,254216,122259,26399,8757,3036,1324,646,1431
2022,12,420596,256089,122903,26428,8753,3034,1319,643,1427
2023,1,423222,258072,123561,26455,8726,3023,1323,640,1422
2023,2,425379,259747,124017,26500,8721,3018,1321,632,1423
2023,3,427625,261423,124523,26552,8723,3019,1330,626,1429
2023,4,429106,262451,124827,26620,8761,3033,1344,631,1439
2023,5,430608,263755,125004,26641,8757,3027,1348,626,1450
2023,6,432547,265489,125272,26619,8755,3004,1345,628,1435
2023,7,434953,267496,125728,26599,8749,2996,1336,635,1414
