year,month,imports,standard_registrations,late_registrations,re_registrations,deaths_euthanasia
2016,1,377,2444,274,0.0,490
2016,2,321,2526,296,0.0,339
2016,3,270,1959,189,0.0,436
2016,4,261,2283,199,0.0,429
2016,5,277,1924,242,0.0,513
2016,6,371,2591,275,0.0,489
2016,7,287,2669,357,0.0,511
2016,8,272,5992,530,0.0,531
2016,9,201,4518,447,0.0,519
2016,10,203,4582,393,0.0,624
2016,11,191,5204,481,0.0,508
2016,12,135,3478,346,0.0,509
2017,1,172,3445,388,0.0,531
2017,2,198,4461,293,0.0,429
2017,3,144,3511,314,0.0,529
2017,4,149,2152,214,0.0,515
2017,5,153,2484,248,0.0,617
2017,6,195,3256,317,0.0,634
2017,7,142,3865,503,0.0,636
2017,8,290,5293,570,0.0,599
2017,9,192,4585,478,0.0,642
2017,10,197,4260,390,0.0,688
2017,11,281,5777,480,0.0,618
2017,12,166,4417,355,0.0,567
2018,1,291,5840,609,0.0,639
2018,2,143,3269,359,0.0,452
2018,3,155,3020,323,0.0,552
2018,4,135,2763,224,0.0,609
2018,5,137,2637,245,0.0,732
2018,6,109,2871,219,0.0,711
2018,7,144,3997,423,0.0,742
2018,8,180,5521,503,0.0,783
2018,9,156,4744,320,0.0,667
2018,10,191,5103,553,0.0,814
2018,11,224,8499,590,0.0,694
2018,12,161,3665,421,0.0,631
2019,1,186,4094,393,0.0,706
2019,2,175,3337,235,0.0,582
2019,3,170,3188,297,0.0,617
2019,4,215,2568,223,0.0,727
2019,5,156,2682,292,0.0,765
2019,6,150,2931,308,0.0,712
2019,7,153,4777,475,,819
2019,8,180,5554,515,0.0,807
2019,9,167,5122,444,0.0,842
2019,10,183,5070,553,0.0,879
2019,11,213,8972,667,0.0,812
2019,12,124,4098,417,0.0,779
2020,1,188,4533,412,0.0,861
2020,2,191,3579,298,0.0,668
2020,3,116,3087,292,0.0,725
2020,4,90,2242,244,0.0,766
2020,5,113,2480,247,0.0,878
2020,6,190,3754,366,0.0,870
2020,7,243,5707,447,0.0,945
2020,8,267,6365,520,0.0,878
2020,9,270,6219,468,0.0,901
2020,10,273,5874,542,0.0,964
2020,11,264,9328,828,0.0,867
2020,12,205,5022,533,0.0,913
2021,1,278,5157,514,0.0,755
2021,2,199,4651,391,0.0,722
2021,3,203,4602,431,0.0,884
2021,4,166,3171,432,0.0,927
2021,5,181,3112,308,0.0,977
2021,6,226,4403,422,0.0,1025
2021,7,246,6660,728,0.0,996
2021,8,250,6371,607,0.0,1071
2021,9,299,7183,668,0.0,1074
2021,10,281,6266,651,0.0,1096
2021,11,314,10886,1033,0.0,985
2021,12,220,5355,645,0.0,948
2022,1,210,4817,466,0.0,878
2022,2,488,2714,314,28.0,699
2022,3,817,3018,376,30.0,810
2022,4,589,2538,258,27.0,743
2022,5,1200,4817,619,30.0,868
2022,6,717,3309,299,25.0,837
2022,7,627,3342,353,37.0,961
2022,8,798,5554,456,39.0,1050
2022,9,976,7143,538,42.0,958
2022,10,862,5175,435,54.0,1145
2022,11,872,8911,433,66.0,1199
2022,12,781,4295,273,53.0,1151
2023,1,794,4234,272,58.0,1188
2023,2,767,3271,218,46.0,1020
2023,3,751,3456,261,37.0,1171
2023,4,581,2386,169,22.0,1021
2023,5,657,2639,170,34.0,1200
2023,6,718,3771,215,32.0,1203
2023,7,699,4939,411,44.0,1165
