year,month,population,01_years_old,12_years_old,23_years_old,34_years_old,45_years_old,56_years_old,67_years_old,78_years_old,89_years_old,910_years_old,1011_years_old,1112_years_old,1213_years_old,1314_years_old,1415_years_old,1516_years_old,1617_years_old,1718_years_old,1819_years_old,1920_years_old
2016,1,Male,12632,15838,15289,16657,15643,16292,15610,13613,13330,10580,9905,9703,2402,0,0,0,0,0,0,0
2016,2,Male,12871,15922,15326,16637,15812,16236,15814,13767,13204,10800,9936,9747,2775,0,0,0,0,0,0,0
2016,3,Male,11681,16267,15510,16192,16275,15793,16143,14168,13137,11218,9945,9705,3879,0,0,0,0,0,0,0
2016,4,Male,8883,16308,15735,15918,16964,15524,16404,14713,13012,12012,9966,9915,5727,0,0,0,0,0,0,0
2016,5,Male,6647,16144,15976,16122,16800,15929,16386,14771,13707,12010,10348,10123,7094,0,0,0,0,0,0,0
2016,6,Male,5673,16269,15992,16241,16871,16202,16412,14966,14028,12170,10487,10154,8029,0,0,0,0,0,0,0
2016,7,Male,5095,16464,16030,16164,17067,16016,16886,15168,13995,12578,10596,10127,9016,0,0,0,0,0,0,0
2016,8,Male,5725,16597,16264,15986,17429,15887,17165,15332,13909,13122,10666,10137,9300,447,0,0,0,0,0,0
2016,9,Male,6889,16293,16574,15998,17422,16096,17171,15473,13930,13367,10690,10142,9524,687,0,0,0,0,0,0
2016,10,Male,8447,16249,16762,16063,17394,16164,17300,15530,13986,13419,10737,10160,9626,783,0,0,0,0,0,0
2016,11,Male,10431,16369,16896,16147,17437,16221,17384,15557,14034,13464,10775,10206,9647,854,0,0,0,0,0,0
2016,12,Male,11687,16257,16741,15994,17306,16130,16769,16015,13853,13617,10747,10064,9793,2277,0,0,0,0,0,0
2017,1,Male,12753,16307,16819,16048,17338,16183,16792,16079,13911,13627,10789,10065,9800,2442,0,0,0,0,0,0
2017,2,Male,14113,16135,16995,16119,17264,16381,16751,16277,14074,13520,11009,10084,9869,2807,0,0,0,0,0,0
2017,3,Male,13880,15647,17387,16297,16842,16866,16316,16623,14482,13447,11433,10106,9820,3915,0,0,0,0,0,0
2017,4,Male,11425,15185,17402,16532,16545,17555,16001,16896,15039,13311,12235,10124,10002,5763,0,0,0,0,0,0
2017,5,Male,8700,15776,17286,16830,16732,17392,16375,16891,15127,13969,12245,10513,10188,7136,0,0,0,0,0,0
2017,6,Male,7718,16078,17435,16766,16860,17459,16632,16918,15276,14305,12393,10642,10204,8057,0,0,0,0,0,0
2017,7,Male,7443,15982,17611,16792,16792,17668,16441,17357,15485,14262,12786,10753,10178,9025,0,0,0,0,0,0
2017,8,Male,7234,16817,17742,17010,16605,18040,16304,17624,15650,14179,13321,10803,10166,9301,443,0,0,0,0,0
2017,9,Male,7790,17515,17444,17306,16609,18064,16501,17614,15791,14185,13548,10805,10171,9504,678,0,0,0,0,0
2017,10,Male,9145,17767,17368,17487,16675,18016,16560,17722,15831,14212,13590,10840,10192,9598,768,0,0,0,0,0
2017,11,Male,11652,17962,17473,17608,16758,18059,16622,17805,15880,14243,13640,10850,10233,9600,842,0,0,0,0,0
2017,12,Male,13005,17866,17335,17523,16609,17931,16592,17130,16393,14105,13751,10882,10073,9769,2265,0,0,0,0,0
2018,1,Male,14691,18105,17418,17635,16665,17971,16649,17175,16453,14165,13769,10925,10096,9759,2429,0,0,0,0,0
2018,2,Male,15249,18371,17195,17739,16733,17835,16819,17092,16629,14305,13652,11131,10089,9796,2779,0,0,0,0,0
2018,3,Male,14679,18587,16708,18101,16926,17374,17314,16647,16965,14725,13587,11523,10106,9754,3874,0,0,0,0,0
2018,4,Male,11840,18971,16287,18195,17163,17115,18035,16325,17238,15285,13455,12349,10138,9955,5695,0,0,0,0,0
2018,5,Male,9094,18865,16959,18116,17438,17306,17869,16704,17228,15363,14132,12363,10536,10143,7050,0,0,0,0,0
2018,6,Male,7955,18812,17277,18253,17400,17435,17948,16957,17257,15497,14467,12489,10681,10170,7933,0,0,0,0,0
2018,7,Male,7359,19189,17229,18409,17445,17348,18181,16780,17690,15694,14417,12894,10774,10151,8884,0,0,0,0,0
2018,8,Male,7586,18996,18105,18514,17624,17159,18529,16637,17961,15829,14332,13426,10829,10131,9147,430,0,0,0,0
2018,9,Male,8146,19079,18806,18207,17921,17165,18503,16826,17980,15966,14326,13668,10838,10129,9343,653,0,0,0,0
2018,10,Male,9608,19196,19097,18129,18111,17234,18455,16907,18096,16005,14365,13716,10861,10123,9425,742,0,0,0,0
2018,11,Male,12847,19505,19287,18252,18260,17332,18509,16983,18195,16042,14426,13765,10879,10166,9423,810,0,0,0,0
2018,12,Male,14068,19572,18924,18156,18151,17191,18392,16966,17458,16638,14230,13925,10918,10008,9599,2226,0,0,0,0
2019,1,Male,15113,19560,19272,18213,18205,17241,18413,17023,17509,16693,14275,13941,10925,10009,9590,2376,0,0,0,0
2019,2,Male,15722,19589,19565,17924,18364,17279,18273,17195,17445,16855,14412,13797,11125,10034,9621,2716,0,0,0,0
2019,3,Male,15346,19281,19877,17425,18759,17444,17809,17714,16972,17224,14828,13731,11521,10039,9588,3784,0,0,0,0
2019,4,Male,12742,18922,20280,17041,18884,17665,17566,18395,16666,17498,15428,13560,12364,10094,9793,5565,0,0,0,0
2019,5,Male,9169,19751,20180,17815,18807,17993,17732,18222,17047,17541,15504,14225,12387,10479,9990,6885,0,0,0,0
2019,6,Male,7831,20034,20133,18113,18915,17954,17882,18284,17274,17574,15631,14549,12528,10620,10020,7765,0,0,0,0
2019,7,Male,7682,19955,20564,18098,19117,17998,17782,18513,17111,17981,15841,14496,12923,10716,10022,8692,0,0,0,0
