year,month,ch,fl
2016,1,336123,1705
2016,2,338896,1715
2016,3,341111,1735
2016,4,343447,1735
2016,5,345498,1747
2016,6,348402,1765
2016,7,351775,1779
2016,8,357388,1804
2016,9,362080,1824
2016,10,366695,1841
2016,11,372172,1864
2016,12,375697,1883
2017,1,379046,1890
2017,2,383998,1940
2017,3,387341,1951
2017,4,389354,1969
2017,5,391722,1977
2017,6,394871,2002
2017,7,398490,2014
2017,8,403900,2037
2017,9,408366,2054
2017,10,412643,2063
2017,11,419385,2108
2017,12,423285,2141
2018,1,428556,2171
2018,2,431617,2187
2018,3,434588,2199
2018,4,436973,2206
2018,5,439338,2205
2018,6,442048,2215
2018,7,446026,2221
2018,8,451493,2238
2018,9,456087,2265
2018,10,460954,2277
2018,11,469507,2328
2018,12,472882,2341
2019,1,476855,2355
2019,2,479923,2381
2019,3,482875,2394
2019,4,485102,2405
2019,5,487658,2428
2019,6,490487,2442
2019,7,495289,2461
2019,8,500648,2492
2019,9,505546,2526
2019,10,510326,2550
2019,11,519229,2604
2019,12,522816,2612
2020,1,527391,2640
2020,2,530732,2653
2020,3,533402,2668
2020,4,535406,2674
2020,5,537748,2674
2020,6,541470,2713
2020,7,547114,2758
2020,8,553483,2773
2020,9,559647,2802
2020,10,565328,2821
2020,11,575019,2869
2020,12,581163,2890
2021,1,587318,2911
2021,2,591771,2928
2021,3,596313,2949
2021,4,599369,2963
2021,5,602650,2972
2021,6,607356,2992
2021,7,614602,3016
2021,8,622752,3050
2021,9,630261,3098
2021,10,636472,3140
2021,11,647930,3199
2021,12,652972,3220
2022,1,657857,3239
2022,2,660742,3247
2022,3,664185,3261
2022,4,668900,3278
2022,5,676445,3303
2022,6,680607,3317
2022,7,684260,3331
2022,8,689054,3362
2022,9,694579,3382
2022,10,697975,3381
2022,11,703858,3381
2022,12,706437,3378
2023,1,709086,3375
2023,2,711326,3379
2023,3,714110,3377
2023,4,716721,3379
2023,5,718554,3388
2023,6,720207,3390
2023,7,722293,3392
