year,month,male,female
2016,1,167500,167475
2016,2,168853,168830
2016,3,169919,169936
2016,4,171087,171064
2016,5,172063,172133
2016,6,173500,173576
2016,7,175208,175197
2016,8,177972,177983
2016,9,180262,180356
2016,10,182625,182582
2016,11,185427,185225
2016,12,187256,186903
2017,1,188960,188535
2017,2,191406,191033
2017,3,193068,192709
2017,4,194022,193768
2017,5,195168,194986
2017,6,196750,196546
2017,7,198582,198327
2017,8,201246,201052
2017,9,203531,203222
2017,10,205777,205244
2017,11,209233,208509
2017,12,211235,210392
2018,1,213911,212966
2018,2,215420,214512
2018,3,216876,216024
2018,4,218052,217226
2018,5,219172,218458
2018,6,220537,219793
2018,7,222450,221839
2018,8,225241,224482
2018,9,227562,226725
2018,10,230076,229051
2018,11,234687,232944
2018,12,236428,234567
2019,1,238363,236583
2019,2,239921,238086
2019,3,241347,239600
2019,4,242468,240699
2019,5,243732,241971
2019,6,245112,243405
2019,7,247496,245786
2019,8,250187,248425
2019,9,252655,250832
2019,10,255142,253105
2019,11,259742,257340
2019,12,261577,259074
2020,1,263905,261302
2020,2,265496,263041
2020,3,266801,264397
2020,4,267793,265402
2020,5,268947,266580
2020,6,270759,268462
2020,7,273545,271287
2020,8,276748,274401
2020,9,279837,277432
2020,10,282817,280098
2020,11,287740,284799
2020,12,290937,287694
2021,1,294049,290695
2021,2,296332,292837
2021,3,298562,295120
2021,4,300043,296680
2021,5,301648,298329
2021,6,303988,300672
2021,7,307664,304207
2021,8,311712,308258
2021,9,315553,311891
2021,10,318775,314848
2021,11,324496,320509
2021,12,327129,322901
2022,1,329577,325312
2022,2,331034,326735
2022,3,332697,328503
2022,4,335081,330818
2022,5,338906,334500
2022,6,341027,336526
2022,7,342879,338319
2022,8,345306,340663
2022,9,348177,343295
2022,10,349967,344890
2022,11,353026,347700
2022,12,354419,348880
2023,1,355799,350145
2023,2,356864,351321
2023,3,358239,352724
2023,4,359579,353987
2023,5,360486,354907
2023,6,361294,355751
2023,7,362357,356769
