owner_language,name,rank_language,count_language,rank_overall,count_total
de,Luna,1,7967,1,9822
fr,Luna,1,1545,1,9822
it,Luna,1,310,1,9822
de,Nala,2,5358,2,6763
fr,Nala,2,1283,2,6763
it,Nala,3,122,2,6763
it,Mia,2,214,3,4280
de,Mia,3,3424,3,4280
fr,Mia,4,642,3,4280
de,Mimi,6,2311,4,2906
fr,Mimi,8,535,4,2906
de,Lilly,4,2544,5,2718
de,Kira,5,2317,6,2717
it,Kira,6,87,6,2717
de,Lucy,7,2107,7,2225
de,Mila,8,1726,8,1944
it,Stella,4,114,9,1650
de,Stella,10,1247,9,1650
de,Mira,9,1460,10,1552
fr,Lola,6,566,12,1374
fr,Kitty,7,539,13,1309
de,Amy,10,1247,14,1300
it,Nina,8,74,26,911
it,Chanel,9,68,29,885
fr,Plume,3,831,31,871
it,Minou,5,109,32,870
it,Maya,10,66,34,809
fr,Caline,5,630,45,664
fr,Lilou,9,492,50,645
fr,Minette,10,479,62,542
it,Birba,7,84,368,128
