owner_language,name,rank_language,count_language,rank_overall,count_total
de,Leo,1,4108,1,4571
it,Leo,1,185,1,4571
de,Filou,3,2386,2,2789
fr,Filou,6,398,2,2789
fr,Max,5,422,3,2541
de,Max,6,2083,3,2541
de,Felix,5,2112,4,2455
it,Felix,7,62,4,2455
de,Mogli,2,2391,5,2408
fr,Merlin,7,382,6,2398
de,Merlin,8,2012,6,2398
de,Charly,7,2058,7,2386
de,Jimmy,4,2247,8,2370
de,Rocky,10,1861,9,2148
de,Balu,9,1882,11,1904
fr,Lucky,9,339,14,1508
it,Tom,9,49,21,1272
it,Jack,9,49,23,1192
it,Romeo,2,137,38,820
fr,Caramel,2,612,39,810
fr,Tigrou,1,760,42,787
it,Zeus,6,74,51,669
fr,Cookie,10,318,58,598
fr,Chaton,3,536,67,539
it,Oscar,9,49,71,531
fr,Gribouille,4,435,82,457
it,Pepe,4,94,84,455
fr,Léo,8,362,103,382
it,Thor,8,54,129,315
it,Tigro,3,106,323,145
it,Matisse,5,89,381,123
