year,month,total
2010,1,1624415
2010,2,1628828
2010,3,1621559
2010,4,1610397
2010,5,1594334
2010,6,1575820
2010,7,1575456
2010,8,1576483
2010,9,1593257
2010,10,1612520
2010,11,1615085
2010,12,1619303
2011,1,1617552
2011,2,1618930
2011,3,1614308
2011,4,1603187
2011,5,1583914
2011,6,1567619
2011,7,1564765
2011,8,1568817
2011,9,1583567
2011,10,1602353
2011,11,1608139
2011,12,1612827
2012,1,1612037
2012,2,1615357
2012,3,1607632
2012,4,1594591
2012,5,1577069
2012,6,1556898
2012,7,1556263
2012,8,1559411
2012,9,1578357
2012,10,1593689
2012,11,1593972
2012,12,1601970
2013,1,1603394
2013,2,1600357
2013,3,1595013
2013,4,1577994
2013,5,1559113
2013,6,1547249
2013,7,1547715
2013,8,1553214
2013,9,1567353
2013,10,1584345
2013,11,1587591
2013,12,1593731
2014,1,1588327
2014,2,1582789
2014,3,1575235
2014,4,1567825
2014,5,1551033
2014,6,1539629
2014,7,1537483
2014,8,1542939
2014,9,1555176
2014,10,1570569
2014,11,1574715
2014,12,1577702
2015,1,1576669
2015,2,1575760
2015,3,1567998
2015,4,1557288
2015,5,1545906
2015,6,1530109
2015,7,1525254
2015,8,1528342
2015,9,1544192
2015,10,1560540
2015,11,1565774
2015,12,1573276
2016,1,1573043
2016,2,1567564
2016,3,1562775
2016,4,1546240
2016,5,1528969
2016,6,1515221
2016,7,1516735
2016,8,1523336
2016,9,1539552
2016,10,1555955
2016,11,1559771
2016,12,1565244
2017,1,1566089
2017,2,1564697
2017,3,1556554
2017,4,1549312
2017,5,1533276
2017,6,1516447
2017,7,1513451
2017,8,1521358
2017,9,1538225
2017,10,1553341
2017,11,1558105
2017,12,1565690
2018,1,1562064
2018,2,1558564
2018,3,1551394
2018,4,1536957
2018,5,1522489
2018,6,1508956
2018,7,1506002
2018,8,1508861
2018,9,1524395
2018,10,1535800
2018,11,1536085
2018,12,1543778
2019,1,1541125
2019,2,1540786
2019,3,1536542
2019,4,1522494
2019,5,1503659
2019,6,1491701
2019,7,1487404
2019,8,1491772
2019,9,1507748
2019,10,1521747
2019,11,1524935
2019,12,1530875
2020,1,1528039
2020,2,1530537
2020,3,1523339
2020,4,1514050
2020,5,1499807
2020,6,1482664
2020,7,1480489
2020,8,1486530
2020,9,1503246
2020,10,1516522
2020,11,1522215
2020,12,1529402
2021,1,1536994
2021,2,1539142
2021,3,1531320
2021,4,1520940
2021,5,1506715
2021,6,1494544
2021,7,1493085
2021,8,1497100
2021,9,1513334
2021,10,1532044
2021,11,1533541
2021,12,1539657
2022,1,1544688
2022,2,1547962
2022,3,1542195
2022,4,1534446
2022,5,1521596
2022,6,1509769
2022,7,1506360
2022,8,1508242
2022,9,1520359
2022,10,1538500
2022,11,1542995
2022,12,1549951
2023,1,1550587
2023,2,1550205
2023,3,1541135
2023,4,1533112
2023,5,1514786
2023,6,1497252
2023,7,1484422
