year,3_x,2_x,1_x,a,t,t,t,h,c
2010,7504,9203,14809,29601,32084,25984,9602,4941,2231
2011,7739,9269,14575,29360,31805,25158,10001,5174,2602
2012,6978,8666,13961,27449,32203,27968,10965,5625,2879
2013,7152,9171,13569,26272,31279,29587,11939,5976,3048
2014,7235,9158,14456,27093,30044,27329,11373,5705,3182
2015,7231,9309,14373,27012,30016,26742,10258,5323,2647
2016,7243,8930,13690,24071,30346,28332,11469,5507,2663
2017,7675,8557,11984,23180,29571,26346,11599,5634,2903
2018,8109,8802,12371,23248,29068,27792,13180,6913,3648
2019,7447,8129,11587,22319,29237,27483,14153,7249,3785
2020,7304,7397,10202,19931,27372,25242,13370,6871,3911
2021,7708,7511,10436,20470,26462,26039,13873,7480,4025
2022,9074,8405,11159,21078,25696,25484,13514,7223,3703
2023,4116,4090,5347,10492,13251,13987,7537,4084,2274
