name,count,rank,year,owner_language
Max,731,1,2010,__all__
Leo,617,2,2010,__all__
Bruno,473,3,2010,__all__
Fritz,420,4,2010,__all__
Carlo,401,5,2010,__all__
Moritz,400,6,2010,__all__
Peter,381,7,2010,__all__
Sepp,368,8,2010,__all__
Sämi,360,9,2010,__all__
Franz,356,10,2010,__all__
Max,777,1,2011,__all__
Leo,646,2,2011,__all__
Bruno,428,3,2011,__all__
Sämi,380,4,2011,__all__
Moritz,369,5,2011,__all__
Sepp,357,6,2011,__all__
Carlo,355,7,2011,__all__
Nero,355,7,2011,__all__
Fritz,344,9,2011,__all__
Alex,340,10,2011,__all__
Max,776,1,2012,__all__
Leo,615,2,2012,__all__
Bruno,422,3,2012,__all__
Sämi,405,4,2012,__all__
Peter,381,5,2012,__all__
Fritz,376,6,2012,__all__
Sepp,357,7,2012,__all__
Paul,355,8,2012,__all__
Moritz,355,8,2012,__all__
Sandro,328,10,2012,__all__
Max,764,1,2013,__all__
Leo,666,2,2013,__all__
Bruno,463,3,2013,__all__
Felix,409,4,2013,__all__
Sämi,393,5,2013,__all__
Paul,391,6,2013,__all__
Fritz,374,7,2013,__all__
Sepp,370,8,2013,__all__
Moritz,365,9,2013,__all__
Peter,361,10,2013,__all__
Max,832,1,2014,__all__
Leo,671,2,2014,__all__
Bruno,444,3,2014,__all__
Sämi,412,4,2014,__all__
Fritz,406,5,2014,__all__
Peter,391,6,2014,__all__
Moritz,380,7,2014,__all__
Lars,374,8,2014,__all__
Paul,366,9,2014,__all__
Sepp,364,10,2014,__all__
Max,755,1,2015,__all__
Leo,648,2,2015,__all__
Sämi,492,3,2015,__all__
Bruno,465,4,2015,__all__
Fritz,383,5,2015,__all__
Peter,352,6,2015,__all__
Sepp,352,6,2015,__all__
Moritz,349,8,2015,__all__
Paul,346,9,2015,__all__
Lars,345,10,2015,__all__
Max,783,1,2016,__all__
Leo,629,2,2016,__all__
Bruno,475,3,2016,__all__
Sämi,421,4,2016,__all__
Peter,375,5,2016,__all__
Fritz,367,6,2016,__all__
Moritz,361,7,2016,__all__
Lars,355,8,2016,__all__
Sepp,337,9,2016,__all__
Toni,335,10,2016,__all__
Max,777,1,2017,__all__
Leo,627,2,2017,__all__
Bruno,467,3,2017,__all__
Sämi,390,4,2017,__all__
Moritz,366,5,2017,__all__
Fritz,343,6,2017,__all__
Peter,340,7,2017,__all__
Simon,338,8,2017,__all__
Sepp,335,9,2017,__all__
Paul,334,10,2017,__all__
Max,847,1,2018,__all__
Leo,680,2,2018,__all__
Bruno,435,3,2018,__all__
Sämi,376,4,2018,__all__
Peter,365,5,2018,__all__
Fritz,362,6,2018,__all__
Paul,355,7,2018,__all__
Sepp,341,8,2018,__all__
Lars,337,9,2018,__all__
Anton,337,9,2018,__all__
Max,891,1,2019,__all__
Leo,738,2,2019,__all__
Bruno,482,3,2019,__all__
Peter,418,4,2019,__all__
Paul,416,5,2019,__all__
Fritz,414,6,2019,__all__
Moritz,402,7,2019,__all__
Anton,383,8,2019,__all__
Sämi,377,9,2019,__all__
Sepp,366,10,2019,__all__
Max,876,1,2020,__all__
Leo,740,2,2020,__all__
Bruno,547,3,2020,__all__
Emil,449,4,2020,__all__
Anton,441,5,2020,__all__
Fritz,436,6,2020,__all__
Sepp,418,7,2020,__all__
Sämi,412,8,2020,__all__
Moritz,408,9,2020,__all__
Paul,400,10,2020,__all__
Max,843,1,2021,__all__
Leo,798,2,2021,__all__
Bruno,567,3,2021,__all__
Anton,490,4,2021,__all__
Sepp,427,5,2021,__all__
Sämi,425,6,2021,__all__
Emil,425,6,2021,__all__
Peter,412,8,2021,__all__
Fritz,409,9,2021,__all__
Moritz,402,10,2021,__all__
Max,892,1,2022,__all__
Leo,726,2,2022,__all__
Bruno,582,3,2022,__all__
Anton,472,4,2022,__all__
Sämi,459,5,2022,__all__
Sepp,439,6,2022,__all__
Emil,422,7,2022,__all__
Lars,394,8,2022,__all__
Peter,389,9,2022,__all__
Moritz,387,10,2022,__all__
Max,486,1,2023,__all__
Leo,365,2,2023,__all__
Bruno,282,3,2023,__all__
Peter,231,4,2023,__all__
Anton,228,5,2023,__all__
Sepp,222,6,2023,__all__
Sämi,217,7,2023,__all__
Paul,210,8,2023,__all__
Fritz,207,9,2023,__all__
Hans,198,10,2023,__all__
Max,566,1,2010,de
Leo,531,2,2010,de
Bruno,377,3,2010,de
Fritz,355,4,2010,de
Moritz,355,4,2010,de
Carlo,341,6,2010,de
Peter,336,7,2010,de
Sepp,328,8,2010,de
Franz,320,9,2010,de
Sämi,314,10,2010,de
Max,613,1,2011,de
Leo,561,2,2011,de
Bruno,340,3,2011,de
Sämi,339,4,2011,de
Moritz,339,4,2011,de
Sepp,320,6,2011,de
Nero,320,6,2011,de
Carlo,306,8,2011,de
Fritz,303,9,2011,de
Peter,294,10,2011,de
Max,600,1,2012,de
Leo,550,2,2012,de
Sämi,380,3,2012,de
Bruno,351,4,2012,de
Peter,334,5,2012,de
Sepp,328,6,2012,de
Fritz,321,7,2012,de
Moritz,316,8,2012,de
Paul,305,9,2012,de
Sandro,296,10,2012,de
Max,638,1,2013,de
Leo,597,2,2013,de
Bruno,390,3,2013,de
Sämi,365,4,2013,de
Felix,360,5,2013,de
Paul,344,6,2013,de
Moritz,341,7,2013,de
Sepp,336,8,2013,de
Fritz,332,9,2013,de
Peter,323,10,2013,de
Max,694,1,2014,de
Leo,599,2,2014,de
Sämi,384,3,2014,de
Bruno,380,4,2014,de
Fritz,376,5,2014,de
Moritz,357,6,2014,de
Peter,355,7,2014,de
Lars,350,8,2014,de
Franz,335,9,2014,de
Paul,331,10,2014,de
Max,660,1,2015,de
Leo,581,2,2015,de
Sämi,414,3,2015,de
Bruno,401,4,2015,de
Fritz,348,5,2015,de
Moritz,327,6,2015,de
Sepp,325,7,2015,de
Lars,319,8,2015,de
Peter,312,9,2015,de
Franz,310,10,2015,de
Max,662,1,2016,de
Leo,553,2,2016,de
Bruno,423,3,2016,de
Sämi,398,4,2016,de
Moritz,345,5,2016,de
Peter,341,6,2016,de
Lars,332,7,2016,de
Fritz,328,8,2016,de
Emil,314,9,2016,de
Toni,311,10,2016,de
Max,662,1,2017,de
Leo,577,2,2017,de
Bruno,422,3,2017,de
Sämi,374,4,2017,de
Moritz,343,5,2017,de
Fritz,321,6,2017,de
Anton,314,7,2017,de
Franz,313,8,2017,de
Sepp,311,9,2017,de
Emil,311,9,2017,de
Max,729,1,2018,de
Leo,628,2,2018,de
Bruno,388,3,2018,de
Sämi,365,4,2018,de
Fritz,335,5,2018,de
Peter,332,6,2018,de
Lars,324,7,2018,de
Anton,323,8,2018,de
