event_year,breed_type,min,lower_fence,q1,median,q3,upper_fence,max,tot_number_animals
2010,Beef,20,20,27,31,35,47.0,50,9080
2010,Dairy,20,20,27,31,34,44.5,50,151138
2011,Beef,20,20,27,31,35,47.0,50,9599
2011,Dairy,20,20,27,30,34,44.5,50,153334
2012,Beef,20,20,27,31,35,47.0,50,10325
2012,Dairy,20,20,27,30,34,44.5,50,153297
2013,Beef,20,20,27,31,35,47.0,50,12000
2013,Dairy,20,20,27,30,34,44.5,50,149372
2014,Beef,20,20,27,30,35,47.0,50,12391
2014,Dairy,20,20,27,30,34,44.5,50,145009
2015,Beef,20,20,27,30,34,44.5,50,12455
2015,Dairy,20,20,27,30,33,42.0,50,141815
2016,Beef,20,20,27,30,35,47.0,50,13302
2016,Dairy,20,20,27,30,33,42.0,50,139932
2017,Beef,20,20,27,30,34,44.5,50,13176
2017,Dairy,20,20,27,30,33,42.0,50,133688
2018,Beef,20,20,27,30,34,44.5,50,14307
2018,Dairy,20,20,27,30,33,42.0,50,139580
2019,Beef,20,20,27,30,34,44.5,50,15209
2019,Dairy,20,20,27,30,33,42.0,50,135977
2020,Beef,20,20,27,30,34,44.5,50,15089
2020,Dairy,20,20,27,29,33,42.0,50,125570
2021,Beef,20,20,26,30,34,46.0,50,15786
2021,Dairy,20,20,27,29,33,42.0,50,128036
2022,Beef,20,20,26,30,34,46.0,50,15439
2022,Dairy,20,20,26,29,33,43.5,50,130223
2023,Beef,20,20,26,30,34,46.0,50,9186
2023,Dairy,20,20,26,29,33,43.5,50,67241
