event_year,breed_type,min,lower_fence,q1,median,q3,upper_fence,max,tot_number_animals
2010,Beef,20,20,44,73,110,209.0,292,10289
2010,Dairy,20,20,42,64,90,162.0,256,155960
2011,Beef,20,20,44,73,110,209.0,278,10561
2011,Dairy,20,20,41,62,89,161.0,262,156251
2012,Beef,20,20,44,71,107,201.5,282,10993
2012,Dairy,20,20,40,61,87,157.5,288,155137
2013,Beef,20,20,45,72,108,202.5,295,12656
2013,Dairy,20,20,40,61,86,155.0,298,150664
2014,Beef,20,20,46,72,109,203.5,279,12956
2014,Dairy,20,20,40,60,85,152.5,285,145994
2015,Beef,20,20,45,73,108,202.5,275,12964
2015,Dairy,20,20,41,61,85,151.0,294,142596
2016,Beef,20,20,45,73,108,202.5,265,13733
2016,Dairy,20,20,41,62,86,153.5,263,140648
2017,Beef,20,20,46,74,110,206.0,259,13627
2017,Dairy,20,20,41,62,87,156.0,247,134325
2018,Beef,20,20,47,76,112,209.5,273,14767
2018,Dairy,20,20,41,62,88,158.5,266,140219
2019,Beef,20,20,45,74,111,210.0,298,15720
2019,Dairy,20,20,41,62,87,156.0,273,136552
2020,Beef,20,20,46,74,111,208.5,279,15600
2020,Dairy,20,20,41,62,88,158.5,253,126129
2021,Beef,20,20,46,75,111,208.5,257,16306
2021,Dairy,20,20,41,62,88,158.5,259,128572
2022,Beef,20,20,45,73,109,205.0,247,15975
2022,Dairy,20,20,41,62,87,156.0,241,130794
2023,Beef,20,20,44,72,108,204.0,236,9474
2023,Dairy,20,20,40,61,87,157.5,288,67522
