event_year,breed_type,min,lower_fence,q1,median,q3,upper_fence,max,tot_number_animals
2010,Beef,20,20,51,81,118,218.5,282,10378
2010,Dairy,20,20,51,73,99,171.0,275,156044
2011,Beef,20,20,52,82,119,219.5,291,10639
2011,Dairy,20,20,50,71,98,170.0,274,156329
2012,Beef,20,20,52,80,116,212.0,289,11075
2012,Dairy,20,20,49,70,96,166.5,292,155225
2013,Beef,20,20,53,80,117,213.0,297,12737
2013,Dairy,20,20,50,70,95,162.5,299,150737
2014,Beef,20,20,54,81,118,214.0,296,13045
2014,Dairy,20,20,50,70,94,160.0,291,146041
2015,Beef,20,20,54,82,117,211.5,282,13053
2015,Dairy,20,20,50,70,94,160.0,297,142647
2016,Beef,20,20,54,82,116,209.0,276,13827
2016,Dairy,20,20,50,71,95,162.5,286,140711
2017,Beef,20,20,55,84,120,217.5,274,13697
2017,Dairy,20,20,51,72,97,166.0,271,134371
2018,Beef,20,20,56,86,121,218.5,289,14866
2018,Dairy,20,20,50,72,97,167.5,280,140274
2019,Beef,20,20,54,83,120,219.0,282,15825
2019,Dairy,20,20,51,71,97,166.0,291,136610
2020,Beef,20,20,54,84,120,219.0,292,15694
2020,Dairy,20,20,51,72,98,168.5,260,126181
2021,Beef,20,20,54,83,120,219.0,279,16397
2021,Dairy,20,20,51,72,97,166.0,295,128626
2022,Beef,20,20,54,82,118,214.0,276,16074
2022,Dairy,20,20,50,71,96,165.0,288,130832
2023,Beef,20,20,53,80,117,213.0,256,9537
2023,Dairy,20,20,50,71,96,165.0,293,67550
