year,month,zone_valley,zone_hills,zone_mountain01,zone_mountain02,zone_mountain03,zone_mountain04,zone_summering,zone_unknown,zone_summering_ausland
2010,1,665480,237658,215447,242509,120074,63786,481,78980,0
2010,2,668972,238932,215830,242610,119719,63572,359,78834,0
2010,3,667009,237550,214696,242435,119036,63011,355,77467,0
2010,4,662932,236567,212963,240948,117297,61869,1758,76063,0
2010,5,626727,221995,184272,207566,98031,54264,125081,76398,0
2010,6,574086,198637,155252,158747,36040,13721,359982,79191,164
2010,7,573908,198697,156275,158852,33654,11063,364063,78780,164
2010,8,579458,200593,160744,167108,38606,15256,336255,78300,163
2010,9,639419,226278,197152,223583,93351,48200,93781,71493,0
2010,10,668667,238078,213370,239940,115109,60777,4822,71757,0
2010,11,670666,238060,214086,241223,117133,62129,611,71177,0
2010,12,670344,238386,214520,242774,118559,63374,487,70859,0
2011,1,670739,237841,214316,242489,118834,63436,336,69561,0
2011,2,673156,238547,214391,242239,118429,63198,329,68641,0
2011,3,670945,238129,214383,242207,117729,62654,345,67916,0
2011,4,665139,237211,211809,240237,115976,61393,4918,66504,0
2011,5,614282,215785,175052,191318,87480,49987,181871,68050,89
2011,6,577092,199318,155143,157981,34548,12053,362083,69174,227
2011,7,576193,199294,156307,158843,33289,10626,360962,69018,233
2011,8,582423,201822,162110,169310,39727,15871,328921,68401,232
2011,9,637111,225767,197645,224929,93017,47286,95213,62529,70
2011,10,667248,237513,213691,241120,114998,60134,5491,62088,70
2011,11,669009,238752,214555,243099,117570,61811,794,62549,0
2011,12,668763,239160,215547,244187,119554,63093,525,61998,0
2012,1,669308,239028,215629,244058,119620,63197,461,60736,0
2012,2,670740,239266,216784,245006,119733,63128,443,60257,0
2012,3,667477,239160,215984,244269,118997,62409,447,58889,0
2012,4,663517,237949,213992,241906,117035,61085,1619,57488,0
2012,5,627127,225179,186948,211192,100750,54047,115367,56459,0
2012,6,575387,201037,157499,159096,36415,13023,355325,58881,235
2012,7,575749,201256,157855,158821,33803,10603,358915,59013,248
2012,8,578924,204338,162468,166194,38605,13736,337111,57792,243
2012,9,633363,228959,197826,224622,92618,46560,102246,52078,85
2012,10,664798,240903,215243,241289,115312,60086,3277,52696,85
2012,11,664829,239840,215755,242100,117548,61555,313,52032,0
2012,12,666979,241923,216189,243688,118914,62727,210,51340,0
2013,1,668935,241483,216522,244003,119190,63299,202,49760,0
2013,2,667823,241729,216626,243257,118972,63010,200,48740,0
2013,3,666603,241298,216171,242855,118116,62346,251,47373,0
2013,4,661948,239012,213748,239960,115656,60654,1020,45996,0
2013,5,642243,232376,199022,223273,103109,55671,58271,45148,0
2013,6,577220,203986,157594,158631,37942,15182,348493,48042,159
2013,7,577042,203600,157263,156628,33298,10476,360782,48399,227
2013,8,581916,205575,161219,163859,36675,12145,343688,47910,227
2013,9,632784,227773,194104,220299,88879,44872,116349,42225,68
2013,10,666682,241337,214091,239230,114096,59841,6109,42892,67
2013,11,668371,241899,215265,240472,116568,61952,285,42779,0
2013,12,670379,243216,216053,241255,117668,62775,238,42147,0
2014,1,668912,242003,215301,240673,117378,62838,150,41072,0
2014,2,667816,241098,214961,239401,116672,62400,148,40293,0
2014,3,665637,240949,213649,238151,115315,61550,245,39739,0
