year,month,abondance,angler,angus,aubrac,ayrshire,bazadaise,bison,blonded_aquitaine,bordelaise,braunvieh,charolais,chianina,daenische_rotbunte,dahomey,dexter,eringer,evolene,galloway,gasconne,gelbvieh,grauvieh,guernsey,hereford,highland_cattle,hinterwaelder,holstein,inra95,jersey,kiwicross,kreuzung,limousin,low_line,luing,maine_anjou,marchigiana,montbeliarde,murnau_werdenfelser,normande,norwegische_rotbunte,original_braunvieh,parthenaise,piemonteser,pinzgauer,pustertaler_sprinzen,rasseunbekannt,ratisches_grauvieh,red_holstein,romagnola,rotes_hoehenvieh,rotfleckvieh,salers,schwedische_rotbunte,shorthorn,simmental,swiss_fleckvieh,tarentaise,texas_longhorn,tuxer,valdostana,vosgienne,wagyu,wasserbueffel,weissblaue_belgier,welsh_black,yak,zebu,zwergzebu
2010,1,,,1147,119,7.0,,0.0,131,0.0,13245,304,0.0,,,84,664,44.0,153,0.0,0.0,278,,61,112,98,7394,0.0,341,7.0,12899,3604,0.0,9.0,,0.0,914,0.0,122,,10.0,,105,49.0,0.0,46,0,1071,0.0,0.0,17139,56,0.0,0.0,2749,428,0.0,0.0,,0.0,,,22,70,0.0,,,0.0
2010,2,0.0,5.0,1050,81,8.0,,0.0,132,0.0,12123,334,,,,86,336,39.0,136,,0.0,231,0.0,52,111,98,6997,0.0,292,20.0,12627,3417,0.0,21.0,0.0,0.0,732,0.0,122,0.0,7.0,7.0,76,30.0,0.0,43,0,1066,0.0,0.0,16758,57,0.0,,2532,414,,0.0,0.0,0.0,0.0,,12,50,0.0,,7.0,0.0
2010,3,0.0,,1326,139,7.0,,0.0,158,0.0,12375,319,,,,142,203,23.0,232,0.0,,262,0.0,80,256,120,6467,0.0,269,14.0,13664,3770,0.0,19.0,0.0,0.0,707,0.0,91,0.0,15.0,10.0,98,16.0,0.0,26,0,963,,0.0,15538,60,0.0,,2537,416,,0.0,0.0,0.0,,0.0,18,61,0.0,5.0,15.0,0.0
2010,4,0.0,,1255,151,,,8.0,110,0.0,9066,338,0.0,0.0,,142,106,17.0,238,0.0,,172,0.0,71,382,60,5158,0.0,181,7.0,12172,3515,0.0,5.0,,0.0,615,0.0,105,0.0,7.0,5.0,78,12.0,0.0,43,0,839,0.0,0.0,12093,46,0.0,,1711,302,,,,0.0,,0.0,18,50,0.0,33.0,12.0,0.0
2010,5,0.0,,1035,73,,,95.0,113,0.0,7900,263,,,,103,67,14.0,160,0.0,,129,0.0,72,257,76,4852,0.0,183,0.0,10976,2910,0.0,,0.0,0.0,543,0.0,75,,,,88,,0.0,49,0,757,0.0,0.0,10185,32,0.0,,1242,268,0.0,0.0,,0.0,,,16,49,0.0,36.0,5.0,0.0
2010,6,0.0,,898,102,,,0.0,116,0.0,7464,256,,,,82,41,13.0,149,0.0,,109,0.0,65,195,69,4824,0.0,190,0.0,10492,2785,0.0,9.0,,0.0,546,0.0,80,0.0,5.0,0.0,73,12.0,0.0,27,0,768,0.0,0.0,9539,39,0.0,,947,255,,0.0,0.0,0.0,,,16,70,0.0,43.0,8.0,0.0
2010,7,0.0,,1089,125,,5.0,5.0,126,0.0,10524,298,,6.0,,95,38,12.0,160,0.0,,151,0.0,73,149,66,6272,0.0,248,0.0,12494,3374,0.0,8.0,0.0,0.0,605,0.0,69,0.0,,0.0,79,8.0,0.0,38,0,1042,,0.0,12079,53,,,1032,261,,,,0.0,,,48,63,0.0,17.0,,0.0
2010,8,,,1391,154,,,0.0,146,0.0,12892,323,0.0,,,72,79,25.0,135,0.0,,218,0.0,87,156,51,7442,0.0,292,,13190,3860,0.0,,0.0,0.0,857,0.0,75,0.0,,,87,,0.0,35,0,1252,0.0,0.0,13982,52,0.0,,1473,345,0.0,0.0,,0.0,0.0,,68,58,0.0,5.0,8.0,0.0
2010,9,0.0,,1393,163,,,,152,0.0,18136,289,0.0,,0.0,100,301,16.0,154,,,268,0.0,84,127,78,7811,,374,0.0,14241,4279,0.0,6.0,0.0,0.0,973,0.0,129,0.0,11.0,,99,15.0,0.0,50,0,1299,0.0,0.0,15949,64,0.0,,2833,463,0.0,,,0.0,,,65,53,0.0,,,0.0
2010,10,,,1456,142,,,,155,0.0,20566,378,0.0,0.0,,85,1478,50.0,137,0.0,,412,0.0,76,141,82,7807,,420,,15076,4257,0.0,,0.0,,1104,0.0,154,0.0,26.0,,127,38.0,0.0,57,0,1429,,0.0,16731,80,0.0,0.0,4136,554,0.0,0.0,,0.0,,,37,83,0.0,6.0,9.0,0.0
2010,11,0.0,,1448,165,,0.0,,161,0.0,16952,362,0.0,,,91,1966,82.0,147,0.0,,373,0.0,70,148,77,7557,5.0,358,,14814,4288,0.0,5.0,0.0,0.0,1044,0.0,138,,18.0,,132,33.0,0.0,40,0,1499,,0.0,16425,77,0.0,,3617,570,,0.0,,0.0,,,28,73,0.0,,5.0,0.0
2010,12,,,1355,152,7.0,,0.0,140,0.0,14140,323,0.0,6.0,,147,1093,43.0,182,0.0,0.0,314,0.0,72,130,86,7436,,312,0.0,14238,4203,0.0,22.0,0.0,0.0,906,0.0,134,0.0,16.0,0.0,118,45.0,0.0,40,0,1500,0.0,0.0,15858,59,,0.0,3128,615,0.0,0.0,,0.0,,,31,76,0.0,,7.0,0.0
2011,1,0.0,,1304,114,12.0,,0.0,161,0.0,12470,308,,,,85,648,42.0,166,0.0,,292,0.0,72,108,114,7425,,312,,14095,4052,0.0,10.0,,0.0,884,0.0,143,0.0,8.0,12.0,110,26.0,0.0,41,0,1574,0.0,0.0,15517,46,0.0,,2775,619,0.0,,,0.0,5.0,,38,81,0.0,0.0,11.0,0.0
2011,2,,0.0,1177,110,11.0,0.0,,98,0.0,11379,307,,,,117,316,26.0,142,0.0,,250,0.0,72,111,107,6845,12.0,308,13.0,13783,3771,0.0,13.0,,0.0,791,0.0,138,0.0,13.0,,106,20.0,0.0,44,0,1322,,0.0,14884,70,,,2569,611,0.0,0.0,,0.0,,0.0,13,81,0.0,0.0,6.0,0.0
