year,month,ag,ai,ar,be,bl,bs,fr,ge,gl,gr,ju,lu,ne,nw,ow,sg,sh,so,sz,tg,ti,ur,vd,vs,zg,zh,
2010,1,3019,609,850,14039,1127,10.0,5631,84,441,2428,2043,6385,1458,575,772,5506,378,1824,1676,3499,502,449,4446,1455,775,3516,14.0
2010,2,2855,541,832,14034,1017,14.0,5539,67,459,1608,1735,6651,1341,501,648,5416,361,1686,1491,3471,356,352,4074,923,839,3302,12.0
2010,3,3041,570,982,14074,1053,16.0,4967,52,483,1427,1841,6382,1635,436,673,5637,360,1736,1656,3396,380,331,3936,712,839,3812,16.0
2010,4,2561,482,734,11280,1007,9.0,3725,49,347,1289,1791,5597,1409,396,477,4326,334,1550,1252,2574,356,290,3085,467,727,3016,14.0
2010,5,2498,415,721,9587,772,6.0,3083,77,219,837,1426,4954,1347,276,378,4017,309,1365,1078,2510,238,186,2459,282,658,2933,24.0
2010,6,2383,369,678,8587,832,7.0,2904,23,206,683,1445,5032,1168,307,300,3884,317,1345,1110,2520,167,102,2120,196,703,2899,22.0
2010,7,2805,549,886,9991,996,8.0,3790,29,280,1046,1927,6318,1445,519,490,5300,414,1706,1543,3350,177,138,2459,202,845,3484,38.0
2010,8,3063,636,1102,11274,1123,20.0,4686,54,289,1998,2163,6657,1802,587,804,6235,412,1816,1678,3688,188,191,3366,426,881,3632,79.0
2010,9,3251,944,1241,13671,1145,11.0,5884,76,484,4640,2452,6306,1637,590,1190,7048,438,1853,1844,3951,366,591,4478,1121,931,3784,80.0
2010,10,3142,853,1165,15358,1066,11.0,6258,133,1005,5931,2234,6554,1515,753,1202,7202,400,1639,2103,3934,737,1047,5438,2732,951,3924,36.0
2010,11,2966,776,1020,14853,1130,15.0,6063,153,819,4060,2296,6526,1530,659,973,6549,429,1651,1970,3639,777,789,5084,3229,908,3924,6.0
2010,12,3006,656,908,13962,1137,19.0,5949,90,583,3097,2133,6208,1494,665,824,6051,366,1684,1755,3722,656,614,4628,2154,851,3730,9.0
2011,1,3001,554,858,14083,1149,16.0,5684,110,514,2464,2083,6608,1416,570,694,5575,369,1762,1653,3466,489,486,4255,1431,813,3596,
2011,2,2970,481,791,13737,1024,21.0,5525,87,471,1454,1711,6487,1317,532,706,5439,386,1770,1556,3354,377,374,3810,872,774,3616,13.0
2011,3,3098,529,916,14498,1114,15.0,5235,62,459,1364,1974,6820,1782,471,592,5528,400,1697,1558,3519,410,303,3953,659,843,3711,12.0
