year,month,dairy,other_cow
2010,1,54343,8960
2010,2,51869,8085
2010,3,50725,9592
2010,4,39554,9433
2010,5,34580,7843
2010,6,32894,7252
2010,7,42130,8461
2010,8,48558,10092
2010,9,59086,10639
2010,10,66176,10815
2010,11,62198,10318
2010,12,57143,9635
2011,1,54328,9197
2011,2,51301,8180
2011,3,51349,10044
2011,4,37950,9306
2011,5,35028,8077
2011,6,33572,7159
2011,7,40959,8519
2011,8,49643,10311
2011,9,59746,10682
2011,10,66075,11052
2011,11,61122,10426
2011,12,56714,9927
2012,1,54743,9255
2012,2,54057,8734
2012,3,48913,10359
2012,4,37200,9175
2012,5,34216,8320
2012,6,31605,7034
2012,7,40898,8574
2012,8,50113,10463
2012,9,58452,10934
2012,10,66337,11732
2012,11,59472,10596
2012,12,55143,9574
2013,1,56038,10072
2013,2,46488,8016
2013,3,46534,9642
2013,4,36640,9319
2013,5,32762,8403
2013,6,33698,8180
2013,7,42593,9111
2013,8,49174,11191
2013,9,57271,10958
2013,10,66327,11886
2013,11,60366,11026
2013,12,56859,10433
2014,1,51692,9456
2014,2,46038,8049
2014,3,46041,9757
2014,4,39673,9879
2014,5,33316,9000
2014,6,34828,8325
2014,7,40541,9130
2014,8,47292,10384
2014,9,58301,11238
2014,10,64701,11831
2014,11,58887,11351
2014,12,54525,10371
2015,1,52312,9369
2015,2,47406,8799
2015,3,47338,10643
2015,4,36781,9876
2015,5,33907,8953
2015,6,32790,7794
2015,7,39335,9000
2015,8,44991,10272
2015,9,56805,11279
2015,10,63327,11815
2015,11,58916,11509
2015,12,55878,10708
2016,1,49437,9748
2016,2,47591,9157
2016,3,45260,10544
2016,4,33344,9958
2016,5,31099,8773
2016,6,33699,8106
2016,7,41186,9130
2016,8,48171,10520
2016,9,58774,11542
2016,10,61127,12026
2016,11,57727,11806
2016,12,53108,11000
2017,1,49164,10310
2017,2,44706,9109
2017,3,44522,10587
2017,4,33198,9945
2017,5,31552,9054
2017,6,30932,8301
2017,7,38669,8851
2017,8,48332,10966
2017,9,56170,11337
2017,10,59727,12175
2017,11,56222,12156
2017,12,50641,10976
2018,1,49287,10482
2018,2,43658,9798
2018,3,43055,11187
2018,4,33690,10045
2018,5,31602,9488
2018,6,31529,8146
2018,7,39055,9309
2018,8,47322,11575
2018,9,54891,11566
2018,10,59603,12628
2018,11,54109,12348
2018,12,51372,11625
2019,1,48107,11401
2019,2,45981,9986
2019,3,43353,11633
2019,4,34280,10362
2019,5,28748,9195
2019,6,29435,8424
2019,7,38061,9731
2019,8,45466,10823
2019,9,55188,11992
2019,10,58447,13024
2019,11,54541,13109
2019,12,49812,11794
2020,1,46938,11512
2020,2,45339,10735
2020,3,42177,11334
2020,4,32190,10782
2020,5,30229,9487
2020,6,29991,8518
2020,7,37206,9782
2020,8,45093,11151
2020,9,54234,12066
2020,10,57752,13361
2020,11,53795,13336
2020,12,49953,12330
2021,1,50380,12201
2021,2,45875,10929
2021,3,42480,11660
2021,4,33100,10762
2021,5,28394,9209
2021,6,29320,8590
2021,7,36400,9715
2021,8,44954,11219
2021,9,54183,11861
2021,10,58032,13741
2021,11,54344,13907
2021,12,50043,12905
2022,1,49094,12293
2022,2,44920,10940
2022,3,42473,11879
2022,4,33148,10897
2022,5,30747,9928
2022,6,29541,8557
2022,7,34643,8986
2022,8,44238,11301
2022,9,52205,11931
2022,10,58227,14372
2022,11,54204,14298
2022,12,49823,13562
2023,1,46987,12287
2023,2,43183,10612
2023,3,40430,11915
2023,4,32078,10879
2023,5,28822,9775
2023,6,28432,8670
2023,7,28959,7773
