year,breed_type_mother,min,lower_fence,q1,median,q3,upper_fence,max,tot_number_animals,tot_number_observations
2010,Beef,270,270,335,358,389,470.0,650,4640,20321
2010,Dairy,270,270,352,378,422,527.0,650,137907,473748
2011,Beef,270,270,335,358,391,475.0,650,5013,22951
2011,Dairy,270,270,352,378,422,527.0,650,135862,468518
2012,Beef,270,270,335,358,390,472.5,650,5092,23674
2012,Dairy,270,270,352,378,422,527.0,650,133884,456094
2013,Beef,270,270,334,357,389,471.5,650,5914,28024
2013,Dairy,270,270,352,378,422,527.0,650,131286,444814
2014,Beef,270,270,335,358,390,472.5,650,6340,30720
2014,Dairy,270,270,352,378,422,527.0,650,127307,428792
2015,Beef,270,270,335,358,390,472.5,650,6206,31630
2015,Dairy,270,270,352,379,423,529.5,650,126562,427341
2016,Beef,270,270,335,358,390,472.5,650,6097,31573
2016,Dairy,270,270,352,379,423,529.5,650,126033,428339
2017,Beef,270,270,335,359,391,475.0,650,6377,33464
2017,Dairy,270,270,353,380,424,530.5,650,121220,417998
2018,Beef,270,270,336,359,390,471.0,650,7043,37536
2018,Dairy,270,270,353,380,425,533.0,650,127044,440204
2019,Beef,270,270,336,359,390,471.0,650,7528,39229
2019,Dairy,270,270,353,380,426,535.5,650,123650,427199
2020,Beef,270,270,336,359,392,476.0,650,7557,39188
2020,Dairy,270,270,353,381,427,538.0,650,115945,404076
2021,Beef,270,270,336,359,390,471.0,650,8173,42322
2021,Dairy,270,270,354,381,427,536.5,650,119057,414152
2022,Beef,270,270,336,359,390,471.0,650,7934,40256
2022,Dairy,270,270,354,382,428,539.0,650,120343,416989
2023,Beef,270,270,336,359,391,473.5,650,4541,22582
2023,Dairy,270,270,354,382,428,539.0,650,62836,215869
