year,month,male,female
2010,1,32363,31148
2010,2,30963,29162
2010,3,31075,29368
2010,4,25610,23534
2010,5,21913,20742
2010,6,20557,19752
2010,7,25977,24758
2010,8,29740,29110
2010,9,35473,34534
2010,10,39164,38159
2010,11,37084,35710
2010,12,33955,32996
2011,1,32398,31305
2011,2,30392,29263
2011,3,31667,29855
2011,4,24534,22821
2011,5,22223,21063
2011,6,20999,19834
2011,7,25303,24300
2011,8,30449,29660
2011,9,35596,35108
2011,10,39450,37941
2011,11,36427,35316
2011,12,34155,32600
2012,1,32407,31672
2012,2,31913,30930
2012,3,30524,28783
2012,4,23760,22647
2012,5,21741,20878
2012,6,19850,18817
2012,7,25152,24346
2012,8,30846,29767
2012,9,34990,34432
2012,10,39730,38355
2012,11,35661,34422
2012,12,32657,32073
2013,1,33156,32986
2013,2,27747,26770
2013,3,28932,27272
2013,4,23714,22267
2013,5,21181,20083
2013,6,21301,20593
2013,7,26377,25343
2013,8,30243,30133
2013,9,34151,34097
2013,10,39420,38817
2013,11,35937,35475
2013,12,34056,33246
2014,1,30744,30423
2014,2,27126,26976
2014,3,28588,27221
2014,4,25463,24097
2014,5,21605,20764
2014,6,21753,21413
2014,7,25020,24662
2014,8,28842,28841
2014,9,34547,35000
2014,10,38408,38133
2014,11,35325,34920
2014,12,32403,32505
2015,1,30675,31016
2015,2,28203,28008
2015,3,29486,28503
2015,4,23785,22881
2015,5,21736,21208
2015,6,20677,19922
2015,7,24447,23898
2015,8,27550,27722
2015,9,33831,34262
2015,10,37322,37826
2015,11,35137,35297
2015,12,33308,33282
2016,1,29211,30001
2016,2,28380,28372
2016,3,28291,27516
2016,4,22024,21285
2016,5,20019,19931
2016,6,20939,20870
2016,7,24970,25350
2016,8,28761,29938
2016,9,34282,36045
2016,10,35782,37385
2016,11,34068,35475
2016,12,31242,32873
2017,1,28984,30539
2017,2,26615,27212
2017,3,27848,27269
2017,4,21654,21494
2017,5,20624,20062
2017,6,19465,19771
2017,7,23281,24248
2017,8,28517,30791
2017,9,32453,35067
2017,10,35076,36835
2017,11,33329,35055
2017,12,29801,31825
2018,1,29087,30691
2018,2,26042,27424
2018,3,26897,27353
2018,4,21713,22029
2018,5,20453,20714
2018,6,19287,20396
2018,7,23300,25070
2018,8,28022,30887
2018,9,31239,35233
2018,10,34366,37885
2018,11,32105,34366
2018,12,30005,33002
2019,1,28704,30817
2019,2,27227,28750
2019,3,27094,27901
2019,4,22063,22586
2019,5,18825,19195
2019,6,18459,19410
2019,7,22838,24965
2019,8,26329,29982
2019,9,31461,35734
2019,10,33862,37628
2019,11,32204,35457
2019,12,29131,32485
2020,1,27658,30800
2020,2,26726,29353
2020,3,25989,27532
2020,4,21082,21898
2020,5,19316,20470
2020,6,18601,19917
2020,7,22073,24926
2020,8,25958,30291
2020,9,30505,35816
2020,10,33385,37744
2020,11,31308,35835
2020,12,29012,33282
2021,1,28991,33593
2021,2,26629,30180
2021,3,25870,28281
2021,4,21065,22809
2021,5,18028,19645
2021,6,17913,20011
2021,7,21293,24838
2021,8,25240,30948
2021,9,29833,36231
2021,10,32951,38839
2021,11,31184,37085
2021,12,28732,34229
2022,1,28107,33293
2022,2,25837,30031
2022,3,25919,28446
2022,4,20929,23128
2022,5,19320,21388
2022,6,17633,20474
2022,7,20033,23614
2022,8,24808,30752
2022,9,28633,35524
2022,10,32924,39692
2022,11,31109,37408
2022,12,28850,34542
2023,1,26848,32435
2023,2,24923,28879
2023,3,24877,27475
2023,4,20299,22662
2023,5,18287,20320
2023,6,17269,19854
2023,7,16666,20133
