year,month,dairy_male,dairy_female,other_cow_male,other_cow_female
2010,1,27613,26730,4640,4320
2010,2,26718,25151,4155,3930
2010,3,26265,24460,4755,4837
2010,4,20736,18818,4800,4633
2010,5,17808,16772,3976,3867
2010,6,16817,16077,3658,3594
2010,7,21570,20560,4324,4137
2010,8,24511,24047,5121,4971
2010,9,29868,29218,5449,5190
2010,10,33495,32681,5491,5324
2010,11,31661,30537,5265,5053
2010,12,29066,28077,4794,4841
2011,1,27639,26689,4664,4533
2011,2,26197,25104,4096,4084
2011,3,26460,24889,5139,4905
2011,4,19784,18166,4696,4610
2011,5,17999,17029,4130,3947
2011,6,17278,16294,3666,3493
2011,7,20875,20084,4365,4154
2011,8,25114,24529,5253,5058
2011,9,30019,29727,5414,5268
2011,10,33622,32453,5685,5367
2011,11,31031,30091,5293,5133
2011,12,28933,27781,5162,4765
2012,1,27644,27099,4718,4537
2012,2,27439,26618,4441,4293
2012,3,25190,23723,5316,5043
2012,4,19081,18119,4663,4512
2012,5,17506,16710,4195,4125
2012,6,16183,15422,3655,3379
2012,7,20746,20152,4391,4183
2012,8,25415,24698,5409,5054
2012,9,29408,29044,5566,5368
2012,10,33749,32588,5970,5762
2012,11,30248,29224,5407,5189
2012,12,27744,27399,4906,4668
2013,1,27998,28040,5146,4926
2013,2,23721,22767,4019,3997
2013,3,24000,22534,4917,4725
2013,4,18963,17677,4739,4580
2013,5,16900,15862,4228,4175
2013,6,17143,16555,4149,4031
2013,7,21674,20919,4697,4414
2013,8,24505,24669,5735,5456
2013,9,28566,28705,5578,5380
2013,10,33364,32963,6049,5837
2013,11,30263,30103,5661,5365
2013,12,28684,28175,5368,5065
2014,1,25910,25782,4825,4631
2014,2,23041,22997,4078,3971
2014,3,23548,22493,5031,4726
2014,4,20401,19272,5057,4822
2014,5,17036,16280,4544,4456
2014,6,17573,17255,4172,4153
2014,7,20319,20222,4694,4436
2014,8,23517,23775,5319,5065
2014,9,28846,29455,5695,5543
2014,10,32401,32300,6004,5827
2014,11,29557,29330,5766,5585
2014,12,27129,27396,5266,5105
2015,1,25945,26367,4722,4647
2015,2,23618,23788,4583,4216
2015,3,24027,23311,5454,5189
2015,4,18774,18007,5007,4869
2015,5,17073,16834,4623,4330
2015,6,16618,16172,4052,3742
2015,7,19688,19647,4754,4246
2015,8,22278,22713,5269,5003
2015,9,28109,28696,5717,5562
2015,10,31297,32030,6019,5796
2015,11,29237,29679,5896,5613
2015,12,27844,28034,5462,5246
2016,1,24257,25180,4948,4800
2016,2,23662,23929,4717,4440
2016,3,22896,22364,5394,5150
2016,4,16907,16437,5113,4845
2016,5,15551,15548,4430,4343
2016,6,16798,16901,4139,3967
2016,7,20364,20822,4603,4527
2016,8,23352,24819,5406,5114
2016,9,28242,30532,6033,5509
2016,10,29709,31418,6069,5957
2016,11,28023,29704,6043,5763
2016,12,25703,27405,5535,5465
2017,1,23779,25385,5202,5108
2017,2,21932,22774,4678,4431
2017,3,22384,22138,5461,5126
2017,4,16545,16653,5108,4837
2017,5,15898,15654,4690,4364
2017,6,15188,15744,4275,4026
