year,month,1,2,total
2010,1,59416,2038,61455
2010,2,56274,1916,58193
2010,3,56655,1887,58545
2010,4,45973,1580,47553
2010,5,39481,1544,41027
2010,6,37001,1644,38649
2010,7,46393,2160,48554
2010,8,54139,2347,56488
2010,9,65411,2289,67700
2010,10,72396,2455,74852
2010,11,68248,2265,70514
2010,12,62807,2068,64875
2011,1,59812,1938,61752
2011,2,55886,1882,57768
2011,3,57705,1903,59608
2011,4,44391,1479,45870
2011,5,40052,1574,41630
2011,6,37647,1588,39235
2011,7,45656,1969,47625
2011,8,55469,2313,57783
2011,9,65882,2404,68287
2011,10,72660,2360,75021
2011,11,67397,2167,69566
2011,12,62556,2095,64652
2012,1,59943,2059,62004
2012,2,59132,1838,60979
2012,3,55719,1779,57505
2012,4,43340,1528,44871
2012,5,39592,1473,41070
2012,6,35447,1599,37050
2012,7,45341,2064,47411
2012,8,55833,2378,58217
2012,9,64681,2351,67035
2012,10,73320,2373,75693
2012,11,65599,2236,67835
2012,12,60921,1899,62820
2013,1,61884,2112,63999
2013,2,51097,1704,52802
2013,3,52837,1675,54514
2013,4,42891,1535,44429
2013,5,38127,1521,39652
2013,6,38488,1694,40185
2013,7,47306,2194,49502
2013,8,55882,2239,58122
2013,9,63585,2320,65908
2013,10,73287,2464,75752
2013,11,67021,2186,69209
2013,12,62996,2141,65137
2014,1,57488,1827,59316
2014,2,50568,1759,52329
2014,3,52294,1750,54045
2014,4,46549,1488,48037
2014,5,39368,1476,40847
2014,6,39566,1790,41357
2014,7,45546,2061,47608
2014,8,53169,2250,55419
2014,9,64813,2356,67169
2014,10,71709,2407,74118
2014,11,66037,2093,68131
2014,12,60895,1998,62896
2015,1,57754,1958,59713
2015,2,52898,1651,54549
2015,3,54310,1833,56144
2015,4,43731,1460,45193
2015,5,39867,1493,41363
2015,6,37571,1505,39078
2015,7,44502,1912,46416
2015,8,50935,2156,53092
2015,9,63528,2275,65804
2015,10,70352,2391,72744
2015,11,65787,2315,68104
2015,12,62348,2115,64464
2016,1,55517,1833,57351
2016,2,53270,1739,55009
2016,3,52443,1678,54121
2016,4,40543,1377,41920
2016,5,36756,1555,38313
2016,6,38320,1740,40060
2016,7,46225,2041,48267
2016,8,54150,2270,56420
2016,9,65607,2352,67960
2016,10,68686,2232,70919
2016,11,65420,2054,67475
2016,12,60213,1947,62161
2017,1,55959,1757,57717
2017,2,50557,1628,52187
2017,3,51731,1688,53420
2017,4,40495,1324,41819
2017,5,37853,1373,39228
2017,6,36211,1508,37719
2017,7,43680,1919,45600
2017,8,54887,2202,57089
2017,9,62920,2292,65212
2017,10,67377,2265,69642
2017,11,64188,2089,66277
2017,12,57916,1848,59764
2018,1,56337,1715,58052
2018,2,50406,1526,51933
2018,3,50904,1667,52572
2018,4,41026,1352,42379
2018,5,38347,1369,39718
2018,6,36726,1472,38198
2018,7,44584,1888,46472
2018,8,54609,2147,56756
2018,9,62092,2186,64278
2018,10,67878,2177,70056
2018,11,62440,2006,64447
2018,12,59147,1926,61073
2019,1,55986,1761,57748
2019,2,52656,1656,54313
2019,3,51671,1657,53328
2019,4,41724,1460,43184
2019,5,35415,1266,36683
2019,6,34890,1485,36375
2019,7,44084,1851,45935
2019,8,52108,2094,54203
2019,9,62765,2209,64974
2019,10,67171,2157,69328
2019,11,63470,2090,65561
2019,12,57989,1808,59798
2020,1,55113,1666,56779
2020,2,52841,1613,54454
2020,3,50477,1521,51998
2020,4,40335,1319,41654
2020,5,37106,1306,38414
2020,6,35637,1438,37075
2020,7,43425,1783,45208
2020,8,52026,2106,54132
2020,9,62093,2111,64204
2020,10,66959,2081,69040
2020,11,63273,1931,65204
2020,12,58839,1724,60563
2021,1,59081,1742,60823
2021,2,53767,1519,55286
2021,3,50916,1615,52531
2021,4,41342,1264,42606
2021,5,35125,1243,36370
2021,6,35008,1453,36462
2021,7,42647,1737,44384
2021,8,51962,2108,54070
2021,9,61819,2116,63935
2021,10,67578,2102,69680
2021,11,64441,1911,66352
2021,12,59442,1751,61193
2022,1,57969,1710,59680
2022,2,52785,1538,54323
2022,3,51255,1551,52806
2022,4,41469,1291,42760
2022,5,38076,1300,39377
2022,6,35475,1312,36787
2022,7,40401,1617,42018
2022,8,51586,1983,53569
2022,9,60043,2052,62096
2022,10,68247,2183,70430
2022,11,64619,1941,66561
2022,12,59892,1745,61638
2023,1,56122,1577,57699
2023,2,50804,1495,52299
2023,3,49393,1473,50866
2023,4,40314,1320,41634
2023,5,36034,1285,37319
2023,6,34391,1361,35752
2023,7,34095,1347,35442
