year,month,total
2010,1,63511
2010,2,60125
2010,3,60443
2010,4,49144
2010,5,42655
2010,6,40309
2010,7,50735
2010,8,58850
2010,9,70007
2010,10,77323
2010,11,72794
2010,12,66951
2011,1,63703
2011,2,59655
2011,3,61522
2011,4,47355
2011,5,43286
2011,6,40833
2011,7,49603
2011,8,60109
2011,9,70704
2011,10,77391
2011,11,71743
2011,12,66755
2012,1,64079
2012,2,62843
2012,3,59307
2012,4,46407
2012,5,42619
2012,6,38667
2012,7,49498
2012,8,60613
2012,9,69422
2012,10,78085
2012,11,70083
2012,12,64730
2013,1,66142
2013,2,54517
2013,3,56204
2013,4,45981
2013,5,41264
2013,6,41894
2013,7,51720
2013,8,60376
2013,9,68248
2013,10,78237
2013,11,71412
2013,12,67302
2014,1,61167
2014,2,54102
2014,3,55809
2014,4,49560
2014,5,42369
2014,6,43166
2014,7,49682
2014,8,57683
2014,9,69547
2014,10,76541
2014,11,70245
2014,12,64908
2015,1,61691
2015,2,56211
2015,3,57989
2015,4,46666
2015,5,42944
2015,6,40599
2015,7,48345
2015,8,55272
2015,9,68093
2015,10,75148
2015,11,70434
2015,12,66590
2016,1,59212
2016,2,56752
2016,3,55807
2016,4,43309
2016,5,39950
2016,6,41809
2016,7,50320
2016,8,58699
2016,9,70327
2016,10,73167
2016,11,69543
2016,12,64115
2017,1,59523
2017,2,53827
2017,3,55117
2017,4,43148
2017,5,40686
2017,6,39236
2017,7,47529
2017,8,59308
2017,9,67520
2017,10,71911
2017,11,68384
2017,12,61626
2018,1,59778
2018,2,53466
2018,3,54250
2018,4,43742
2018,5,41167
2018,6,39683
2018,7,48370
2018,8,58909
2018,9,66472
2018,10,72251
2018,11,66471
2018,12,63007
2019,1,59521
2019,2,55977
2019,3,54995
2019,4,44649
2019,5,38020
2019,6,37869
2019,7,47803
2019,8,56311
2019,9,67195
2019,10,71490
2019,11,67661
2019,12,61616
2020,1,58458
2020,2,56079
2020,3,53521
2020,4,42980
2020,5,39786
2020,6,38518
2020,7,46999
2020,8,56249
2020,9,66321
2020,10,71129
2020,11,67143
2020,12,62294
2021,1,62584
2021,2,56809
2021,3,54151
2021,4,43874
2021,5,37673
2021,6,37924
2021,7,46131
2021,8,56188
2021,9,66064
2021,10,71790
2021,11,68269
2021,12,62961
2022,1,61400
2022,2,55868
2022,3,54365
2022,4,44057
2022,5,40708
2022,6,38107
2022,7,43647
2022,8,55560
2022,9,64157
2022,10,72616
2022,11,68517
2022,12,63392
2023,1,59283
2023,2,53802
2023,3,52352
2023,4,42961
2023,5,38607
2023,6,37123
2023,7,36799
