year,month,breed,n_animals
2010,1,Abondance,10.0
2010,2,Abondance,10.0
2010,3,Abondance,8.0
2010,4,Abondance,8.0
2010,5,Abondance,8.0
2010,6,Abondance,8.0
2010,7,Abondance,8.0
2010,8,Abondance,8.0
2010,9,Abondance,8.0
2010,10,Abondance,11.0
2010,11,Abondance,11.0
2010,12,Abondance,12.0
2011,1,Abondance,12.0
2011,2,Abondance,13.0
2011,3,Abondance,13.0
2011,4,Abondance,13.0
2011,5,Abondance,11.0
2011,6,Abondance,12.0
2011,7,Abondance,12.0
2011,8,Abondance,12.0
2011,9,Abondance,12.0
2011,10,Abondance,16.0
2011,11,Abondance,17.0
2011,12,Abondance,20.0
2012,1,Abondance,18.0
2012,2,Abondance,20.0
2012,3,Abondance,23.0
2012,4,Abondance,24.0
2012,5,Abondance,25.0
2012,6,Abondance,24.0
2012,7,Abondance,24.0
2012,8,Abondance,24.0
2012,9,Abondance,24.0
2012,10,Abondance,29.0
2012,11,Abondance,29.0
2012,12,Abondance,27.0
2013,1,Abondance,27.0
2013,2,Abondance,26.0
2013,3,Abondance,27.0
2013,4,Abondance,28.0
2013,5,Abondance,28.0
2013,6,Abondance,27.0
2013,7,Abondance,27.0
2013,8,Abondance,26.0
2013,9,Abondance,26.0
2013,10,Abondance,27.0
2013,11,Abondance,29.0
2013,12,Abondance,28.0
2014,1,Abondance,31.0
2014,2,Abondance,31.0
2014,3,Abondance,30.0
2014,4,Abondance,31.0
2014,5,Abondance,29.0
2014,6,Abondance,29.0
2014,7,Abondance,29.0
2014,8,Abondance,29.0
2014,9,Abondance,30.0
2014,10,Abondance,29.0
2014,11,Abondance,28.0
2014,12,Abondance,28.0
2015,1,Abondance,28.0
2015,2,Abondance,27.0
2015,3,Abondance,26.0
2015,4,Abondance,25.0
2015,5,Abondance,25.0
2015,6,Abondance,26.0
2015,7,Abondance,26.0
2015,8,Abondance,23.0
2015,9,Abondance,25.0
2015,10,Abondance,25.0
2015,11,Abondance,24.0
2015,12,Abondance,27.0
2016,1,Abondance,26.0
2016,2,Abondance,25.0
2016,3,Abondance,27.0
2016,4,Abondance,26.0
2016,5,Abondance,26.0
