year,breed_type,min,lower_fence,q1,median,q3,upper_fence,max,tot_number_animals,tot_number_observations
2010,Beef,1,1,2,4,7,14.5,17,10391,49187
2010,Dairy,1,1,2,4,6,12.0,15,156051,618269
2011,Beef,1,1,2,4,7,14.5,16,10651,51462
2011,Dairy,1,1,2,3,6,12.0,16,156340,611630
2012,Beef,1,1,2,4,7,14.5,17,11097,53313
2012,Dairy,1,1,2,3,5,9.5,18,155240,599407
2013,Beef,1,1,2,4,7,14.5,18,12751,62581
2013,Dairy,1,1,2,3,5,9.5,18,150749,579056
2014,Beef,1,1,2,4,7,14.5,18,13056,65229
2014,Dairy,1,1,2,3,5,9.5,18,146044,558330
2015,Beef,1,1,2,4,7,14.5,18,13064,65660
2015,Dairy,1,1,2,3,5,9.5,18,142658,550333
2016,Beef,1,1,2,4,7,14.5,20,13835,68513
2016,Dairy,1,1,2,3,5,9.5,20,140713,546212
2017,Beef,1,1,2,4,7,14.5,20,13706,70009
2017,Dairy,1,1,2,3,5,9.5,19,134378,527639
2018,Beef,1,1,2,5,8,17.0,20,14876,78046
2018,Dairy,1,1,2,3,5,9.5,20,140258,552221
2019,Beef,1,1,2,4,7,14.5,19,15830,81127
2019,Dairy,1,1,2,3,5,9.5,20,136566,535691
2020,Beef,1,1,2,4,7,14.5,20,15700,81305
2020,Dairy,1,1,2,3,6,12.0,19,126141,500472
2021,Beef,1,1,2,4,7,14.5,20,16404,85216
2021,Dairy,1,1,2,3,6,12.0,20,128584,512572
2022,Beef,1,1,2,4,7,14.5,20,16051,81939
2022,Dairy,1,1,2,3,5,9.5,20,130771,517505
2023,Beef,1,1,2,4,7,14.5,20,9534,47725
2023,Dairy,1,1,2,3,5,9.5,20,67500,265028
