year,month,ag,ai,ar,be,bl,bs,fr,ge,gl,gr,ju,lu,ne,nw,ow,sg,sh,so,sz,tg,ti,ur,vd,vs,zg,zh,
2010,1,90230,15308,23973,325260,28183,410,140957,3003,12194,80020,61114,151620,42271,12709,18663,144077,16283,45255,45512,75675,10772,13013,117978,33452,20384,95567,532
2010,2,90347,15236,23845,326891,28298,409,141565,2994,12243,79567,61070,152964,42257,12797,18569,144518,16365,45354,45554,76175,10692,12930,118011,33279,20492,95906,500
2010,3,89290,15089,23700,325736,28479,399,140701,2967,12144,78602,60946,152156,42462,12640,18606,144034,16389,45341,45349,75724,10701,12716,117860,32894,20317,95816,501
2010,4,89310,14972,23435,323361,28400,410,139058,2906,11931,77317,60753,151927,42455,12513,18352,142885,16359,45190,44876,74772,10657,12188,117720,32707,20154,95363,426
2010,5,88343,15398,23538,318475,27984,399,133298,1967,11758,74757,59739,151616,43450,12673,17649,140724,16492,45808,44887,73894,10624,11038,115011,34714,19974,94328,5796
2010,6,86469,15756,21051,310201,27616,388,130766,1224,13811,84308,58933,148507,44766,13091,17777,133407,16320,45839,45483,69994,11011,12151,114601,37409,18895,88063,7983
2010,7,86270,15718,20937,309499,27635,390,130552,1172,13749,84537,58832,149471,44919,13213,17835,134105,16248,45839,45315,70341,11069,11973,113517,37285,18887,88155,7993
2010,8,86241,15118,21719,308607,27631,399,130746,1238,13603,84792,59212,149609,45054,13142,17935,135000,16090,45779,45159,71049,10988,11921,113015,37133,19145,88598,7560
2010,9,89428,15017,23464,315172,28045,391,134163,1743,11480,74530,60061,151061,43173,12408,18151,143073,16543,45221,44153,76033,10462,11418,112789,34217,20251,95432,5378
2010,10,91187,15115,23680,319492,28203,374,138562,2727,11937,77223,60437,151644,42403,12524,18620,144862,16674,45393,44844,76981,10478,12182,116586,32542,20542,96582,726
2010,11,91083,15241,23764,319621,28239,337,139234,2915,12054,78002,60531,151524,42245,12622,18633,144970,16644,45191,45061,76629,10626,12620,116667,33199,20561,96471,401
2010,12,90807,15224,23639,321211,28339,351,139585,2925,12091,78843,61007,152185,42393,12714,18683,145065,16494,45094,45154,76629,10680,12817,116300,33853,20469,96358,393
2011,1,90321,15105,23528,321648,28505,350,139540,2992,12062,78553,60890,152573,42436,12614,18554,144047,16465,45007,45125,76544,10735,12793,116166,33733,20731,96151,384
2011,2,90781,14952,23333,322922,28618,362,140087,2941,12094,77793,60581,152999,42490,12689,18511,143715,16712,45079,45199,76593,10658,12753,116455,33406,20773,96195,239
2011,3,90446,14779,23276,323307,28426,366,139783,2905,11943,76716,60637,152511,42824,12571,18313,143203,16591,44925,45023,76228,10637,12493,116166,32964,20614,96308,353
2011,4,90288,14707,23059,320973,28338,371,137601,2868,11816,75527,60154,152090,42772,12421,18089,141910,16719,44628,44745,75430,10790,11859,116461,32895,20571,95640,465
2011,5,88412,15680,22864,314199,27920,365,131948,1509,12211,72446,59132,152099,43842,12995,17500,138918,16607,45652,45440,73367,10902,10799,113343,35167,20281,93596,6720
2011,6,86090,15437,20619,308830,27606,361,130241,1254,13709,82295,58583,149902,44595,12973,17688,132208,16180,45446,44812,70462,11226,12004,112707,37361,19292,88129,7609
2011,7,86210,15359,20613,307528,27580,366,130061,1197,13708,82266,58535,150011,44749,12878,17606,132693,15961,45178,44727,70521,11214,11844,111389,37298,19226,88391,7656
2011,8,85820,14745,21391,307762,27668,367,130588,1242,13629,82701,58666,150153,44682,12973,17718,133769,16288,45306,44544,71508,11183,11833,111667,37030,19474,88683,7427
2011,9,88289,14809,23153,313514,27914,355,133955,1668,11583,73189,59719,151119,43269,12387,18080,141521,16581,44549,43590,75716,10474,11185,111718,34062,20625,95278,5265
2011,10,89301,15061,23504,317779,28099,356,138266,2677,11827,75292,60018,152642,42583,12391,18463,143237,16845,44796,44526,76563,10320,11963,114961,32489,20928,96802,664
2011,11,89429,15051,23533,318614,28202,349,139501,2850,11988,76477,60494,152874,42266,12501,18562,143678,16410,44868,44895,76490,10618,12409,115038,33122,20955,96761,204
2011,12,89738,14996,23459,320323,28241,341,139998,2883,12027,77360,60794,152885,42408,12531,18592,143867,16730,44610,45002,76185,10770,12683,115333,33690,20704,96379,298
2012,1,89935,14894,23375,321278,28168,345,139968,2909,12014,76961,60839,152800,42295,12544,18535,143460,16543,44662,45094,76082,10796,12712,114845,33474,20882,96333,294
2012,2,89337,14822,23264,323543,28180,337,140222,2878,12121,76505,60751,153981,42546,12554,18586,143698,16702,44789,45383,76059,10781,12771,114904,33064,21014,96267,298
2012,3,88538,14687,23021,323599,28058,345,139932,2868,11951,75604,60415,153498,42763,12499,18337,142062,16832,44578,45046,75346,10774,12453,114576,32552,20915,96177,206
2012,4,88539,14496,22787,320908,27834,356,137510,2787,11781,74159,60204,152748,42427,12274,18110,140496,16791,44698,44627,74744,10696,11971,114798,32111,20641,95779,319
2012,5,88265,14832,22739,316113,27746,354,132809,1618,11462,71611,58978,152295,43353,12427,17491,138307,16655,45095,44738,73383,10457,11017,111559,33816,20223,94263,5463
2012,6,85399,15305,20203,308685,27393,357,129930,1297,13620,80887,58185,149475,44109,12790,17520,131104,16245,44945,44300,69196,11202,11944,111798,36887,19203,88072,6847
2012,7,85427,15291,20269,307956,27366,368,130099,1292,13532,80926,58366,149308,44377,12839,17368,131643,16185,44886,44278,69438,11177,11775,111099,36709,19152,88403,6734
2012,8,85245,15052,20917,308103,27313,365,130325,1299,13514,81582,58234,150074,44232,12886,17656,132661,16182,44485,44238,69813,11149,11826,111232,36396,19364,88813,6455
2012,9,87303,14786,22826,314226,27681,363,132747,1579,11323,72813,59377,151960,43509,12292,18099,140510,16784,44127,43755,73989,10773,10987,111404,33961,20580,95409,5194
2012,10,89185,15000,23192,317726,28149,362,137409,2813,11654,74375,59942,152550,42253,12290,18443,141646,16626,44253,44216,75824,10359,11847,113680,31835,21012,96478,570
2012,11,88925,14923,23156,316669,28180,358,137863,2931,11799,75504,60064,153124,42099,12454,18524,141947,16571,43971,44469,75256,10392,12267,113336,32511,20840,95484,355
2012,12,89280,14853,23185,318781,28320,349,138690,2977,11808,76329,60596,153072,42173,12443,18593,142175,16683,44113,44793,75349,10536,12550,114150,32963,20748,96107,354
2013,1,89277,14850,23143,320797,28303,352,138847,2967,11798,76250,60638,153058,42128,12515,18435,141771,16989,44065,44854,75052,10550,12551,114221,33096,20985,95545,357
2013,2,89356,14720,22964,320781,28294,349,138886,2933,11808,75718,60390,153117,41938,12449,18360,141495,16691,44030,44879,74716,10512,12537,113587,32679,21011,95830,327
2013,3,88978,14590,22865,320233,28269,347,138338,2897,11804,74749,60369,152505,41939,12420,18167,140570,16615,43979,44704,74574,10519,12278,113804,32377,21100,95750,273
2013,4,88601,14323,22671,316334,27878,360,135877,2832,11550,73043,59838,151841,41752,12255,17957,138844,16694,43849,44225,74003,10397,11704,113543,31656,20811,94779,377
2013,5,87607,14284,22312,313080,27608,346,132834,2127,11141,70500,59253,151741,41670,11974,17549,136106,16909,44037,43553,72542,10386,10749,112117,32243,20654,93561,2230
2013,6,85289,15074,20174,306249,27288,340,129566,1223,13271,79841,58419,149863,43032,12726,17438,129396,16749,44263,43870,68289,11230,11626,111781,36034,19397,88046,6775
2013,7,85688,15092,20125,305753,27322,359,129789,1166,13290,80066,58157,149640,43172,12794,17500,129643,16522,44371,43802,69241,11324,11643,110885,36431,19420,87928,6592
2013,8,86053,14971,20635,305508,27469,360,130388,1191,13289,80754,58672,150086,43181,12959,17702,130413,16544,44632,43856,69591,11303,11618,111448,36213,19579,88233,6566
2013,9,87887,14496,22554,310577,27686,363,131770,1702,11102,71790,59963,151599,41994,12194,18068,137810,17031,44290,43168,73352,10818,10832,111780,34047,20536,94934,5010
2013,10,88875,14728,22941,314633,27893,353,136687,2743,11523,73865,60312,152737,41162,12239,18331,140329,16801,44116,43731,74243,10294,11616,114218,31647,21003,96651,674
2013,11,88448,14738,22927,315090,28168,337,137553,2934,11610,74841,60188,152636,41034,12314,18399,140391,16654,43968,43993,74245,10529,12058,114721,32219,20942,96356,298
2013,12,88744,14822,22897,316975,28486,345,138007,2970,11637,75404,60680,152264,41045,12319,18428,140299,16627,44101,44139,74262,10630,12238,115130,32829,21063,97064,326
2014,1,88768,14649,22670,315869,28444,340,137556,3003,11563,74934,60272,152342,40984,12285,18266,139654,16898,44229,43995,74082,10536,12205,114588,32809,21055,96037,294
2014,2,88460,14464,22396,316053,28412,343,137361,2992,11529,74153,59921,152163,40837,12197,18099,138771,16781,43900,43851,73351,10516,12149,114372,32336,20890,96146,346
2014,3,88512,14243,22169,315379,28147,338,137220,2975,11377,72918,59600,151833,40786,12117,17856,137364,16422,43599,43599,73208,10451,11933,114132,31851,21003,95898,305
2014,4,88621,14142,22088,313719,28003,342,135829,2874,11287,71391,59641,151467,40823,11968,17810,136376,16587,43794,43318,72548,10432,11364,114653,31521,20995,95836,396
2014,5,86382,14912,21896,309452,27594,336,130655,1791,11325,69614,58217,150531,41931,12441,17340,133539,16702,44624,43934,71076,10679,10439,113106,33545,20153,93617,5202
2014,6,84547,14897,19517,304165,27566,334,128940,1211,13324,80445,57901,148026,42506,12754,17291,128859,16466,44384,43461,67405,11328,11901,113205,36597,19078,87670,5851
2014,7,84097,14941,19525,303670,27341,327,128600,1166,13275,80588,57615,148081,42712,12717,17222,129342,15913,44197,43479,67503,11354,11810,112443,36494,19142,87944,5985
2014,8,85022,14382,20120,303282,27398,346,129191,1202,13256,81182,57966,148421,42914,12622,17551,130454,15907,44208,43198,68577,11304,11833,112621,36276,19369,88644,5693
2014,9,87362,14236,22111,307695,27730,348,131311,1772,10974,70437,59337,149847,41898,11834,17971,136752,16421,43735,42831,73579,10721,10679,111919,33136,20483,95284,4773
2014,10,87939,14395,22589,311414,28055,344,135798,2674,11405,72152,59929,151064,41118,11914,18123,138535,16945,44042,43153,74608,10053,11356,113727,31358,20761,96460,658
2014,11,88134,14566,22683,311127,28100,348,136531,2873,11583,73352,60217,151050,41095,12131,18321,139211,16664,43815,43423,74089,10270,11808,114163,31999,20827,96010,325
2014,12,88675,14586,22778,311483,28153,347,136359,2959,11664,73722,60253,150807,41231,12191,18217,139276,16589,43835,43545,73829,10339,11999,114607,32525,20801,96626,306
2015,1,88068,14428,22656,312871,28019,342,136000,2924,11739,73568,60028,150881,41170,12244,18167,138842,16539,43758,43802,74165,10365,12036,114397,32472,20829,96097,262
