year,month,new_double_ear_tags,replacement_tags
2013,1,107274,18899
2013,2,57355,17027
2013,3,46659,17595
2013,4,41485,16714
2013,5,37458,15651
2013,6,33621,9928
2013,7,44297,8760
2013,8,57761,10317
2013,9,67647,14188
2013,10,72021,14693
2013,11,62057,16522
2013,12,55284,15137
2014,1,76383,27213
2014,2,51826,22848
2014,3,47755,20535
2014,4,47407,19054
2014,5,44691,17178
2014,6,44573,12244
2014,7,56192,13275
2014,8,64385,11923
2014,9,74142,13044
2014,10,78174,15052
2014,11,69410,17797
2014,12,62476,17603
2015,1,66844,25789
2015,2,55231,21013
2015,3,54705,22421
2015,4,42711,18521
2015,5,43371,16305
2015,6,44658,12563
2015,7,48903,11739
2015,8,63748,14390
2015,9,82223,15995
2015,10,74389,16920
2015,11,70558,19214
2015,12,65599,18387
2016,1,67620,25149
2016,2,53593,24304
2016,3,47664,20828
2016,4,42379,19076
2016,5,41300,16259
2016,6,43269,13979
2016,7,49110,8902
2016,8,66796,11212
2016,9,84564,13023
2016,10,79511,14818
2016,11,68448,16420
2016,12,58899,14073
2017,1,67919,19503
2017,2,54496,19757
2017,3,48107,18622
2017,4,43021,15513
2017,5,40852,13566
2017,6,38955,10217
2017,7,51422,9824
2017,8,64630,9173
2017,9,74956,11429
2017,10,76608,11399
2017,11,68221,12790
2017,12,57894,11411
2018,1,68849,14906
2018,2,53801,13435
2018,3,49511,14058
2018,4,41028,11371
2018,5,42843,10624
2018,6,41218,7429
2018,7,52793,6799
2018,8,65755,7811
2018,9,72498,8103
2018,10,76592,9512
2018,11,67640,9839
2018,12,56725,9341
2019,1,62659,12749
2019,2,47147,10131
2019,3,47754,11230
2019,4,43102,10130
2019,5,36898,9156
2019,6,35623,5507
2019,7,49892,5074
2019,8,64194,5622
2019,9,76926,6237
2019,10,74667,7530
2019,11,62461,7685
2019,12,62111,7335
2020,1,62459,9998
2020,2,52895,9335
2020,3,53248,8692
2020,4,39811,6531
2020,5,38927,7893
2020,6,42714,5634
2020,7,45051,4285
2020,8,65747,4739
2020,9,73007,5221
2020,10,74884,5671
2020,11,67047,6850
2020,12,65714,6460
2021,1,72224,8511
2021,2,52575,7617
2021,3,54045,8060
2021,4,42448,7120
2021,5,39104,6661
2021,6,39208,4104
2021,7,46021,3712
2021,8,64425,3900
2021,9,76030,4673
2021,10,71687,4660
2021,11,69070,6091
2021,12,54168,5485
2022,1,73380,7643
2022,2,54056,7066
2022,3,50721,7323
2022,4,41999,6881
2022,5,47067,6298
2022,6,45012,4054
2022,7,41294,3479
2022,8,64358,4206
2022,9,75389,5025
2022,10,71196,4837
2022,11,102587,6603
2022,12,91043,6207
2023,1,57765,7427
2023,2,43925,7134
2023,3,44124,8597
2023,4,37874,7061
2023,5,34058,6077
2023,6,36684,3842
2023,7,45456,3570
