year,month,2,3,4,5,1
2010,1,2280,5071,1423,239,2835
2010,2,1852,4150,1270,229,2313
2010,3,2037,5169,1603,309,2610
2010,4,1710,4094,1336,268,2385
2010,5,1553,3862,1257,269,2571
2010,6,1545,3798,1097,220,2854
2010,7,1643,3583,892,124,3482
2010,8,2052,3699,999,174,4763
2010,9,2192,3466,959,210,5145
2010,10,2525,4024,1019,197,6003
2010,11,3136,4880,1258,242,6117
2010,12,2107,3966,1043,211,3639
2011,1,2653,6203,1819,239,3632
2011,2,1967,4602,1281,219,2697
2011,3,1955,4859,1426,232,2779
2011,4,1466,3754,1112,194,2662
2011,5,1844,3939,1253,235,3180
2011,6,1486,3155,1003,202,2727
2011,7,1809,3630,920,190,3607
2011,8,1960,3530,953,136,4632
2011,9,2107,3424,945,129,5453
2011,10,2562,3965,988,153,6036
2011,11,2527,4333,1118,160,5122
2011,12,2071,3946,1029,151,3322
2012,1,2383,6031,1717,234,3303
2012,2,1850,4790,1264,182,2302
2012,3,1676,5203,1501,228,2446
2012,4,1564,4492,1382,186,2280
2012,5,1490,4068,1259,217,2437
2012,6,1388,3523,1103,176,2547
2012,7,1610,4043,1131,136,3370
2012,8,1775,3715,1003,156,4065
2012,9,1884,3520,819,160,4460
2012,10,2868,4706,1152,178,6690
2012,11,2833,5091,1063,209,5931
2012,12,1977,4253,857,135,3682
2013,1,2303,5659,1428,174,3716
2013,2,1730,4844,1393,198,2694
2013,3,1717,4758,1490,234,2784
2013,4,1739,4786,1404,226,2781
2013,5,1429,3794,1278,184,2564
2013,6,1249,3127,930,149,2554
2013,7,1483,3522,945,139,3498
2013,8,1864,3678,924,121,4688
2013,9,2061,3538,946,140,5600
2013,10,2541,4072,969,129,6629
2013,11,2792,4491,1100,187,6739
2013,12,2265,4002,1058,181,4375
2014,1,2418,5330,1582,178,4068
2014,2,1814,4216,1333,175,2954
2014,3,1681,4202,1281,172,2895
2014,4,1500,3840,1154,182,2771
2014,5,1418,3504,1177,209,2671
2014,6,1251,2932,964,150,2758
2014,7,1503,3378,1015,159,3677
2014,8,1859,3484,1081,125,4702
2014,9,2201,3590,1021,166,6262
2014,10,2437,3924,1035,171,6415
2014,11,2676,4203,1045,191,6247
2014,12,2365,4046,1064,182,4571
2015,1,2274,4419,1253,187,3685
2015,2,2030,4247,1283,176,3268
2015,3,2052,4704,1507,225,3310
2015,4,1578,3717,1202,232,2419
2015,5,1313,3156,900,172,2397
2015,6,1461,3416,984,149,2995
2015,7,1760,3777,997,116,4290
2015,8,1808,3293,799,116,5051
2015,9,1776,3031,811,132,5283
2015,10,2384,4028,1087,139,6106
2015,11,2485,4416,1154,145,6071
2015,12,1944,3894,1153,149,4005
2016,1,2062,4493,1684,245,3778
2016,2,2089,4800,1964,242,3313
2016,3,1773,4241,1598,213,2931
2016,4,1587,4008,1446,208,2650
2016,5,1272,3571,1280,194,2526
2016,6,1355,3322,1263,175,3012
2016,7,1516,3377,1195,127,3601
2016,8,1637,3018,842,103,4195
2016,9,1630,3236,951,126,5058
2016,10,2220,3862,1021,139,5992
2016,11,2553,4229,1263,202,6115
2016,12,2050,3637,977,128,3956
2017,1,2122,4203,1410,149,3759
2017,2,1802,3869,1415,144,2860
2017,3,1579,3970,1615,164,2558
2017,4,1250,3228,1170,155,2049
2017,5,1546,3512,1444,197,2727
2017,6,1595,3764,1281,203,3197
2017,7,2092,3912,1091,136,4434
2017,8,1773,2960,901,95,4608
2017,9,1784,2867,839,106,4916
2017,10,2325,3716,1027,134,5736
2017,11,2521,4083,1267,188,5157
2017,12,1934,3445,990,114,3361
2018,1,2172,4975,1743,117,3647
2018,2,1513,3683,1453,141,2542
2018,3,1657,4266,1741,228,2520
2018,4,1537,4187,1661,153,2276
2018,5,1257,3401,1428,185,2286
2018,6,1280,3291,1259,127,2510
2018,7,1915,4312,1416,148,4092
2018,8,1996,3141,908,116,5323
2018,9,1953,3106,894,113,5073
2018,10,2901,3947,1334,162,6858
2018,11,2504,3550,1146,163,5625
2018,12,2294,3641,1127,176,3961
2019,1,2461,4613,1649,176,3803
2019,2,1955,4114,1676,179,2745
2019,3,1665,3816,1692,191,2448
2019,4,1767,4233,1828,210,2588
2019,5,1621,3669,1673,238,2590
2019,6,1268,2851,1225,164,2239
2019,7,1921,3708,1385,148,3771
2019,8,1984,2836,1007,136,4059
2019,9,1876,2863,956,114,4678
2019,10,2431,3696,1300,149,6001
2019,11,2778,3686,1392,189,5892
2019,12,2252,3375,1264,190,4005
2020,1,2234,4095,1740,180,3384
2020,2,1836,3571,1647,153,2598
2020,3,1725,3572,1863,241,2530
2020,4,979,1838,967,161,1494
2020,5,1259,3052,1825,260,2013
2020,6,1642,3636,1967,244,2693
2020,7,1609,3011,1402,191,3003
2020,8,2101,3288,1343,154,4299
2020,9,2051,2927,1181,134,4730
2020,10,2435,3582,1420,190,5547
2020,11,2390,3158,1283,194,4780
2020,12,2010,2995,1296,143,3354
2021,1,2019,3657,1806,141,3062
2021,2,1705,3394,1799,169,2342
2021,3,1966,4044,2254,298,2613
2021,4,1486,3337,1761,261,2161
2021,5,1396,2952,1439,223,2069
2021,6,1375,2769,1402,225,2232
