year,month,median_animals_per_holding,n_cattle_holding,median_top10_percent_animals_per_holding,median_bottom10_percent_animals_per_holding
2010,1,32.0,42431.0,92.0,6.0
2010,2,32.0,42383.0,92.0,6.0
2010,3,32.0,42327.0,92.0,6.0
2010,4,31.0,42495.0,91.0,6.0
2010,5,29.0,44658.0,89.0,5.0
2010,6,26.0,44243.0,97.0,3.0
2010,7,27.0,43926.0,98.0,3.0
2010,8,27.0,44596.0,97.0,3.0
2010,9,29.0,44400.0,89.0,5.0
2010,10,31.0,42310.0,93.0,5.0
2010,11,32.0,41819.0,94.0,6.0
2010,12,32.0,41684.0,94.0,6.0
2011,1,32.0,41580.0,94.0,6.0
2011,2,32.0,41492.0,95.0,6.0
2011,3,32.0,41440.0,95.0,6.0
2011,4,31.0,41831.0,93.0,6.0
2011,5,28.0,44311.0,91.0,5.0
2011,6,27.0,43293.0,99.0,3.0
2011,7,27.0,43117.0,100.0,3.0
2011,8,27.0,43801.0,98.0,3.0
2011,9,29.0,43619.0,91.09999999999854,5.0
2011,10,31.0,41584.0,96.0,5.0
2011,11,32.0,41029.0,96.0,6.0
2011,12,32.0,40818.0,96.15000000000146,6.0
2012,1,32.0,40724.0,97.0,6.0
2012,2,33.0,40642.0,97.0,6.0
2012,3,32.0,40596.0,96.0,6.0
2012,4,32.0,40755.0,96.0,6.0
2012,5,29.0,42912.0,92.0,5.0
2012,6,27.0,42634.0,101.0,3.0
2012,7,27.0,42319.0,101.0,3.0
2012,8,27.0,42888.0,100.0,3.0
2012,9,30.0,42537.0,94.0,5.0
2012,10,32.0,40306.0,98.0,6.0
2012,11,32.0,39916.0,98.0,6.0
2012,12,33.0,39790.0,99.0,6.0
2013,1,33.0,39710.0,99.0,6.0
2013,2,33.0,39626.0,99.0,6.0
2013,3,33.0,39559.0,99.0,6.0
2013,4,32.0,39662.0,98.0,6.0
2013,5,30.0,41081.0,95.0,5.0
2013,6,27.0,41852.0,103.0,4.0
2013,7,27.0,41391.0,104.0,4.0
2013,8,27.0,41848.0,103.0,3.0
2013,9,30.0,41818.0,95.0,5.0
2013,10,32.0,39604.0,100.0,6.0
2013,11,33.0,39004.0,102.0,6.0
2013,12,33.0,38850.0,102.0,6.0
2014,1,33.0,38750.0,102.0,6.0
2014,2,33.0,38705.0,102.0,6.0
2014,3,33.0,38645.0,101.0,6.0
2014,4,32.0,39033.0,100.0,6.0
2014,5,29.0,41449.0,96.0,5.0
2014,6,28.0,40695.0,106.0,3.0
2014,7,28.0,40498.0,106.0,3.0
2014,8,28.0,41069.0,105.0,3.0
2014,9,30.0,40798.0,98.0,5.0
2014,10,32.0,38874.0,102.0,6.0
2014,11,33.0,38262.0,104.0,6.0
2014,12,33.0,38109.0,104.0,6.0
2015,1,33.0,38048.0,104.0,6.0
2015,2,33.0,37989.0,104.0,6.0
2015,3,33.0,37953.0,104.0,6.0
2015,4,33.0,38231.0,102.0,6.0
2015,5,30.0,40761.0,98.0,5.0
2015,6,28.0,40033.0,108.0,4.0
2015,7,28.0,39761.0,108.0,4.0
2015,8,28.0,40315.0,107.0,3.0
2015,9,30.0,40209.0,99.0,5.0
2015,10,33.0,38090.0,104.0,6.0
2015,11,33.0,37572.0,105.0,6.0
2015,12,33.0,37419.0,106.0,6.0
2016,1,34.0,37341.0,106.0,6.0
2016,2,34.0,37309.0,105.0,6.0
2016,3,34.0,37286.0,105.0,6.0
2016,4,33.0,37605.0,104.0,6.0
2016,5,30.0,39796.0,100.0,5.0
2016,6,28.0,39494.0,109.0,4.0
2016,7,28.0,39175.0,110.0,4.0
2016,8,28.0,39629.0,109.0,4.0
2016,9,31.0,39664.0,101.0,5.0
2016,10,33.0,37550.0,106.0,6.0
2016,11,33.0,36970.0,107.0,6.0
2016,12,34.0,36822.0,107.0,6.0
2017,1,34.0,36777.0,107.0,6.0
2017,2,34.0,36727.0,107.0,6.0
2017,3,34.0,36722.0,107.0,6.0
2017,4,33.0,37052.0,105.0,6.0
2017,5,30.0,39438.0,101.0,5.0
2017,6,28.0,38870.0,111.0,4.0
2017,7,28.0,38667.0,111.0,3.0
2017,8,28.0,39245.0,110.0,3.0
2017,9,31.0,38862.0,102.0,5.0
2017,10,33.0,37029.0,108.0,6.0
2017,11,34.0,36442.0,109.0,6.0
2017,12,34.0,36295.0,110.0,6.0
2018,1,34.0,36221.0,110.0,6.0
2018,2,34.0,36180.0,110.0,6.0
2018,3,34.0,36130.0,110.0,6.0
2018,4,33.0,36560.0,108.0,6.0
2018,5,30.0,38973.0,103.0,5.0
2018,6,28.0,38296.0,113.0,4.0
2018,7,28.0,37976.0,113.0,4.0
2018,8,28.0,38531.0,112.0,3.0
2018,9,31.0,38476.0,103.25,5.0
2018,10,33.0,36412.0,109.0,5.0
2018,11,34.0,35852.0,110.0,6.0
2018,12,34.0,35658.0,111.0,6.0
2019,1,34.0,35603.0,110.0,6.0
2019,2,34.0,35567.0,111.0,6.0
2019,3,34.0,35561.0,110.0,6.0
2019,4,34.0,35863.0,109.0,6.0
2019,5,31.0,37694.0,104.0,5.0
2019,6,28.0,37806.0,113.0,4.0
2019,7,29.0,37318.0,115.0,3.0
2019,8,28.0,37728.0,114.0,3.0
2019,9,31.0,37928.0,104.0,5.0
2019,10,33.0,35823.0,110.0,5.0
2019,11,34.0,35195.0,111.0,6.0
2019,12,34.0,35039.0,112.0,6.0
2020,1,34.0,34972.0,112.0,6.0
2020,2,35.0,34939.0,112.0,6.0
2020,3,34.0,34934.0,111.0,6.0
2020,4,34.0,35421.0,109.0,6.0
2020,5,30.0,38202.0,105.94999999999708,4.0
2020,6,29.0,37059.0,115.0,4.0
2020,7,29.0,36901.0,115.0,4.0
2020,8,29.0,37498.0,113.0,4.0
2020,9,32.0,37106.0,106.0,5.0
2020,10,34.0,35167.0,112.0,6.0
2020,11,34.0,34734.0,112.0,6.0
2020,12,35.0,34557.0,113.0,6.0
2021,1,35.0,34511.0,114.0,6.0
2021,2,35.0,34472.0,115.0,6.0
2021,3,35.0,34469.0,114.0,6.0
2021,4,34.0,34838.0,112.0,6.0
2021,5,32.0,36746.0,107.0,5.0
2021,6,29.0,36830.0,118.0,4.0
2021,7,29.0,36456.0,119.0,4.0
2021,8,29.0,36886.0,117.0,4.0
2021,9,32.0,37012.0,109.0,5.0
2021,10,34.0,34881.0,115.0,6.0
2021,11,35.0,34205.0,116.0,6.0
2021,12,35.0,34061.0,117.0,6.0
2022,1,35.0,34021.0,118.0,6.0
2022,2,36.0,34009.0,119.0,6.0
2022,3,35.0,33974.0,118.0,6.0
2022,4,35.0,34417.0,116.0,6.0
2022,5,31.0,37252.0,111.0,4.0
2022,6,30.0,36182.0,121.0,4.0
2022,7,30.0,35986.0,122.0,4.0
2022,8,30.0,36525.0,120.0,4.0
2022,9,32.0,36135.0,112.0,5.0
2022,10,35.0,34433.0,117.0,5.0
2022,11,35.0,33709.0,120.0,6.0
2022,12,36.0,33530.0,120.0,6.0
2023,1,36.0,33482.0,120.0,6.0
2023,2,36.0,33451.0,120.0,6.0
2023,3,36.0,33423.0,120.0,6.0
2023,4,35.0,33842.0,118.0,6.0
2023,5,31.0,36401.0,112.0,5.0
2023,6,30.0,35529.0,122.0,4.0
2023,7,30.0,35277.0,122.0,4.0
