year,month,dairy,other_cow
2010,1,21.0,3.0
2010,2,21.0,3.0
2010,3,21.0,3.0
2010,4,21.0,3.0
2010,5,19.0,3.0
2010,6,17.0,3.0
2010,7,18.0,3.0
2010,8,18.0,3.0
2010,9,20.0,3.0
2010,10,22.0,3.0
2010,11,23.0,3.0
2010,12,23.0,3.0
2011,1,23.0,3.0
2011,2,23.0,3.0
2011,3,24.0,3.0
2011,4,23.0,3.0
2011,5,21.0,3.0
2011,6,20.0,3.0
2011,7,20.0,3.0
2011,8,20.0,3.0
2011,9,22.0,3.0
2011,10,24.0,3.0
2011,11,25.0,3.0
2011,12,25.0,3.0
2012,1,25.0,3.0
2012,2,26.0,3.0
2012,3,26.0,3.0
2012,4,25.0,3.0
2012,5,23.0,3.0
2012,6,21.0,3.0
2012,7,22.0,3.0
2012,8,22.0,3.0
2012,9,24.0,3.0
2012,10,26.0,3.0
2012,11,26.0,3.0
2012,12,27.0,3.0
2013,1,27.0,3.0
2013,2,27.0,3.0
2013,3,27.0,3.0
2013,4,26.0,3.0
2013,5,25.0,3.0
2013,6,22.0,3.0
2013,7,22.0,3.0
2013,8,23.0,3.0
2013,9,24.0,3.0
2013,10,27.0,3.0
2013,11,27.0,3.0
2013,12,28.0,3.0
2014,1,28.0,3.0
2014,2,28.0,3.0
2014,3,28.0,3.0
2014,4,27.0,3.0
2014,5,24.0,3.0
2014,6,23.0,3.0
2014,7,23.0,3.0
2014,8,23.0,3.0
2014,9,25.0,3.0
2014,10,27.0,3.0
2014,11,28.0,3.0
2014,12,28.0,3.0
2015,1,28.0,3.0
2015,2,28.0,3.0
2015,3,28.0,3.0
2015,4,28.0,3.0
2015,5,25.0,3.0
2015,6,24.0,3.0
2015,7,24.0,3.0
2015,8,24.0,3.0
2015,9,26.0,3.0
2015,10,28.0,3.0
2015,11,29.0,3.0
2015,12,29.0,3.0
2016,1,29.0,3.0
2016,2,29.0,3.0
2016,3,29.0,3.0
2016,4,28.0,3.0
2016,5,26.0,3.0
2016,6,24.0,3.0
2016,7,24.0,3.0
2016,8,24.0,3.0
2016,9,26.0,3.0
2016,10,28.0,3.0
2016,11,29.0,3.0
2016,12,29.0,3.0
2017,1,29.0,3.0
2017,2,29.0,3.0
2017,3,29.0,3.0
2017,4,29.0,3.0
2017,5,26.0,3.0
2017,6,24.0,3.0
2017,7,24.0,3.0
2017,8,24.0,3.0
2017,9,26.0,3.0
2017,10,28.0,3.0
2017,11,29.0,3.0
2017,12,29.0,3.0
2018,1,29.0,3.0
2018,2,29.0,3.0
2018,3,29.0,3.0
2018,4,29.0,3.0
2018,5,26.0,3.0
2018,6,24.0,3.0
2018,7,24.0,3.0
2018,8,24.0,3.0
2018,9,26.0,3.0
2018,10,29.0,3.0
2018,11,29.0,3.0
2018,12,29.0,3.0
2019,1,29.0,3.0
2019,2,29.0,3.0
2019,3,29.0,3.0
2019,4,29.0,3.0
2019,5,27.0,3.0
2019,6,24.0,3.0
2019,7,24.0,3.0
2019,8,24.0,3.0
2019,9,26.0,3.0
2019,10,28.0,3.0
2019,11,29.0,3.0
2019,12,29.0,3.0
2020,1,29.0,3.0
2020,2,29.0,3.0
2020,3,29.0,3.0
2020,4,29.0,3.0
2020,5,25.0,3.0
2020,6,24.0,3.0
2020,7,25.0,3.0
2020,8,24.0,3.0
2020,9,26.0,3.0
2020,10,29.0,3.0
2020,11,29.0,3.0
2020,12,29.0,3.0
2021,1,30.0,3.0
2021,2,30.0,3.0
2021,3,30.0,3.0
2021,4,29.0,3.0
2021,5,27.0,3.0
2021,6,25.0,4.0
2021,7,25.0,4.0
2021,8,25.0,4.0
2021,9,26.0,3.0
2021,10,29.0,3.0
2021,11,30.0,4.0
2021,12,30.0,4.0
2022,1,30.0,4.0
2022,2,30.0,4.0
2022,3,30.0,4.0
2022,4,29.0,4.0
2022,5,26.0,4.0
2022,6,25.0,4.0
2022,7,25.0,4.0
2022,8,25.0,4.0
2022,9,27.0,4.0
2022,10,29.0,4.0
2022,11,30.0,4.0
2022,12,30.0,4.0
2023,1,30.0,4.0
2023,2,30.0,4.0
2023,3,30.0,4.0
2023,4,29.0,4.0
2023,5,26.0,4.0
2023,6,25.0,4.0
2023,7,25.0,4.0
