year,month,n_cattle_holding
2010,1,42431
2010,2,42383
2010,3,42327
2010,4,42495
2010,5,44658
2010,6,44243
2010,7,43926
2010,8,44596
2010,9,44400
2010,10,42310
2010,11,41819
2010,12,41684
2011,1,41580
2011,2,41492
2011,3,41440
2011,4,41831
2011,5,44311
2011,6,43293
2011,7,43117
2011,8,43801
2011,9,43619
2011,10,41584
2011,11,41029
2011,12,40818
2012,1,40724
2012,2,40642
2012,3,40596
2012,4,40755
2012,5,42912
2012,6,42634
2012,7,42319
2012,8,42888
2012,9,42537
2012,10,40306
2012,11,39916
2012,12,39790
2013,1,39710
2013,2,39626
2013,3,39559
2013,4,39662
2013,5,41081
2013,6,41852
2013,7,41391
2013,8,41848
2013,9,41818
2013,10,39604
2013,11,39004
2013,12,38850
2014,1,38750
2014,2,38705
2014,3,38645
2014,4,39033
2014,5,41449
2014,6,40695
2014,7,40498
2014,8,41069
2014,9,40798
2014,10,38874
2014,11,38262
2014,12,38109
2015,1,38048
2015,2,37989
2015,3,37953
2015,4,38231
2015,5,40761
2015,6,40033
2015,7,39761
2015,8,40315
2015,9,40209
2015,10,38090
2015,11,37572
2015,12,37419
2016,1,37341
2016,2,37309
2016,3,37286
2016,4,37605
2016,5,39796
2016,6,39494
2016,7,39175
2016,8,39629
2016,9,39664
2016,10,37550
2016,11,36970
2016,12,36822
2017,1,36777
2017,2,36727
2017,3,36722
2017,4,37052
2017,5,39438
2017,6,38870
2017,7,38667
2017,8,39245
2017,9,38862
2017,10,37029
2017,11,36442
2017,12,36295
2018,1,36221
2018,2,36180
2018,3,36130
2018,4,36560
2018,5,38973
2018,6,38296
2018,7,37976
2018,8,38531
2018,9,38476
2018,10,36412
2018,11,35852
2018,12,35658
2019,1,35603
2019,2,35567
2019,3,35561
2019,4,35863
2019,5,37694
2019,6,37806
2019,7,37318
2019,8,37728
2019,9,37928
2019,10,35823
2019,11,35195
2019,12,35039
2020,1,34972
2020,2,34939
2020,3,34934
2020,4,35421
2020,5,38202
2020,6,37059
2020,7,36901
2020,8,37498
2020,9,37106
2020,10,35167
2020,11,34734
2020,12,34557
2021,1,34511
2021,2,34472
2021,3,34469
2021,4,34838
2021,5,36746
2021,6,36830
2021,7,36456
2021,8,36886
2021,9,37012
2021,10,34881
2021,11,34205
2021,12,34061
2022,1,34021
2022,2,34009
2022,3,33974
2022,4,34417
2022,5,37252
2022,6,36182
2022,7,35986
2022,8,36525
2022,9,36135
2022,10,34433
2022,11,33709
2022,12,33530
2023,1,33482
2023,2,33451
2023,3,33423
2023,4,33842
2023,5,36401
2023,6,35529
2023,7,35277
