year,month,type_of_use,q1,median,q3,mean,std,tot_number_animals
2017,7,Beef,598,640,732,656,121,28
2017,7,Dairy,592,639,688,643,75,2404
2017,8,Beef,617,641,705,653,65,29
2017,8,Dairy,585,628,674,631,71,2089
2017,9,Beef,602,660,708,660,83,35
2017,9,Dairy,579,624,671,626,70,1964
2017,10,Beef,634,682,740,678,89,28
2017,10,Dairy,593,635,681,637,69,2839
2017,11,Beef,630,654,725,672,65,22
2017,11,Dairy,599,642,690,645,70,2614
2017,12,Beef,620,678,783,687,117,21
2017,12,Dairy,606,648,698,650,71,1826
2018,1,Beef,674,745,787,730,84,26
2018,1,Dairy,617,664,711,666,73,2649
2018,2,Beef,572,614,650,595,82,18
2018,2,Dairy,621,668,714,668,71,1632
2018,3,Beef,647,700,764,709,103,26
2018,3,Dairy,625,671,716,672,73,1785
2018,4,Beef,597,676,768,675,100,30
2018,4,Dairy,618,667,713,668,73,1802
2018,5,Beef,606,662,755,694,121,24
2018,5,Dairy,615,659,709,663,75,1611
2018,6,Beef,623,717,748,678,102,14
2018,6,Dairy,617,662,708,663,76,1596
2018,7,Beef,584,675,712,667,128,35
2018,7,Dairy,604,649,700,653,76,2300
2018,8,Beef,604,653,716,654,133,39
2018,8,Dairy,587,628,680,634,72,1690
2018,9,Beef,600,658,696,649,129,34
2018,9,Dairy,578,624,673,628,73,2471
2018,10,Beef,625,662,735,676,107,36
2018,10,Dairy,580,625,674,628,74,3549
2018,11,Beef,594,659,721,649,94,27
2018,11,Dairy,593,638,686,640,73,2500
2018,12,Beef,609,712,764,675,124,26
2018,12,Dairy,600,645,693,648,72,2160
2019,1,Beef,612,664,736,667,100,32
2019,1,Dairy,616,662,713,665,73,2621
2019,2,Beef,678,720,746,709,104,28
2019,2,Dairy,617,663,714,668,75,2246
2019,3,Beef,616,712,765,689,111,39
2019,3,Dairy,624,669,721,673,72,1794
2019,4,Beef,618,670,768,678,160,44
2019,4,Dairy,616,667,717,669,75,2242
2019,5,Beef,659,694,766,706,101,44
2019,5,Dairy,612,662,712,663,76,1957
2019,6,Beef,593,694,790,696,105,26
2019,6,Dairy,612,662,716,666,77,1627
2019,7,Beef,622,682,735,658,120,24
2019,7,Dairy,607,656,705,657,77,2111
2019,8,Beef,585,649,681,613,113,35
2019,8,Dairy,595,644,694,646,77,2028
2019,9,Beef,596,658,707,653,95,36
2019,9,Dairy,589,633,680,637,73,2343
2019,10,Beef,612,639,708,648,101,31
2019,10,Dairy,590,634,680,637,71,2787
2019,11,Beef,619,678,740,677,95,43
2019,11,Dairy,600,647,693,649,73,2749
2019,12,Beef,616,677,750,667,129,43
2019,12,Dairy,611,657,704,658,73,2034
2020,1,Beef,625,686,737,665,113,34
2020,1,Dairy,622,670,717,671,73,2370
2020,2,Beef,627,695,772,682,112,35
2020,2,Dairy,627,673,724,677,75,2053
2020,3,Beef,686,722,784,718,119,13
2020,3,Dairy,628,675,726,678,76,1126
2020,5,Beef,688,715,776,727,103,15
2020,5,Dairy,646,694,745,697,75,1179
2020,6,Beef,624,693,758,692,119,35
2020,6,Dairy,636,683,737,687,76,2344
2020,7,Beef,640,678,707,678,56,22
2020,7,Dairy,624,670,721,673,73,1681
2020,8,Beef,562,639,684,629,93,59
2020,8,Dairy,611,657,705,660,73,2451
2020,9,Beef,622,649,701,655,99,37
2020,9,Dairy,605,651,700,652,72,2146
2020,10,Beef,646,702,766,705,105,39
2020,10,Dairy,605,648,700,653,73,2497
2020,11,Beef,614,669,709,667,64,33
2020,11,Dairy,605,651,698,655,73,2376
2020,12,Beef,618,654,689,660,99,25
2020,12,Dairy,612,655,705,661,72,1368
2021,1,Beef,665,688,758,723,86,30
2021,1,Dairy,633,675,722,676,71,1623
2021,2,Beef,604,650,728,664,113,31
2021,2,Dairy,640,683,731,685,73,1368
2021,3,Beef,636,690,732,689,74,52
2021,3,Dairy,641,687,737,689,74,1744
2021,4,Beef,660,714,744,692,102,44
2021,4,Dairy,635,682,734,684,73,1267
2021,5,Beef,639,708,805,721,143,33
2021,5,Dairy,624,674,722,673,77,1242
2021,6,Beef,620,700,764,704,92,22
2021,6,Dairy,630,673,723,675,75,1214
2021,7,Beef,620,722,768,696,101,23
2021,7,Dairy,620,667,722,671,76,1139
2021,8,Beef,624,708,756,696,89,37
2021,8,Dairy,606,654,703,657,75,1898
2021,9,Beef,633,669,722,672,72,21
2021,9,Dairy,597,646,701,651,78,1572
2021,10,Beef,603,663,711,639,126,41
2021,10,Dairy,599,643,697,648,75,2068
2021,11,Beef,614,699,734,684,89,35
2021,11,Dairy,609,654,699,655,71,2232
2021,12,Beef,548,675,740,635,143,31
2021,12,Dairy,613,660,712,663,77,1324
2022,1,Beef,659,702,772,706,79,45
2022,1,Dairy,624,672,722,672,77,1911
2022,2,Beef,697,730,775,735,105,41
