year,1,2,3,4,5,6
2010,644679,488122,121408,61330,17453,10482
2011,648643,488303,120842,61201,17471,10560
2012,652425,468571,127993,61909,19542,11498
2013,646545,471565,128057,63228,19225,11582
2014,643469,481655,120573,63921,20125,12436
2015,654310,464477,117529,65345,20306,13022
2016,648159,469626,118525,66903,21675,14519
2017,626855,471844,120929,69363,21976,15250
2018,634158,470000,127369,71581,22733,16235
2019,620491,471143,128740,72177,22877,16314
2020,622119,457063,126130,69562,23061,15522
2021,612299,459819,128805,72838,23478,16451
2022,608920,459488,129488,73878,24234,18449
2023,734348,183591,50032,10826,2843,1240
