canton,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Graubünden,77121,10.9,38.5,"Braunvieh  30428, Kreuzung  17754, Angus  6426, Original Braunvieh  6394, Holstein  4561","Bella  309, Nora  239, Fiona  235, Sina  230, Luna  208"
Bern,262911,45.0,25.2,"Swiss Fleckvieh  61626, Red Holstein  44155, Simmental  42736, Holstein  40757, Kreuzung  32612","Bella  917, Fiona  876, Bianca  781, Diana  726, Sina  705"
Valais,34713,6.7,10.0,"Eringer  11578, Simmental  3156, Swiss Fleckvieh  3155, Braunvieh  2954, Kreuzung  2781","Bella  96, Tina  82, Flora  72, Luna  65, Maya  65"
Vaud,90493,32.1,11.1,"Red Holstein  15637, Montbéliarde  14047, Holstein  13888, Kreuzung  11048, Swiss Fleckvieh  10660","Bella  170, Iris  129, Tulipe  122, Etoile  120, Tina  118"
Ticino,9708,3.5,2.8,"Braunvieh  3890, Kreuzung  1463, Highland Cattle  1255, Holstein  847, Original Braunvieh  598","Luna  50, Tina  38, Stella  32, Bella  30, Fiona  28"
St. Gallen,108939,55.8,21.2,"Braunvieh  51002, Kreuzung  21719, Holstein  16120, Red Holstein  8121, Original Braunvieh  6942","Bella  504, Nora  350, Lisa  340, Bianca  325, Fiona  325"
Zürich,64105,38.6,4.1,"Kreuzung  22747, Braunvieh  15108, Holstein  14121, Red Holstein  7758, Limousin  5188","Bella  210, Luna  163, Sina  157, Fiona  155, Tina  149"
Fribourg,107564,67.5,33.0,"Holstein  43073, Red Holstein  28690, Swiss Fleckvieh  14109, Kreuzung  8372, Limousin  6445","Bella  217, Etoile  146, Iris  141, Bianca  140, Fiona  138"
Luzern,115219,80.6,27.7,"Kreuzung  29525, Holstein  25366, Braunvieh  24172, Red Holstein  14300, Swiss Fleckvieh  13139","Bella  527, Sina  385, Bianca  343, Fiona  342, Tina  323"
Aargau,57685,41.3,8.3,"Kreuzung  23839, Holstein  14260, Limousin  8127, Red Holstein  7635, Braunvieh  6432","Bella  185, Sina  171, Tina  155, Fiona  142, Bianca  134"
Uri,11335,10.7,30.8,"Braunvieh  6188, Original Braunvieh  2066, Kreuzung  1022, Holstein  490, Angus  314","Bella  73, Bianca  54, Luna  50, Sina  46, Belinda  42"
Thurgau,53387,61.9,18.9,"Holstein  15378, Braunvieh  15152, Kreuzung  12778, Red Holstein  8080, Swiss Fleckvieh  2994","Bella  169, Lisa  165, Fiona  135, Sina  132, Bianca  118"
Schwyz,38653,45.4,23.8,"Braunvieh  18727, Original Braunvieh  6809, Kreuzung  5732, Holstein  3324, Limousin  1390","Bella  161, Sina  142, Bianca  127, Fiona  122, Alma  121"
Jura,44347,52.9,60.2,"Holstein  10906, Limousin  8310, Red Holstein  7781, Kreuzung  7405, Montbéliarde  5693","Bella  81, Vanille  68, Maya  60, Tulipe  60, Caline  59"
Neuchâtel,37479,52.3,21.3,"Red Holstein  8970, Holstein  8108, Montbéliarde  4665, Swiss Fleckvieh  4061, Kreuzung  3963","Bella  69, Tulipe  57, Noisette  52, Cerise  51, Iris  51"
Solothurn,34362,43.5,12.4,"Holstein  8309, Kreuzung  7142, Red Holstein  5745, Swiss Fleckvieh  5047, Limousin  3038","Bella  121, Fiona  99, Diana  97, Sina  92, Anna  88"
Glarus,12423,18.3,30.4,"Braunvieh  6003, Original Braunvieh  2443, Kreuzung  1975, Holstein  694, Limousin  341","Bella  69, Bianca  67, Nina  55, Hanna  49, Nora  49"
Basel-Landschaft,20671,39.9,7.1,"Kreuzung  4982, Holstein  4143, Red Holstein  3931, Swiss Fleckvieh  2585, Angus  1904","Bella  70, Fiona  53, Lena  52, Sina  50, Belinda  48"
Obwalden,15852,33.0,41.6,"Braunvieh  9129, Original Braunvieh  1726, Kreuzung  1711, Holstein  946, Swiss Fleckvieh  673","Bella  95, Hanna  82, Sina  73, Viola  70, Nora  67"
Nidwalden,10920,45.2,25.1,"Braunvieh  5681, Kreuzung  1662, Original Braunvieh  1273, Holstein  571, Limousin  508","Bella  58, Sina  53, Arnika  50, Viola  46, Nora  45"
Genève,772,3.1,0.2,"Kreuzung  147, Simmental  135, Braunvieh  131, Limousin  125, Bison  122",
Schaffhausen,8714,29.2,10.5,"Kreuzung  6724, Limousin  1846, Red Holstein  1633, Holstein  1210, Simmental  867","Max  31, Anna  23, Alma  19, Bella  19, Fiona  19"
Appenzell Ausserrhoden,16579,68.3,30.0,"Braunvieh  11688, Kreuzung  1988, Original Braunvieh  1942, Holstein  531, Red Holstein  391","Bella  93, Fiona  75, Lisa  67, Belinda  65, Goldi  56"
Zug,14173,68.4,11.0,"Braunvieh  5200, Kreuzung  4100, Holstein  2658, Original Braunvieh  1132, Limousin  995","Vreni  78, Bella  49, Sina  46, Luna  44, Nora  44"
Appenzell Innerrhoden,13113,76.0,80.5,"Braunvieh  9465, Kreuzung  1428, Original Braunvieh  986, Holstein  690, Limousin  495","Bella  72, Flora  58, Sina  49, Fiona  46, Blüemli  45"
Basel-Stadt,245,6.6,0.1,"Limousin  139, Normande  37, Kreuzung  22, Bison  18, Simmental  17",
Liechtenstein,4696,29.3,12.0,"Kreuzung  1985, Braunvieh  1507, Holstein  890, Red Holstein  385, Limousin  356","Bruno  74, Bruna  68, Bella  18, Sina  18, Nina  16"
