commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Scuol,3560.0,8.1,77.0,"Braunvieh  1823, Kreuzung  680, Original Braunvieh  337, Holstein  305, Angus  256","Nora  15, Bella  14, Mia  13, Mona  13, Bianca  12, Olivia  12"
Glarus Süd,6481.0,15.1,68.4,"Braunvieh  2897, Original Braunvieh  1615, Kreuzung  975, Holstein  189, Angus  182","Bianca  40, Bella  38, Nina  27, Nora  27, Heidi  25, Ronja  25"
Zernez,1196.0,3.5,79.4,"Kreuzung  345, Angus  245, Braunvieh  229, Limousin  123, Grauvieh  81","Fiona  6, Nora  6, Olivia  6, Diana  5, Emma  5, Gina  5, Mia  5, Nala  5"
Surses,4386.0,13.5,184.5,"Braunvieh  1890, Kreuzung  933, Original Braunvieh  431, Holstein  321, Angus  281","Bella  19, Belinda  18, Alina  16, Luna  15, Nora  15, Ronja  15, Tina  15"
Val de Bagnes,2186.0,7.2,21.2,"Eringer  1508, Swiss Fleckvieh  143, Red Holstein  82, Original Braunvieh  81, Holstein  80","Moustique  10, Dakota  8, Pagaille  8, Caprice  7, Myrtille  7, Pivoine  7, Promesse  7"
Davos,3087.0,10.9,28.5,"Braunvieh  1450, Kreuzung  410, Holstein  314, Angus  262, Original Braunvieh  181","Fiona  15, Bella  14, Belinda  11, Bianca  11, Sina  11"
Bregaglia,940.0,3.7,60.4,"Braunvieh  390, Kreuzung  327, Limousin  60, Grauvieh  50, Original Braunvieh  47","Bella  8, Elba  5"
Anniviers,1784.0,7.3,65.1,"Eringer  636, Braunvieh  237, Red Holstein  204, Limousin  146, Simmental  137","Bianca  5, Fiona  5, Tina  5"
Zermatt,91.0,0.4,1.6,"Simmental  35, Swiss Fleckvieh  26, Original Braunvieh  9, Eringer  7, Braunvieh  5",
Innertkirchen,1032.0,4.4,96.3,"Braunvieh  554, Original Braunvieh  171, Kreuzung  109, Swiss Fleckvieh  66, Red Holstein  31","Gloria  12, Bianca  7, Nina  6, Paula  6, Arve  5, Cindy  5, Edelweiss  5, Emma  5, Flora  5, Gina  5, Goldi  5, Lea  5, Sina  5"
