year,month,import,birth,import_swiss_ear_tag,slaugthering,death,yard_slaughter,export
2010,1,12,63767,12.0,53612,6984,413,26.0
2010,2,31,60339,22.0,49106,6352,405,28.0
2010,3,66,60637,20.0,61033,6448,487,45.0
2010,4,347,49279,9.0,54813,5434,398,44.0
2010,5,189,42784,17.0,53115,4962,429,417.0
2010,6,61,40459,72.0,52944,4330,342,1064.0
2010,7,50,50923,19.0,46343,4810,213,64.0
2010,8,51,59050,40.0,53008,4992,230,16.0
2010,9,66,70265,908.0,49944,4720,211,32.0
2010,10,155,77650,345.0,53283,5023,272,97.0
2010,11,68,73089,118.0,64816,5536,396,99.0
2010,12,44,67211,,55877,6845,338,82.0
2011,1,30,63928,6.0,58497,6820,366,15.0
2011,2,24,59859,5.0,52233,5889,349,25.0
2011,3,109,61706,6.0,60110,5972,381,39.0
2011,4,261,47505,7.0,53490,4958,302,14.0
2011,5,261,43469,5.0,57402,4873,410,411.0
2011,6,132,40996,50.0,51329,4336,342,1053.0
2011,7,50,49797,6.0,48229,4376,208,18.0
2011,8,85,60292,41.0,51560,4920,169,34.0
2011,9,180,70935,1052.0,52522,5087,224,53.0
2011,10,102,77737,262.0,53226,5742,245,61.0
2011,11,73,72000,11.0,59896,6059,346,68.0
2011,12,16,67040,,55238,7024,418,18.0
2012,1,68,64322,,58032,6029,396,29.0
2012,2,82,63078,,52410,5940,346,21.0
2012,3,72,59537,0.0,60903,5328,356,22.0
2012,4,230,46546,,53647,4698,369,15.0
2012,5,85,42782,,54728,4173,347,261.0
2012,6,201,38791,55.0,53186,3677,290,997.0
2012,7,32,49693,5.0,45628,3795,185,14.0
2012,8,42,60824,16.0,52439,4137,185,8.0
2012,9,150,69679,918.0,46871,3893,187,12.0
2012,10,128,78407,217.0,57434,4376,229,75.0
2012,11,76,70375,,64014,4487,347,17.0
2012,12,75,65012,0.0,50061,5320,268,24.0
2013,1,11,66370,,57678,5579,359,20.0
2013,2,49,54721,0.0,51554,4935,254,14.0
2013,3,39,56380,,55473,4967,328,19.0
2013,4,106,46147,37.0,57435,4581,321,33.0
2013,5,379,41378,,54981,4124,335,264.0
2013,6,118,42026,79.0,48339,3506,264,912.0
2013,7,63,51928,13.0,46615,3798,134,17.0
2013,8,30,60566,16.0,49762,4497,171,6.0
2013,9,143,68470,798.0,49963,4396,179,12.0
2013,10,193,78575,256.0,55704,4887,236,132.0
2013,11,94,71717,,61698,5332,329,52.0
2013,12,83,67558,,53383,6486,360,25.0
2014,1,44,61356,0.0,59154,6193,369,11.0
2014,2,71,54314,,53722,4969,303,20.0
2014,3,66,55992,,57497,4915,278,10.0
2014,4,193,49717,5.0,51771,4312,329,54.0
2014,5,147,42496,33.0,54523,3876,321,62.0
2014,6,79,43288,25.0,49883,3822,232,98.0
2014,7,48,49857,,47124,4027,162,19.0
2014,8,58,57850,8.0,47674,4000,165,10.0
2014,9,121,69800,38.0,52458,4244,166,24.0
2014,10,175,76862,88.0,56001,4765,208,47.0
2014,11,124,70486,13.0,60739,4662,262,31.0
2014,12,93,65158,0.0,55609,5473,298,23.0
2015,1,52,61900,,56091,5693,311,20.0
2015,2,67,56398,0.0,51037,5338,247,5.0
2015,3,157,58172,0.0,59896,4978,281,
2015,4,278,46815,,52618,4307,238,5.0
2015,5,282,43064,,49799,3925,230,40.0
2015,6,150,40748,11.0,51885,3853,241,176.0
2015,7,55,48506,0.0,48420,4350,151,14.0
2015,8,39,55416,,47509,4214,136,
2015,9,74,68339,153.0,47643,4303,185,109.0
2015,10,96,75447,56.0,53811,4596,200,22.0
2015,11,40,70696,0.0,59715,4590,242,25.0
2015,12,17,66827,0.0,52967,5451,241,44.0
2016,1,294,59424,0.0,53549,5437,286,8.0
2016,2,79,56940,0.0,56613,4976,261,6.0
2016,3,318,55974,38.0,55797,4688,244,29.0
2016,4,95,43434,24.0,54975,4132,226,80.0
2016,5,361,40081,,53129,3677,205,41.0
2016,6,104,41940,53.0,51159,3786,196,148.0
2016,7,48,50475,,44756,3821,113,7.0
2016,8,36,58896,15.0,47285,4486,121,
2016,9,145,70546,9.0,49249,4555,158,29.0
2016,10,103,73454,123.0,51655,4693,167,22.0
2016,11,63,69786,22.0,60393,4806,231,53.0
2016,12,18,64350,0.0,52403,5700,239,14.0
2017,1,235,59720,7.0,52225,5963,220,14.0
2017,2,82,54002,0.0,49879,4847,209,15.0
2017,3,131,55310,0.0,57994,4829,178,10.0
2017,4,259,43306,5.0,46031,3983,215,18.0
2017,5,313,40825,28.0,52479,3898,215,68.0
2017,6,68,39391,,51638,3874,183,110.0
2017,7,50,47695,6.0,46171,4077,115,10.0
2017,8,12,59496,9.0,46798,4223,102,9.0
2017,9,86,67763,119.0,45998,4424,133,26.0
2017,10,140,72176,30.0,51793,4589,177,20.0
2017,11,128,68638,28.0,58298,4807,253,19.0
2017,12,28,61825,0.0,47894,5600,194,
2018,1,50,59970,6.0,57059,5665,226,9.0
2018,2,183,53633,0.0,51553,4985,205,22.0
2018,3,126,54472,5.0,55687,5212,221,42.0
2018,4,227,43881,20.0,53592,4281,177,11.0
2018,5,244,41312,0.0,51238,4016,205,37.0
2018,6,57,39833,14.0,49157,3622,178,12.0
2018,7,307,48548,0.0,47291,3950,102,
2018,8,23,59123,8.0,50794,4846,122,5.0
2018,9,69,66700,39.0,45977,4407,110,8.0
2018,10,154,72551,16.0,55407,5029,169,14.0
2018,11,76,66706,11.0,60897,4968,233,7.0
2018,12,54,63271,0.0,49071,5572,237,21.0
2019,1,82,59701,0.0,56000,5581,193,52.0
2019,2,135,56152,0.0,50863,4879,208,49.0
2019,3,111,55196,,53858,4846,167,37.0
2019,4,194,44822,23.0,53877,4364,209,28.0
2019,5,265,38157,0.0,52464,3919,176,18.0
2019,6,37,38001,5.0,45829,3504,144,16.0
2019,7,191,48013,0.0,47622,4153,149,6.0
2019,8,60,56510,17.0,47388,4294,103,
2019,9,112,67434,0.0,46405,4319,113,93.0
2019,10,143,71806,,52406,4670,142,14.0
2019,11,144,67912,24.0,59330,4679,205,13.0
2019,12,96,61819,13.0,49491,5584,178,43.0
2020,1,164,58643,0.0,55446,5436,205,23.0
2020,2,247,56245,11.0,48361,4940,175,21.0
2020,3,137,53693,,55484,4872,184,11.0
2020,4,202,43131,,47868,4050,206,38.0
2020,5,258,39907,33.0,50163,3728,188,30.0
2020,6,37,38673,0.0,51507,3646,157,19.0
2020,7,281,47158,79.0,45408,3788,117,12.0
2020,8,56,56443,0.0,45622,4294,120,
2020,9,114,66569,0.0,44954,4103,126,337.0
2020,10,107,71415,39.0,52924,4674,152,22.0
2020,11,40,67415,20.0,56477,4453,163,6.0
2020,12,9,62524,0.0,48885,5585,183,61.0
2021,1,222,62800,0.0,48913,5632,191,48.0
2021,2,213,56982,,49502,4899,176,53.0
2021,3,334,54357,,56637,5030,174,11.0
2021,4,360,44033,5.0,49790,4356,176,23.0
