year,month,population,01_years_old,12_years_old,23_years_old,34_years_old,45_years_old,56_years_old,67_years_old,78_years_old,89_years_old,910_years_old,1011_years_old,1112_years_old,1213_years_old,1314_years_old,1415_years_old,1516_years_old,1617_years_old,1718_years_old,1819_years_old,1920_years_old,2025_years_old
2010,1,Male,217809,31027,3727,1293,752.0,472.0,245.0,119.0,97.0,69.0,26.0,11.0,8.0,6.0,,6.0,,0.0,0.0,0.0,
2010,2,Male,218295,31679,3720,1306,766.0,483.0,235.0,118.0,104.0,63.0,31.0,11.0,8.0,6.0,,6.0,,0.0,0.0,0.0,
2010,3,Male,213843,30762,3693,1328,758.0,499.0,242.0,118.0,105.0,63.0,34.0,10.0,10.0,,5.0,,,0.0,0.0,0.0,
2010,4,Male,208224,28984,3578,1352,745.0,485.0,248.0,119.0,103.0,61.0,39.0,8.0,9.0,,7.0,,,0.0,0.0,0.0,
2010,5,Male,201150,26594,3435,1290,740.0,485.0,248.0,118.0,100.0,60.0,45.0,7.0,9.0,,5.0,,,0.0,0.0,0.0,
2010,6,Male,193204,23913,3276,1237,735.0,486.0,239.0,121.0,95.0,62.0,46.0,9.0,7.0,5.0,5.0,,,0.0,0.0,0.0,
2010,7,Male,193117,23265,3251,1230,742.0,485.0,240.0,130.0,89.0,65.0,50.0,8.0,7.0,5.0,5.0,,,0.0,0.0,0.0,
2010,8,Male,194016,22947,3264,1244,739.0,473.0,246.0,131.0,90.0,59.0,55.0,9.0,6.0,5.0,6.0,,,,0.0,0.0,
2010,9,Male,201136,25035,3301,1282,757.0,465.0,261.0,138.0,90.0,64.0,52.0,12.0,6.0,,7.0,,,,0.0,0.0,
2010,10,Male,210471,27658,3448,1305,751.0,495.0,274.0,141.0,94.0,64.0,51.0,12.0,5.0,5.0,6.0,5.0,,,0.0,0.0,
2010,11,Male,214897,28518,3394,1284,748.0,491.0,274.0,143.0,92.0,63.0,52.0,14.0,,5.0,6.0,,,,0.0,0.0,
2010,12,Male,215308,29392,3512,1289,758.0,464.0,269.0,151.0,86.0,63.0,51.0,13.0,5.0,5.0,6.0,0.0,,,0.0,0.0,
2011,1,Male,216127,29657,3496,1322,750.0,471.0,276.0,159.0,75.0,67.0,48.0,13.0,7.0,5.0,6.0,0.0,,,0.0,0.0,
2011,2,Male,215518,30486,3461,1350,747.0,476.0,272.0,161.0,75.0,71.0,46.0,16.0,8.0,5.0,6.0,0.0,,,0.0,0.0,
