year,month,ch,fl
2010,1,1624415,5989
2010,2,1628828,6033
2010,3,1621559,5954
2010,4,1610397,6023
2010,5,1594334,6073
2010,6,1575820,6501
2010,7,1575456,6510
2010,8,1576483,6384
2010,9,1593257,6050
2010,10,1612520,6164
2010,11,1615085,6117
2010,12,1619303,6134
2011,1,1617552,6094
2011,2,1618930,6139
2011,3,1614308,6074
2011,4,1603187,6233
2011,5,1583914,6176
2011,6,1567619,6589
2011,7,1564765,6567
2011,8,1568817,6364
2011,9,1583567,6063
2011,10,1602353,6145
2011,11,1608139,6174
2011,12,1612827,6263
2012,1,1612037,6299
2012,2,1615357,6418
2012,3,1607632,6317
2012,4,1594591,6393
2012,5,1577069,6397
2012,6,1556898,6613
2012,7,1556263,6668
2012,8,1559411,6636
2012,9,1578357,6345
2012,10,1593689,6411
2012,11,1593972,6334
2012,12,1601970,6335
2013,1,1603394,6319
2013,2,1600357,6218
2013,3,1595013,6132
2013,4,1577994,6155
2013,5,1559113,6184
2013,6,1547249,6376
2013,7,1547715,6457
2013,8,1553214,6362
2013,9,1567353,6052
2013,10,1584345,6139
2013,11,1587591,6133
2013,12,1593731,6161
2014,1,1588327,6113
2014,2,1582789,6158
2014,3,1575235,6110
2014,4,1567825,6200
2014,5,1551033,6181
2014,6,1539629,6331
2014,7,1537483,6334
2014,8,1542939,6221
2014,9,1555176,6156
2014,10,1570569,6102
2014,11,1574715,6055
2014,12,1577702,6055
2015,1,1576669,6021
2015,2,1575760,6060
2015,3,1567998,6138
2015,4,1557288,6120
2015,5,1545906,6195
2015,6,1530109,6261
2015,7,1525254,6275
2015,8,1528342,6160
2015,9,1544192,5983
2015,10,1560540,5984
2015,11,1565774,6268
2015,12,1573276,6231
2016,1,1573043,6192
2016,2,1567564,6143
2016,3,1562775,5864
2016,4,1546240,5942
2016,5,1528969,5989
2016,6,1515221,5986
2016,7,1516735,5926
2016,8,1523336,5906
2016,9,1539552,5791
2016,10,1555955,5867
2016,11,1559771,5874
2016,12,1565244,5782
2017,1,1566089,5830
2017,2,1564697,5828
2017,3,1556554,5816
2017,4,1549312,5853
2017,5,1533276,5815
2017,6,1516447,5879
2017,7,1513451,5829
2017,8,1521358,5839
2017,9,1538225,5782
2017,10,1553341,5941
2017,11,1558105,5972
2017,12,1565690,5971
2018,1,1562064,6049
2018,2,1558564,6021
2018,3,1551394,6075
2018,4,1536957,6045
2018,5,1522489,6091
2018,6,1508956,6089
2018,7,1506002,6087
2018,8,1508861,6070
2018,9,1524395,5992
2018,10,1535800,6129
2018,11,1536085,6017
2018,12,1543778,6130
2019,1,1541125,6076
2019,2,1540786,6066
2019,3,1536542,6051
2019,4,1522494,6023
2019,5,1503659,6146
2019,6,1491701,6128
2019,7,1487404,6259
2019,8,1491772,6215
2019,9,1507748,6143
2019,10,1521747,6258
2019,11,1524935,6328
2019,12,1530875,6357
2020,1,1528039,6265
2020,2,1530537,6329
2020,3,1523339,6289
2020,4,1514050,6292
2020,5,1499807,6244
2020,6,1482664,6291
2020,7,1480489,6172
2020,8,1486530,6128
2020,9,1503246,6135
2020,10,1516522,6206
2020,11,1522215,6328
2020,12,1529402,6328
2021,1,1536994,6398
2021,2,1539142,6332
2021,3,1531320,6290
2021,4,1520940,6266
2021,5,1506715,6169
2021,6,1494544,6256
2021,7,1493085,6231
2021,8,1497100,6284
2021,9,1513334,6143
2021,10,1532044,6372
2021,11,1533541,6261
2021,12,1539657,6303
2022,1,1544688,6269
2022,2,1547962,6234
2022,3,1542195,6228
2022,4,1534446,6255
2022,5,1521596,6176
2022,6,1509769,6154
2022,7,1506360,6185
2022,8,1508242,6223
2022,9,1520359,6213
2022,10,1538500,6394
2022,11,1542995,6327
2022,12,1549951,6388
2023,1,1550587,6372
2023,2,1550205,6376
2023,3,1541135,6347
2023,4,1533112,6460
2023,5,1514786,6389
2023,6,1497252,6260
2023,7,1484422,6080
