year,month,male,male_castrated,female
2010,1,255674,15233,1353508
2010,2,256838,15278,1356712
2010,3,251482,15163,1354914
2010,4,243974,15308,1351115
2010,5,234298,15137,1344899
2010,6,223448,14806,1337566
2010,7,222697,14935,1337824
2010,8,223298,15135,1338050
2010,9,232618,15437,1345202
2010,10,244789,15804,1351927
2010,11,249993,15817,1349275
2010,12,251380,15984,1351939
2011,1,252486,16125,1348941
2011,2,252705,16025,1350200
2011,3,249358,16146,1348804
2011,4,242079,16286,1344822
2011,5,231035,16079,1336800
2011,6,221901,15841,1329877
2011,7,220590,15772,1328403
2011,8,223383,15943,1329491
2011,9,231426,16202,1335939
2011,10,244052,16582,1341719
2011,11,249411,16603,1342125
2011,12,252269,16923,1343635
2012,1,253256,17064,1341717
2012,2,254213,17203,1343941
2012,3,249203,17513,1340916
2012,4,241563,17732,1335296
2012,5,230972,17812,1328285
2012,6,219561,17602,1319735
2012,7,219496,17904,1318863
2012,8,220757,18292,1320362
2012,9,230843,18856,1328658
2012,10,242793,19237,1331659
2012,11,246106,19361,1328505
2012,12,250785,19805,1331380
2013,1,251519,19968,1331907
2013,2,249377,19967,1331013
2013,3,246309,20073,1328631
2013,4,236800,20092,1321102
2013,5,225761,19970,1313382
2013,6,218740,19872,1308637
2013,7,218770,19898,1309047
2013,8,221474,20400,1311340
2013,9,229657,20821,1316875
2013,10,241279,21243,1321823
2013,11,246200,21415,1319976
2013,12,250156,21899,1321676
2014,1,248289,21954,1318084
2014,2,244331,21790,1316668
2014,3,239106,21824,1314305
2014,4,234358,21947,1311520
2014,5,223685,21782,1305566
2014,6,215682,21695,1302252
2014,7,214317,21735,1301431
2014,8,217487,22177,1303275
2014,9,225272,22580,1307324
2014,10,235807,22949,1311813
2014,11,240688,23068,1310959
2014,12,242935,23387,1311380
2015,1,241783,23513,1311373
2015,2,241077,23599,1311084
2015,3,236907,23665,1307426
2015,4,230491,23655,1303142
2015,5,222773,23586,1299547
2015,6,213512,23225,1293372
2015,7,211814,23242,1290198
2015,8,214276,23467,1290599
2015,9,222890,23889,1297413
2015,10,233509,24326,1302705
2015,11,239415,24483,1301876
2015,12,243818,24718,1304740
2016,1,243677,24986,1304380
2016,2,241052,24902,1301610
2016,3,238189,24798,1299788
2016,4,228766,24858,1292616
2016,5,218379,24456,1286134
2016,6,210619,24172,1280430
2016,7,211358,24299,1281078
2016,8,214214,24546,1284576
2016,9,222444,25240,1291868
2016,10,233058,25733,1297164
2016,11,237523,25911,1296337
2016,12,239743,26386,1299115
2017,1,239962,26588,1299539
2017,2,238411,26650,1299636
2017,3,232540,26740,1297274
2017,4,226989,27007,1295316
2017,5,218091,26988,1288197
2017,6,209219,26677,1280551
2017,7,209002,26789,1277660
2017,8,212386,27155,1281817
2017,9,221034,27761,1289430
2017,10,230564,28273,1294504
2017,11,235358,28387,1294360
2017,12,239173,28834,1297683
2018,1,237570,28814,1295680
2018,2,234291,28753,1295520
2018,3,229596,28947,1292851
2018,4,221273,28924,1286760
2018,5,212675,28729,1281085
2018,6,204980,28328,1275648
2018,7,204573,28386,1273043
2018,8,206436,28689,1273736
2018,9,214364,29395,1280636
2018,10,223034,29862,1282904
2018,11,225303,29858,1280924
2018,12,229741,30519,1283518
2019,1,229740,30568,1280817
2019,2,229709,30427,1280650
2019,3,226912,30402,1279228
2019,4,220190,30285,1272019
2019,5,211085,29867,1262707
2019,6,204194,29595,1257912
2019,7,202598,29593,1255213
2019,8,204523,29643,1257606
2019,9,211963,30472,1265313
2019,10,221136,30957,1269654
2019,11,225162,31134,1268639
2019,12,228360,31663,1270852
2020,1,226482,31742,1269815
2020,2,227399,31930,1271208
2020,3,222989,31847,1268503
2020,4,215137,31684,1267229
2020,5,206895,31335,1261577
2020,6,199121,30862,1252681
2020,7,197399,30868,1252222
2020,8,200851,31145,1254534
2020,9,209009,31718,1262519
2020,10,216842,32114,1267566
2020,11,220601,32162,1269452
2020,12,223904,32399,1273099
2021,1,226359,32956,1277679
2021,2,226087,33124,1279931
2021,3,222298,32850,1276172
2021,4,216129,32900,1271911
2021,5,208334,32720,1265661
2021,6,201617,32294,1260633
2021,7,200262,32454,1260369
2021,8,201710,32802,1262588
2021,9,208669,33385,1271280
2021,10,218877,34035,1279132
2021,11,221477,34064,1278000
2021,12,223039,34648,1281970
2022,1,225273,34975,1284440
2022,2,225514,35188,1287260
2022,3,221407,35141,1285647
2022,4,216130,35348,1282968
2022,5,209142,34822,1277632
2022,6,202257,34596,1272916
2022,7,200928,34458,1270974
2022,8,202859,34509,1270874
2022,9,208614,34830,1276915
2022,10,218263,35592,1284645
2022,11,222481,35909,1284605
2022,12,224804,36847,1288300
2023,1,224902,37208,1288477
2023,2,224627,37080,1288498
2023,3,220004,36339,1284792
2023,4,215760,36083,1281269
2023,5,207374,35309,1272103
2023,6,199073,34533,1263646
2023,7,194061,33861,1256500
