year,month,type_of_use,q1,median,q3,mean,std,tot_number_animals
2010,1,Beef,278,322,370,328,66,615
2010,1,Dairy,272,301,332,303,46,10766
2010,2,Beef,288,328,369,333,66,532
2010,2,Dairy,271,300,332,303,46,8862
2010,3,Beef,284,324,372,330,67,607
2010,3,Dairy,272,301,333,304,47,10626
2010,4,Beef,284,329,379,335,70,587
2010,4,Dairy,268,299,332,302,48,8777
2010,5,Beef,279,322,372,327,70,588
2010,5,Dairy,266,296,330,300,49,8559
2010,6,Beef,280,323,368,326,65,586
2010,6,Dairy,264,294,329,297,48,8514
2010,7,Beef,280,325,374,330,67,494
2010,7,Dairy,260,290,322,293,47,8889
2010,8,Beef,268,312,358,317,68,575
2010,8,Dairy,256,285,318,289,47,10680
2010,9,Beef,270,314,367,321,69,574
2010,9,Dairy,257,284,316,289,45,10940
2010,10,Beef,268,312,365,320,69,699
2010,10,Dairy,258,286,316,289,45,12535
2010,11,Beef,268,308,361,317,68,819
2010,11,Dairy,262,290,321,293,46,14229
2010,12,Beef,278,323,377,328,69,689
2010,12,Dairy,264,294,326,296,46,9824
2011,1,Beef,284,326,376,332,69,788
2011,1,Dairy,270,301,334,303,47,13221
2011,2,Beef,286,328,380,336,71,630
2011,2,Dairy,269,300,332,302,47,9709
2011,3,Beef,287,328,379,335,71,607
2011,3,Dairy,268,298,332,301,48,10183
2011,4,Beef,280,322,374,329,74,601
2011,4,Dairy,264,296,330,298,47,8164
2011,5,Beef,281,325,377,331,72,658
2011,5,Dairy,266,296,329,299,48,9362
2011,6,Beef,282,329,382,335,73,528
2011,6,Dairy,264,295,330,298,48,7656
2011,7,Beef,293,336,386,341,72,558
2011,7,Dairy,262,291,324,294,47,9208
2011,8,Beef,274,322,368,324,70,545
2011,8,Dairy,258,286,319,290,46,10222
2011,9,Beef,269,314,374,323,74,607
2011,9,Dairy,256,283,315,287,45,11054
2011,10,Beef,273,316,367,322,68,714
2011,10,Dairy,259,286,317,290,45,12477
2011,11,Beef,279,321,376,329,73,806
2011,11,Dairy,264,292,322,295,45,11949
2011,12,Beef,280,324,380,331,74,636
2011,12,Dairy,268,296,327,299,45,9419
2012,1,Beef,295,335,383,341,68,773
2012,1,Dairy,274,304,336,306,46,12357
2012,2,Beef,287,328,377,334,72,527
2012,2,Dairy,274,304,335,306,47,9426
2012,3,Beef,294,334,386,340,70,746
2012,3,Dairy,274,305,337,307,48,9808
2012,4,Beef,286,332,385,340,73,642
2012,4,Dairy,272,304,336,305,47,8827
2012,5,Beef,288,331,390,341,72,638
2012,5,Dairy,268,300,333,302,48,8409
2012,6,Beef,284,330,386,337,73,533
2012,6,Dairy,267,299,332,301,48,7828
2012,7,Beef,286,328,383,336,70,518
2012,7,Dairy,264,295,328,297,48,9337
2012,8,Beef,292,335,381,337,67,566
2012,8,Dairy,260,290,322,293,46,9738
2012,9,Beef,276,322,373,326,73,548
2012,9,Dairy,259,288,319,291,45,9930
2012,10,Beef,274,317,362,322,67,880
2012,10,Dairy,260,286,318,290,45,14104
2012,11,Beef,288,330,376,334,67,998
2012,11,Dairy,264,291,322,294,45,13479
2012,12,Beef,287,324,370,332,65,684
2012,12,Dairy,266,295,326,298,45,9774
2013,1,Beef,290,329,371,331,67,792
2013,1,Dairy,270,301,333,303,46,11961
2013,2,Beef,296,336,379,340,64,739
2013,2,Dairy,274,305,336,306,46,9669
2013,3,Beef,292,338,384,340,70,761
2013,3,Dairy,272,303,336,305,47,9753
2013,4,Beef,285,327,381,333,71,780
2013,4,Dairy,270,302,334,303,48,9623
2013,5,Beef,288,324,366,327,66,807
2013,5,Dairy,267,300,333,301,48,7968
2013,6,Beef,290,328,376,334,67,627
2013,6,Dairy,264,296,328,298,49,6994
2013,7,Beef,288,324,368,331,69,661
2013,7,Dairy,262,293,326,295,47,8503
