breed,min,lower_fence,q1,median,q3,upper_fence,max,tot_number_animals
Angler,141.5,141.5,256.875,301.0,339.625,462.3,462.3,66
Angus,119.5,172.79999999999998,301.5,343.65,387.3,516.0,550.0,20824
Aubrac,172.0,220.75000000000003,335.8,374.3,412.5,527.55,534.3,2321
Ayrshire,158.0,169.00000000000003,245.8,275.5,297.0,373.8,407.8,185
Bazadaise,265.0,270.6,355.35,381.5,411.85,496.6,507.5,48
Blonde d'Aquitaine,175.3,200.0,357.5,413.5,462.5,549.5,549.5,1449
Braunvieh,106.5,171.0,264.0,293.0,326.0,419.0,475.0,468539
Braunvieh Beef,126.5,181.75,281.5,315.5,348.0,447.75,549.5,45701
Charolais,181.5,242.75,378.5,423.5,469.0,550.0,550.0,4310
Daenische Rotbunte,106.0,202.00000000000003,283.3,307.5,337.5,418.8,421.0,78
Dexter,100.5,100.5,139.95,163.3,191.0,267.57500000000005,359.2,1136
Eringer,137.5,173.25,276.0,309.0,344.5,447.25,474.8,13324
Evolene,138.0,143.00000000000003,237.8,267.5,301.0,395.8,443.5,685
Galloway,112.8,132.25,235.0,268.5,303.5,406.25,475.5,2329
Gasconne,284.3,284.3,339.95,384.5,408.0,489.0,489.0,44
Grauvieh,101.8,135.75,232.5,263.5,297.0,393.75,474.3,5755
Hereford,138.0,186.225,323.25,369.4,414.6,548.8,548.8,1860
Highland Cattle,102.0,102.0,191.25,226.3,264.65,374.75,533.0,1631
Hinterwaelder,113.5,113.5,194.275,220.0,250.5,334.83750000000003,420.0,1650
Holstein,105.0,163.04999999999998,265.5,297.5,333.8,436.25,475.0,301603
Jersey,100.0,100.0,160.0,182.8,211.0,287.5,398.3,10733
Kiwicross,129.5,129.5,195.35,225.9,263.875,366.6625,409.5,310
Limousin,137.8,207.5,335.0,377.0,420.0,547.5,550.0,27632
Luing,167.5,167.5,284.5,337.3,375.5,496.5,496.5,225
Montbéliarde,140.0,187.75,283.0,313.5,346.5,441.75,475.0,34766
Normande,163.4,178.5,285.0,319.0,356.0,462.5,474.8,4327
Norwegische Rotbunte,181.0,181.0,269.8,306.8,345.0,447.0,447.0,133
Original Braunvieh,143.0,179.25,273.0,302.5,335.5,429.25,474.5,9961
Original Braunvieh Beef,178.0,180.00000000000003,277.8,309.5,343.0,440.8,505.5,2478
Parthenaise,276.8,300.2125,389.575,430.5,449.15,538.5124999999999,544.2,34
Piemonteser,199.0,199.0,312.0,353.0,395.8,521.5,530.0,969
Pinzgauer,154.5,185.0,285.5,316.0,352.5,453.0,486.8,564
Red Holstein,121.0,166.25,269.0,303.0,337.5,440.25,475.0,136553
Salers,158.5,201.25,320.5,358.8,400.0,519.25,539.8,1264
Simmental,159.5,197.6,287.0,316.0,346.6,436.00000000000006,475.0,48092
Simmental Beef,156.8,203.25,304.5,337.0,372.0,473.25,549.0,22341
Swiss Fleckvieh,148.5,176.75,276.5,309.3,343.0,442.75,475.0,69535
Tarentaise,202.8,202.8,233.825,267.1,305.175,412.2000000000001,413.2,36
Tuxer,223.3,223.3,254.925,290.05,325.45,416.8,416.8,86
Vosgienne,208.0,208.0,260.35,291.35,331.5,438.225,474.7,90
Wagyu,205.8,205.8,294.0,334.8,382.25,507.5,507.5,71
Wasserbueffel,174.5,174.5,280.0,321.0,366.0,461.5,461.5,237
Weissblaue Belgier,223.6,223.6,317.25,352.0,393.3,507.375,540.0,211
Zebu,108.4,108.4,141.5,164.75,196.625,279.3125,396.2,64
