year,month,stillbirth_rate,stillbirths
2010,1,0.0465,3099
2010,2,0.0441,2771
2010,3,0.0395,2488
2010,4,0.0383,1956
2010,5,0.0435,1942
2010,6,0.0418,1758
2010,7,0.0431,2286
2010,8,0.0452,2789
2010,9,0.0451,3309
2010,10,0.0434,3507
2010,11,0.0447,3405
2010,12,0.0482,3390
2011,1,0.0481,3219
2011,2,0.0427,2658
2011,3,0.038,2433
2011,4,0.0382,1881
2011,5,0.0426,1928
2011,6,0.0438,1871
2011,7,0.0445,2312
2011,8,0.0447,2811
2011,9,0.0446,3298
2011,10,0.0459,3725
2011,11,0.0465,3499
2011,12,0.0477,3344
2012,1,0.0483,3253
2012,2,0.0391,2559
2012,3,0.0392,2418
2012,4,0.0425,2060
2012,5,0.042,1870
2012,6,0.0437,1766
2012,7,0.0448,2321
2012,8,0.0416,2633
2012,9,0.0441,3203
2012,10,0.0427,3486
2012,11,0.0422,3084
2012,12,0.0458,3105
2013,1,0.0455,3151
2013,2,0.0469,2681
2013,3,0.0416,2438
2013,4,0.0376,1794
2013,5,0.0403,1735
2013,6,0.0399,1740
2013,7,0.0398,2144
2013,8,0.0434,2739
2013,9,0.0423,3017
2013,10,0.0421,3436
2013,11,0.0467,3498
2013,12,0.0486,3438
2014,1,0.046,2948
2014,2,0.0439,2486
2014,3,0.0406,2361
2014,4,0.0372,1915
2014,5,0.0425,1879
2014,6,0.0404,1816
2014,7,0.0421,2184
2014,8,0.045,2715
2014,9,0.0469,3419
2014,10,0.0453,3636
2014,11,0.0453,3331
2014,12,0.0483,3296
2015,1,0.0488,3164
2015,2,0.0472,2785
2015,3,0.0407,2463
2015,4,0.0412,2006
2015,5,0.0424,1903
2015,6,0.0417,1765
2015,7,0.0446,2257
2015,8,0.0443,2561
2015,9,0.0463,3306
2015,10,0.0448,3522
2015,11,0.0442,3257
2015,12,0.0476,3330
2016,1,0.0501,3125
2016,2,0.0472,2810
2016,3,0.0428,2493
2016,4,0.0436,1973
2016,5,0.0457,1914
2016,6,0.0447,1956
2016,7,0.0427,2245
2016,8,0.0434,2665
2016,9,0.0451,3322
2016,10,0.0465,3566
2016,11,0.0449,3267
2016,12,0.0449,3014
2017,1,0.0507,3179
2017,2,0.0457,2576
2017,3,0.0402,2307
2017,4,0.0411,1851
2017,5,0.043,1826
2017,6,0.0417,1707
2017,7,0.0451,2243
2017,8,0.0449,2785
2017,9,0.0486,3447
2017,10,0.0449,3377
2017,11,0.0482,3460
2017,12,0.0506,3282
2018,1,0.0527,3326
2018,2,0.0552,3123
2018,3,0.0476,2709
2018,4,0.046,2108
2018,5,0.0486,2103
2018,6,0.048,2001
2018,7,0.0467,2372
2018,8,0.0449,2768
2018,9,0.0461,3212
2018,10,0.0471,3575
2018,11,0.0486,3397
2018,12,0.0496,3287
2019,1,0.0511,3207
2019,2,0.046,2698
2019,3,0.0423,2428
2019,4,0.0421,1962
2019,5,0.0475,1897
2019,6,0.0466,1851
2019,7,0.0458,2297
2019,8,0.0444,2614
2019,9,0.0471,3324
2019,10,0.0455,3411
2019,11,0.0495,3525
2019,12,0.0476,3077
2020,1,0.0505,3107
2020,2,0.0476,2802
2020,3,0.0445,2494
2020,4,0.0434,1952
2020,5,0.0464,1934
2020,6,0.0497,2013
2020,7,0.0473,2336
2020,8,0.0482,2848
2020,9,0.0474,3298
2020,10,0.0492,3678
2020,11,0.0448,3151
2020,12,0.0486,3185
2021,1,0.0505,3327
2021,2,0.0455,2705
2021,3,0.0441,2499
2021,4,0.0432,1979
2021,5,0.0472,1865
2021,6,0.0472,1880
2021,7,0.0486,2355
2021,8,0.0484,2860
2021,9,0.046,3189
2021,10,0.046,3463
2021,11,0.0444,3171
2021,12,0.0464,3063
2022,1,0.0453,2914
2022,2,0.0428,2496
2022,3,0.041,2325
2022,4,0.0402,1847
2022,5,0.0416,1767
2022,6,0.0435,1735
2022,7,0.0461,2110
2022,8,0.0419,2432
2022,9,0.045,3024
2022,10,0.0413,3128
2022,11,0.0463,3324
2022,12,0.0469,3121
2023,1,0.0491,3062
2023,2,0.0459,2587
2023,3,0.0443,2426
2023,4,0.0453,2037
2023,5,0.0467,1892
2023,6,0.0475,1853
2023,7,0.0483,1868
