year,month,male,n_stillbirth_male,female,n_stillbirth_female
2010,1,0.0519,1773,0.0408,1326
2010,2,0.0499,1626,0.0378,1145
2010,3,0.0446,1452,0.0341,1036
2010,4,0.0416,1113,0.0346,843
2010,5,0.0486,1119,0.0382,823
2010,6,0.0479,1034,0.0354,724
2010,7,0.0502,1372,0.0356,914
2010,8,0.0517,1623,0.0385,1166
2010,9,0.0507,1893,0.0394,1416
2010,10,0.0491,2023,0.0374,1484
2010,11,0.0505,1973,0.0386,1432
2010,12,0.0559,2010,0.0401,1380
2011,1,0.054,1851,0.0419,1368
2011,2,0.0489,1563,0.0361,1095
2011,3,0.0446,1480,0.0309,953
2011,4,0.0433,1111,0.0326,770
2011,5,0.0498,1165,0.035,763
2011,6,0.0502,1111,0.0369,760
2011,7,0.0526,1406,0.0359,906
2011,8,0.0526,1691,0.0364,1120
2011,9,0.0525,1972,0.0364,1326
2011,10,0.0527,2196,0.0387,1529
2011,11,0.0535,2059,0.0392,1440
2011,12,0.0533,1923,0.0418,1421
2012,1,0.0557,1913,0.0406,1340
2012,2,0.0449,1502,0.033,1057
2012,3,0.0445,1420,0.0335,998
2012,4,0.0494,1236,0.0351,824
2012,5,0.0491,1122,0.0346,748
2012,6,0.049,1022,0.038,744
2012,7,0.0525,1395,0.0366,926
2012,8,0.0463,1499,0.0367,1134
2012,9,0.0487,1791,0.0394,1412
2012,10,0.0494,2063,0.0358,1423
2012,11,0.0479,1794,0.0361,1290
2012,12,0.0506,1742,0.0408,1363
2013,1,0.0505,1763,0.0404,1388
2013,2,0.053,1553,0.0404,1128
2013,3,0.0464,1408,0.0364,1030
2013,4,0.0427,1059,0.032,735
2013,5,0.0459,1018,0.0345,717
2013,6,0.0454,1013,0.0341,727
2013,7,0.0458,1266,0.0335,878
2013,8,0.0494,1571,0.0373,1168
2013,9,0.0483,1734,0.0363,1283
2013,10,0.0488,2024,0.0351,1412
2013,11,0.0536,2034,0.0396,1464
2013,12,0.0546,1968,0.0423,1470
2014,1,0.0518,1680,0.04,1268
2014,2,0.0516,1475,0.0361,1011
2014,3,0.0466,1397,0.0342,964
2014,4,0.0427,1137,0.0313,778
2014,5,0.0475,1078,0.0371,801
2014,6,0.0466,1063,0.034,753
2014,7,0.0498,1312,0.0342,872
2014,8,0.0539,1643,0.0358,1072
2014,9,0.0551,2013,0.0386,1406
2014,10,0.0527,2136,0.0378,1500
2014,11,0.0536,1999,0.0367,1332
2014,12,0.0559,1919,0.0406,1377
2015,1,0.0565,1836,0.0411,1328
2015,2,0.0528,1572,0.0415,1213
2015,3,0.0467,1445,0.0345,1018
2015,4,0.0482,1205,0.0338,801
2015,5,0.0494,1129,0.0352,774
2015,6,0.0466,1010,0.0365,755
2015,7,0.0527,1359,0.0362,898
2015,8,0.0497,1440,0.0389,1121
2015,9,0.0524,1870,0.0402,1436
2015,10,0.05,1963,0.0396,1559
2015,11,0.0501,1854,0.0382,1403
2015,12,0.0511,1795,0.0441,1535
2016,1,0.0538,1662,0.0465,1463
2016,2,0.0516,1543,0.0427,1267
2016,3,0.0456,1353,0.0398,1140
2016,4,0.0467,1079,0.0403,894
2016,5,0.05,1054,0.0414,860
2016,6,0.0493,1086,0.04,870
2016,7,0.0468,1225,0.0387,1020
2016,8,0.0487,1473,0.0383,1192
2016,9,0.0501,1809,0.0403,1513
2016,10,0.0502,1893,0.0428,1673
2016,11,0.0491,1759,0.0408,1508
2016,12,0.0485,1592,0.0415,1422
2017,1,0.0536,1640,0.048,1539
2017,2,0.0491,1373,0.0423,1203
2017,3,0.0432,1258,0.037,1049
2017,4,0.0447,1013,0.0375,838
2017,5,0.0465,1006,0.0393,820
2017,6,0.0441,899,0.0393,808
2017,7,0.0482,1180,0.042,1063
2017,8,0.0482,1445,0.0417,1340
2017,9,0.0523,1792,0.0451,1655
2017,10,0.0487,1797,0.0411,1580
2017,11,0.0518,1820,0.0447,1640
2017,12,0.0541,1704,0.0472,1578
2018,1,0.0569,1756,0.0487,1570
2018,2,0.0595,1647,0.0511,1476
2018,3,0.0518,1468,0.0434,1241
2018,4,0.0491,1122,0.0428,986
2018,5,0.0524,1131,0.0448,972
2018,6,0.052,1059,0.0441,942
2018,7,0.0505,1240,0.0432,1132
2018,8,0.0487,1436,0.0413,1332
2018,9,0.0505,1662,0.0421,1550
2018,10,0.0514,1861,0.0433,1714
2018,11,0.0509,1721,0.0465,1676
2018,12,0.0532,1686,0.0463,1601
2019,1,0.0546,1659,0.0478,1548
2019,2,0.0502,1439,0.042,1259
2019,3,0.0452,1284,0.0394,1144
2019,4,0.0451,1041,0.0392,921
2019,5,0.0514,1021,0.0436,876
2019,6,0.0513,998,0.0421,853
2019,7,0.0507,1219,0.0414,1078
2019,8,0.0487,1347,0.0405,1267
2019,9,0.0523,1735,0.0426,1589
2019,10,0.0495,1762,0.042,1649
2019,11,0.0527,1792,0.0466,1733
2019,12,0.0524,1611,0.0432,1466
2020,1,0.0543,1588,0.047,1519
2020,2,0.0517,1458,0.0438,1344
2020,3,0.0487,1331,0.0405,1163
2020,4,0.0448,988,0.0422,964
2020,5,0.0473,959,0.0455,975
2020,6,0.052,1020,0.0475,993
2020,7,0.0524,1221,0.0428,1115
2020,8,0.0517,1416,0.0451,1432
2020,9,0.0537,1732,0.0419,1566
2020,10,0.0544,1919,0.0445,1759
2020,11,0.0491,1616,0.0411,1535
2020,12,0.0498,1520,0.0476,1665
2021,1,0.0531,1626,0.0482,1701
2021,2,0.0483,1352,0.0429,1353
2021,3,0.047,1276,0.0415,1223
2021,4,0.047,1039,0.0396,940
2021,5,0.0492,933,0.0453,932
2021,6,0.052,982,0.0429,898
2021,7,0.0516,1159,0.0459,1196
2021,8,0.0542,1447,0.0437,1413
2021,9,0.0518,1631,0.0412,1558
2021,10,0.0507,1760,0.042,1703
2021,11,0.0488,1601,0.0406,1570
2021,12,0.0503,1521,0.0431,1542
2022,1,0.0479,1415,0.0431,1499
2022,2,0.0463,1255,0.0397,1241
2022,3,0.0424,1149,0.0397,1176
2022,4,0.0434,949,0.0374,898
2022,5,0.0434,877,0.0399,890
2022,6,0.0471,872,0.0404,863
2022,7,0.0499,1052,0.0429,1058
2022,8,0.0444,1153,0.0399,1279
2022,9,0.0486,1464,0.0421,1560
2022,10,0.0439,1513,0.0391,1615
2022,11,0.0491,1607,0.0439,1717
2022,12,0.0502,1524,0.0442,1597
2023,1,0.0512,1450,0.0473,1612
2023,2,0.0492,1290,0.043,1297
2023,3,0.0479,1251,0.041,1175
2023,4,0.0468,996,0.0439,1041
2023,5,0.0499,960,0.0439,932
2023,6,0.0517,941,0.0439,912
2023,7,0.0535,942,0.044,926
