year,month,age_less_than1y,age_more_than1y
2010,1,131,350
2010,2,85,274
2010,3,78,277
2010,4,299,1459
2010,5,21611,103470
2010,6,70367,289615
2010,7,68950,295113
2010,8,60860,275395
2010,9,17718,76063
2010,10,785,4037
2010,11,164,447
2010,12,125,362
2011,1,64,272
2011,2,58,271
2011,3,61,284
2011,4,758,4160
2011,5,32336,149535
2011,6,71020,291063
2011,7,68302,292660
2011,8,59637,269284
2011,9,18092,77121
2011,10,965,4526
2011,11,156,638
2011,12,110,415
2012,1,85,376
2012,2,77,366
2012,3,88,359
2012,4,294,1325
2012,5,20052,95315
2012,6,69969,285356
2012,7,68545,290370
2012,8,61993,275118
2012,9,19479,82767
2012,10,709,2568
2012,11,96,217
2012,12,57,153
2013,1,51,151
2013,2,46,154
2013,3,45,206
2013,4,172,848
2013,5,9648,48623
2013,6,68942,279551
2013,7,69825,290957
2013,8,64571,279117
2013,9,21978,94371
2013,10,1039,5070
2013,11,84,201
2013,12,68,170
2014,1,34,116
2014,2,31,117
2014,3,64,181
2014,4,362,2287
2014,5,28591,127549
2014,6,75394,293787
2014,7,73099,298523
2014,8,65075,276202
2014,9,19263,79335
2014,10,1186,4701
2014,11,40,155
2014,12,31,66
2015,1,44,89
2015,2,42,91
2015,3,36,98
2015,4,288,1531
2015,5,28064,121972
2015,6,76042,294616
2015,7,74025,298580
2015,8,67124,281599
2015,9,19940,83717
2015,10,773,3792
2015,11,55,113
2015,12,40,73
2016,1,42,71
2016,2,45,71
2016,3,47,72
2016,4,227,1287
2016,5,21913,100316
2016,6,75595,295545
2016,7,74566,302243
2016,8,68917,287405
2016,9,22998,94139
2016,10,939,5150
2016,11,56,143
2016,12,59,68
2017,1,55,80
2017,2,57,83
2017,3,62,94
2017,4,270,1158
2017,5,26248,110989
2017,6,79927,298338
2017,7,77872,302773
2017,8,70285,284133
2017,9,18065,71224
2017,10,755,4303
2017,11,58,126
2017,12,58,87
2018,1,59,92
2018,2,60,91
2018,3,62,93
2018,4,519,2218
2018,5,29978,126074
2018,6,79977,297384
2018,7,78070,301507
2018,8,69502,277934
2018,9,21255,83426
2018,10,857,3474
2018,11,77,161
2018,12,67,116
2019,1,62,94
2019,2,66,95
2019,3,73,97
2019,4,388,1754
2019,5,17376,74941
2019,6,78464,287708
2019,7,78913,298052
2019,8,71602,283561
2019,9,23579,92458
2019,10,1057,5095
2019,11,68,146
2019,12,57,87
2020,1,62,88
2020,2,66,86
2020,3,65,87
2020,4,571,3027
2020,5,41537,161169
2020,6,80966,291990
2020,7,78538,294705
2020,8,68787,270317
2020,9,17915,69509
2020,10,663,3389
2020,11,97,132
2020,12,92,86
2021,1,92,87
2021,2,88,88
2021,3,60,92
2021,4,397,1809
2021,5,16214,72152
2021,6,80703,285026
2021,7,80355,294323
2021,8,73202,278646
2021,9,24912,95749
2021,10,1200,6301
2021,11,92,157
2021,12,36,103
2022,1,40,97
2022,2,45,100
2022,3,45,107
2022,4,520,2867
2022,5,40910,159075
2022,6,83769,294611
2022,7,81006,296955
2022,8,69718,268134
2022,9,17792,68389
2022,10,1126,5821
2022,11,96,172
2022,12,96,85
2023,1,82,84
2023,2,85,83
2023,3,28,79
2023,4,368,2195
2023,5,34092,136726
2023,6,82077,295457
2023,7,79430,299466
