year,month,ai,ar,be,bl,fl,fr,gl,gr,ju,lu,ne,nw,ow,sg,so,sz,tg,ti,ur,vd,vs,zg,zh,
2010,1,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2010,2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2010,3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,0.0
2010,5,6.0,,27.0,0.0,0.0,33.0,,,,,7.0,,5.0,8.0,,13.0,0.0,,,61.0,0.0,0.0,0.0,8.0
2010,6,14.0,26.0,135.0,0.0,,86.0,25.0,113.0,,14.0,29.0,24.0,37.0,46.0,24.0,45.0,0.0,17.0,15.0,227.0,30.0,0.0,0.0,15.0
2010,7,33.0,29.0,243.0,0.0,0.0,148.0,41.0,507.0,10.0,30.0,36.0,38.0,64.0,103.0,45.0,134.0,0.0,19.0,46.0,298.0,58.0,0.0,0.0,23.0
2010,8,45.0,68.0,321.0,0.0,0.0,210.0,30.0,751.0,30.0,34.0,27.0,51.0,91.0,152.0,25.0,105.0,0.0,17.0,43.0,482.0,117.0,0.0,0.0,74.0
2010,9,8.0,57.0,300.0,0.0,0.0,167.0,82.0,442.0,14.0,23.0,23.0,49.0,113.0,73.0,11.0,43.0,0.0,6.0,10.0,349.0,106.0,0.0,0.0,61.0
2010,10,9.0,0.0,24.0,0.0,0.0,18.0,,8.0,,,,6.0,,,,,0.0,10.0,0.0,71.0,14.0,0.0,0.0,19.0
2010,11,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
