year,month,births
2010,1,7.0
2010,2,
2010,3,17.0
2010,4,13.0
2010,5,189.0
2010,6,925.0
2010,7,1905.0
2010,8,2673.0
2010,9,1937.0
2010,10,196.0
2010,11,20.0
2010,12,10.0
2011,1,
2011,2,
2011,3,14.0
2011,4,12.0
2011,5,343.0
2011,6,1057.0
2011,7,1862.0
2011,8,2787.0
2011,9,1846.0
2011,10,189.0
2011,11,6.0
2011,12,
2012,1,
2012,2,7.0
2012,3,12.0
2012,4,
2012,5,196.0
2012,6,814.0
2012,7,1876.0
2012,8,2997.0
2012,9,1898.0
2012,10,237.0
2012,11,19.0
2012,12,9.0
2013,1,6.0
2013,2,5.0
2013,3,
2013,4,
2013,5,163.0
2013,6,878.0
2013,7,2175.0
2013,8,3450.0
2013,9,2336.0
2013,10,292.0
2013,11,19.0
2013,12,5.0
2014,1,
2014,2,
2014,3,6.0
2014,4,
2014,5,298.0
2014,6,1217.0
2014,7,2329.0
2014,8,3407.0
2014,9,2333.0
2014,10,260.0
2014,11,
2014,12,
2015,1,
2015,2,
2015,3,
2015,4,6.0
2015,5,263.0
2015,6,1269.0
2015,7,2452.0
2015,8,3444.0
2015,9,2476.0
2015,10,243.0
2015,11,
2015,12,10.0
2016,1,
2016,2,
2016,3,0.0
2016,4,
2016,5,249.0
2016,6,1284.0
2016,7,2563.0
2016,8,3871.0
2016,9,2883.0
2016,10,271.0
2016,11,12.0
2016,12,13.0
2017,1,6.0
2017,2,
2017,3,
2017,4,
2017,5,304.0
2017,6,1331.0
2017,7,2435.0
2017,8,3800.0
2017,9,2569.0
2017,10,256.0
2017,11,24.0
2017,12,
2018,1,7.0
2018,2,
2018,3,
2018,4,
2018,5,336.0
2018,6,1480.0
2018,7,2481.0
2018,8,3823.0
2018,9,2522.0
2018,10,326.0
2018,11,9.0
2018,12,6.0
2019,1,
2019,2,5.0
2019,3,7.0
2019,4,6.0
2019,5,176.0
2019,6,1142.0
2019,7,2682.0
2019,8,3843.0
2019,9,2991.0
2019,10,350.0
2019,11,13.0
2019,12,
2020,1,0.0
2020,2,
2020,3,
2020,4,7.0
2020,5,528.0
2020,6,1451.0
2020,7,2717.0
2020,8,3682.0
2020,9,2684.0
2020,10,244.0
2020,11,19.0
2020,12,12.0
2021,1,
2021,2,
2021,3,
2021,4,9.0
2021,5,202.0
2021,6,1144.0
2021,7,2540.0
2021,8,3748.0
2021,9,3086.0
2021,10,345.0
2021,11,21.0
2021,12,5.0
2022,1,12.0
2022,2,7.0
2022,3,
2022,4,5.0
2022,5,442.0
2022,6,1590.0
2022,7,2465.0
2022,8,3311.0
2022,9,2239.0
2022,10,247.0
2022,11,15.0
2022,12,
2023,1,
2023,2,
2023,3,
2023,4,10.0
2023,5,414.0
2023,6,1272.0
2023,7,1700.0
