year,month,ag,ai,ar,be,bl,fr,gl,gr,ju,lu,ne,nw,ow,sg,so,sz,tg,ti,ur,vd,vs,zg,zh,
2010,1,0.0,21.0,,213,,57.0,0.0,18.0,30.0,,18.0,0.0,,12.0,15.0,9.0,0.0,9.0,5.0,27.0,39.0,0.0,0.0,
2010,2,0.0,,,142,0.0,37.0,0.0,18.0,26.0,,17.0,0.0,,12.0,15.0,9.0,0.0,9.0,5.0,25.0,35.0,0.0,0.0,
2010,3,0.0,,,141,0.0,35.0,0.0,15.0,30.0,,17.0,0.0,,13.0,16.0,9.0,0.0,9.0,6.0,24.0,31.0,0.0,0.0,
2010,4,22.0,24.0,,263,25.0,331.0,0.0,388.0,73.0,7.0,19.0,46.0,63.0,91.0,40.0,41.0,,58.0,6.0,185.0,37.0,0.0,0.0,32.0
2010,5,31.0,1904.0,2344.0,25877,379.0,16890.0,948.0,7855.0,4549.0,1589.0,4109.0,2178.0,4596.0,8245.0,2609.0,7658.0,,1061.0,410.0,23240.0,3226.0,144.0,371.0,4864.0
2010,6,21.0,4816.0,3585.0,77875,480.0,29933.0,9062.0,64533.0,4609.0,3757.0,8679.0,5760.0,10651.0,28366.0,4030.0,18916.0,,6417.0,9394.0,39558.0,22466.0,145.0,595.0,6330.0
2010,7,17.0,4737.0,3496.0,77988,471.0,29613.0,9001.0,66243.0,4408.0,3801.0,8647.0,5736.0,11059.0,27924.0,3999.0,18723.0,,7362.0,9555.0,39588.0,24678.0,136.0,517.0,6360.0
2010,8,21.0,2477.0,3066.0,70548,439.0,28153.0,8806.0,63120.0,4085.0,3493.0,8025.0,5394.0,9765.0,23872.0,3828.0,16465.0,,6960.0,9127.0,37822.0,24233.0,122.0,466.0,5964.0
2010,9,17.0,35.0,43.0,17573,74.0,10726.0,140.0,14572.0,3220.0,651.0,2782.0,921.0,3157.0,898.0,726.0,1825.0,,1726.0,837.0,22009.0,7159.0,,99.0,4583.0
2010,10,15.0,41.0,,893,37.0,707.0,,611.0,791.0,45.0,62.0,43.0,26.0,70.0,96.0,46.0,,189.0,22.0,357.0,358.0,,,401.0
2010,11,0.0,60.0,,159,0.0,40.0,,55.0,22.0,12.0,15.0,22.0,6.0,42.0,12.0,17.0,0.0,14.0,16.0,28.0,40.0,0.0,,47.0
2010,12,0.0,69.0,,149,0.0,26.0,0.0,28.0,20.0,,15.0,,5.0,23.0,12.0,16.0,0.0,14.0,,26.0,25.0,0.0,,47.0
2011,1,0.0,0.0,,141,0.0,25.0,0.0,27.0,17.0,,14.0,,5.0,10.0,11.0,9.0,0.0,13.0,,25.0,22.0,0.0,,5.0
2011,2,0.0,0.0,,145,0.0,25.0,0.0,23.0,17.0,,14.0,,5.0,10.0,11.0,8.0,0.0,13.0,,23.0,19.0,0.0,,
2011,3,0.0,0.0,,151,0.0,28.0,0.0,24.0,23.0,,14.0,,5.0,10.0,11.0,8.0,0.0,13.0,5.0,22.0,19.0,0.0,,
2011,4,38.0,62.0,29.0,691,40.0,1564.0,0.0,417.0,467.0,41.0,94.0,56.0,339.0,249.0,53.0,139.0,,15.0,57.0,416.0,103.0,0.0,,43.0
2011,5,38.0,3371.0,3002.0,36185,442.0,22891.0,4516.0,10855.0,4450.0,2701.0,5364.0,4071.0,8573.0,16381.0,3380.0,11797.0,,1248.0,2478.0,28655.0,5134.0,149.0,665.0,5521.0
2011,6,32.0,4595.0,3492.0,77514,479.0,29913.0,9041.0,64276.0,4554.0,3763.0,8475.0,5727.0,11194.0,28925.0,3897.0,18712.0,9.0,7217.0,9500.0,40273.0,23570.0,147.0,584.0,6194.0
2011,7,24.0,4503.0,3396.0,77101,456.0,29432.0,8965.0,65038.0,4394.0,3752.0,8519.0,5592.0,11040.0,28178.0,3810.0,18373.0,9.0,7515.0,9559.0,39723.0,24773.0,127.0,537.0,6146.0
2011,8,24.0,1691.0,2701.0,67071,418.0,27801.0,8728.0,62275.0,4100.0,3444.0,7912.0,5270.0,9598.0,23448.0,3591.0,15550.0,,7319.0,9065.0,38243.0,24191.0,118.0,467.0,5892.0
2011,9,21.0,14.0,47.0,16788,39.0,11024.0,175.0,16062.0,3154.0,728.0,2708.0,1007.0,2771.0,1017.0,946.0,1785.0,,2140.0,757.0,21423.0,8256.0,,61.0,4283.0
2011,10,,10.0,,970,39.0,883.0,6.0,819.0,661.0,39.0,194.0,60.0,17.0,51.0,163.0,47.0,0.0,262.0,77.0,465.0,379.0,,,338.0
2011,11,0.0,9.0,,197,27.0,90.0,6.0,55.0,37.0,7.0,57.0,20.0,,22.0,36.0,18.0,0.0,30.0,36.0,44.0,83.0,,,12.0
2011,12,0.0,8.0,,159,0.0,44.0,,45.0,19.0,0.0,16.0,18.0,,22.0,20.0,9.0,0.0,23.0,36.0,38.0,44.0,,,12.0
2012,1,0.0,7.0,,152,0.0,36.0,,41.0,20.0,0.0,17.0,,,19.0,19.0,9.0,0.0,22.0,14.0,38.0,43.0,,,11.0
