year,month,ai,ar,be,bl,fl,fr,gl,gr,ju,lu,ne,nw,ow,sg,so,sz,tg,ti,ur,vd,vs,zg,zh,
2010,1,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0
2010,2,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0
2010,3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,5,,,11.0,0.0,0.0,14.0,,,,,,,,0.0,,5.0,0.0,,0.0,36.0,6.0,0.0,0.0,
2010,6,12.0,8.0,137.0,0.0,,68.0,21.0,91.0,10.0,22.0,7.0,13.0,30.0,50.0,8.0,40.0,0.0,9.0,14.0,116.0,33.0,0.0,,8.0
2010,7,23.0,27.0,240.0,,,71.0,47.0,209.0,7.0,36.0,18.0,28.0,43.0,103.0,14.0,95.0,0.0,24.0,50.0,157.0,57.0,,,13.0
2010,8,29.0,23.0,356.0,0.0,6.0,106.0,59.0,282.0,11.0,54.0,15.0,42.0,78.0,119.0,,125.0,0.0,24.0,49.0,263.0,103.0,7.0,0.0,14.0
2010,9,10.0,22.0,243.0,,,76.0,42.0,160.0,13.0,27.0,11.0,19.0,34.0,44.0,5.0,79.0,0.0,18.0,38.0,215.0,110.0,5.0,0.0,21.0
2010,10,0.0,0.0,31.0,0.0,,21.0,9.0,31.0,16.0,5.0,6.0,6.0,5.0,,,13.0,0.0,15.0,,64.0,45.0,0.0,0.0,8.0
2010,11,0.0,0.0,14.0,5.0,0.0,6.0,,,,0.0,,,0.0,0.0,0.0,,0.0,,,,15.0,0.0,0.0,0.0
2010,12,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2011,1,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2011,2,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2011,3,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2011,4,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,5,,6.0,31.0,0.0,,37.0,0.0,,,,,6.0,,12.0,,6.0,0.0,,5.0,45.0,5.0,0.0,,6.0
2011,6,11.0,6.0,138.0,,,71.0,25.0,97.0,,22.0,13.0,18.0,29.0,67.0,6.0,45.0,0.0,11.0,14.0,114.0,37.0,,0.0,9.0
2011,7,20.0,24.0,252.0,0.0,8.0,83.0,32.0,198.0,7.0,41.0,8.0,25.0,59.0,94.0,,78.0,0.0,30.0,51.0,169.0,54.0,,0.0,8.0
2011,8,27.0,27.0,374.0,0.0,5.0,94.0,47.0,265.0,14.0,43.0,28.0,18.0,58.0,114.0,9.0,94.0,0.0,22.0,44.0,196.0,77.0,,0.0,9.0
2011,9,10.0,13.0,199.0,0.0,,87.0,34.0,183.0,17.0,42.0,15.0,24.0,42.0,53.0,,60.0,0.0,28.0,42.0,238.0,105.0,,,30.0
2011,10,0.0,,51.0,0.0,0.0,38.0,,42.0,13.0,5.0,8.0,6.0,6.0,,,7.0,0.0,16.0,,57.0,67.0,0.0,0.0,
2011,11,0.0,0.0,11.0,0.0,0.0,,0.0,5.0,5.0,0.0,,0.0,0.0,,,0.0,0.0,,,,7.0,0.0,0.0,
2011,12,0.0,0.0,,0.0,0.0,,0.0,6.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,7.0,0.0,0.0,0.0
2012,1,,0.0,5.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0
2012,2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2012,3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2012,4,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,,0.0,0.0,0.0
2012,5,,,12.0,0.0,0.0,19.0,0.0,,14.0,,,0.0,,,,6.0,0.0,,0.0,22.0,,0.0,0.0,
2012,6,,14.0,106.0,,0.0,80.0,12.0,84.0,0.0,14.0,9.0,11.0,14.0,54.0,9.0,41.0,0.0,16.0,14.0,100.0,27.0,,0.0,5.0
2012,7,16.0,16.0,249.0,,,81.0,29.0,168.0,9.0,37.0,12.0,25.0,58.0,106.0,8.0,74.0,0.0,37.0,51.0,150.0,40.0,,0.0,
2012,8,32.0,30.0,295.0,,,99.0,40.0,183.0,21.0,40.0,21.0,24.0,60.0,119.0,9.0,105.0,0.0,45.0,28.0,179.0,91.0,,,39.0
2012,9,10.0,23.0,239.0,,,74.0,30.0,170.0,6.0,39.0,27.0,13.0,45.0,45.0,7.0,81.0,0.0,30.0,40.0,201.0,110.0,,0.0,14.0
