year,month,deaths
2010,1,11.0
2010,2,9.0
2010,3,
2010,4,5.0
2010,5,95.0
2010,6,701.0
2010,7,1267.0
2010,8,1768.0
2010,9,1197.0
2010,10,285.0
2010,11,55.0
2010,12,20.0
2011,1,12.0
2011,2,9.0
2011,3,11.0
2011,4,9.0
2011,5,178.0
2011,6,740.0
2011,7,1247.0
2011,8,1568.0
2011,9,1233.0
2011,10,331.0
2011,11,49.0
2011,12,26.0
2012,1,16.0
2012,2,8.0
2012,3,7.0
2012,4,15.0
2012,5,96.0
2012,6,615.0
2012,7,1175.0
2012,8,1468.0
2012,9,1210.0
2012,10,381.0
2012,11,44.0
2012,12,9.0
2013,1,
2013,2,
2013,3,
2013,4,6.0
2013,5,82.0
2013,6,520.0
2013,7,1128.0
2013,8,1452.0
2013,9,1372.0
2013,10,409.0
2013,11,28.0
2013,12,11.0
2014,1,5.0
2014,2,
2014,3,6.0
2014,4,6.0
2014,5,133.0
2014,6,751.0
2014,7,1361.0
2014,8,1721.0
2014,9,1464.0
2014,10,338.0
2014,11,28.0
2014,12,5.0
2015,1,0.0
2015,2,
2015,3,0.0
2015,4,
2015,5,92.0
2015,6,750.0
2015,7,1391.0
2015,8,1722.0
2015,9,1344.0
2015,10,232.0
2015,11,22.0
2015,12,
2016,1,
2016,2,
2016,3,
2016,4,6.0
2016,5,122.0
2016,6,796.0
2016,7,1229.0
2016,8,1665.0
2016,9,1315.0
2016,10,286.0
2016,11,23.0
2016,12,
2017,1,7.0
2017,2,0.0
2017,3,
2017,4,
2017,5,87.0
2017,6,800.0
2017,7,1355.0
2017,8,1657.0
2017,9,1310.0
2017,10,294.0
2017,11,13.0
2017,12,
2018,1,6.0
2018,2,
2018,3,
2018,4,
2018,5,121.0
2018,6,700.0
2018,7,1407.0
2018,8,1789.0
2018,9,1350.0
2018,10,270.0
2018,11,25.0
2018,12,10.0
2019,1,9.0
2019,2,
2019,3,
2019,4,9.0
2019,5,79.0
2019,6,639.0
2019,7,1254.0
2019,8,1654.0
2019,9,1492.0
2019,10,328.0
2019,11,24.0
2019,12,6.0
2020,1,
2020,2,5.0
2020,3,
2020,4,14.0
2020,5,155.0
2020,6,902.0
2020,7,1355.0
2020,8,1790.0
2020,9,1123.0
2020,10,262.0
2020,11,19.0
2020,12,8.0
2021,1,
2021,2,
2021,3,7.0
2021,4,10.0
2021,5,72.0
2021,6,707.0
2021,7,1295.0
2021,8,1682.0
2021,9,1283.0
2021,10,333.0
2021,11,31.0
2021,12,
2022,1,5.0
2022,2,
2022,3,
2022,4,11.0
2022,5,168.0
2022,6,885.0
2022,7,1293.0
2022,8,1596.0
2022,9,1104.0
2022,10,269.0
2022,11,37.0
2022,12,10.0
2023,1,5.0
2023,2,6.0
2023,3,8.0
2023,4,
2023,5,125.0
2023,6,751.0
2023,7,1140.0
