year,month,male,female
2010,1,57,424
2010,2,43,316
2010,3,46,309
2010,4,91,1667
2010,5,5377,119704
2010,6,16969,343013
2010,7,17611,346452
2010,8,16587,319668
2010,9,5610,88171
2010,10,362,4460
2010,11,84,527
2010,12,65,422
2011,1,34,302
2011,2,30,299
2011,3,33,312
2011,4,175,4743
2011,5,7618,174253
2011,6,17559,344524
2011,7,17825,343137
2011,8,16815,312106
2011,9,5909,89304
2011,10,423,5068
2011,11,76,718
2011,12,53,472
2012,1,42,419
2012,2,37,406
2012,3,46,401
2012,4,101,1518
2012,5,5159,110208
2012,6,18060,337265
2012,7,18827,340088
2012,8,18239,318872
2012,9,6532,95714
2012,10,393,2884
2012,11,44,269
2012,12,29,181
2013,1,22,180
2013,2,21,179
2013,3,21,230
2013,4,54,966
2013,5,2765,55506
2013,6,18343,330150
2013,7,19858,340924
2013,8,20088,323600
2013,9,7713,108636
2013,10,455,5654
2013,11,38,247
2013,12,27,211
2014,1,12,138
2014,2,10,138
2014,3,29,216
2014,4,104,2545
2014,5,7779,148361
2014,6,21120,348061
2014,7,21767,349855
2014,8,21032,320245
2014,9,7077,91521
2014,10,516,5371
2014,11,11,184
2014,12,7,90
2015,1,18,115
2015,2,18,115
2015,3,16,118
2015,4,110,1709
2015,5,7863,142173
2015,6,21509,349149
2015,7,22364,350241
2015,8,21935,326788
2015,9,7444,96213
2015,10,398,4167
2015,11,35,133
2015,12,25,88
2016,1,26,87
2016,2,25,91
2016,3,28,91
2016,4,117,1397
2016,5,6150,116079
2016,6,21893,349247
2016,7,22993,353816
2016,8,22980,333342
2016,9,8467,108670
2016,10,498,5591
2016,11,25,174
2016,12,25,102
2017,1,24,111
2017,2,26,114
2017,3,27,129
2017,4,104,1324
2017,5,7639,129598
2017,6,23411,354854
2017,7,24254,356391
2017,8,23713,330705
2017,9,7209,82080
2017,10,333,4725
2017,11,26,158
2017,12,25,120
2018,1,25,126
2018,2,26,125
2018,3,27,128
2018,4,156,2581
2018,5,8745,147307
2018,6,23848,353513
2018,7,24573,355004
2018,8,23515,323921
2018,9,8100,96581
2018,10,388,3943
2018,11,34,204
2018,12,27,156
2019,1,28,128
2019,2,30,131
2019,3,33,137
2019,4,171,1971
2019,5,5288,87029
2019,6,23258,342914
2019,7,24742,352223
2019,8,24516,330647
2019,9,9240,106797
2019,10,574,5578
2019,11,39,175
2019,12,33,111
2020,1,37,113
2020,2,39,113
2020,3,38,114
2020,4,211,3387
2020,5,11996,190710
2020,6,24517,348439
2020,7,25009,348234
2020,8,23727,315377
2020,9,7013,80411
2020,10,326,3726
2020,11,56,173
2020,12,55,123
2021,1,55,124
2021,2,53,123
2021,3,36,116
2021,4,150,2056
2021,5,4688,83678
2021,6,24207,341522
2021,7,25566,349112
2021,8,25047,326801
2021,9,9803,110858
2021,10,667,6834
2021,11,54,195
2021,12,20,119
2022,1,24,113
2022,2,26,119
2022,3,26,126
2022,4,217,3170
2022,5,12322,187663
2022,6,26177,352203
2022,7,26742,351219
2022,8,24545,313307
2022,9,7043,79138
2022,10,560,6387
2022,11,45,223
2022,12,46,135
2023,1,39,127
2023,2,38,130
2023,3,10,97
2023,4,191,2372
2023,5,11012,159806
2023,6,26770,350764
2023,7,27111,351785
