year,month,dairy,other_cow,not_defined
2010,1,69,74,338
2010,2,47,66,246
2010,3,46,68,241
2010,4,176,211,1371
2010,5,29515,8909,86657
2010,6,90630,28989,240363
2010,7,90498,29751,243814
2010,8,79204,28902,228149
2010,9,12980,9679,71122
2010,10,385,466,3971
2010,11,101,96,414
2010,12,85,87,315
2011,1,56,51,229
2011,2,55,51,223
2011,3,53,55,237
2011,4,1168,324,3426
2011,5,42534,12456,126881
2011,6,91633,30202,240248
2011,7,89993,30604,240365
2011,8,76910,29574,222437
2011,9,13182,10374,71657
2011,10,394,509,4588
2011,11,112,106,576
2011,12,81,74,370
2012,1,75,67,319
2012,2,74,62,307
2012,3,78,62,307
2012,4,231,182,1206
2012,5,26149,8964,80254
2012,6,91641,30448,233236
2012,7,91411,31304,236200
2012,8,82007,30606,224498
2012,9,13977,11156,77113
2012,10,245,517,2515
2012,11,63,62,188
2012,12,36,41,133
2013,1,32,31,139
2013,2,33,29,138
2013,3,74,30,147
2013,4,187,64,769
2013,5,13912,5027,39332
2013,6,89715,31615,227163
2013,7,92816,32997,234969
2013,8,85263,32504,225921
2013,9,16865,12794,86690
2013,10,416,625,5068
2013,11,73,39,173
2013,12,61,28,149
2014,1,25,24,101
2014,2,25,24,99
2014,3,28,39,178
2014,4,436,242,1971
2014,5,37458,12210,106472
2014,6,95270,34434,239477
2014,7,95393,35048,241181
2014,8,82984,33689,224604
2014,9,13760,11092,73746
2014,10,488,665,4734
2014,11,28,14,153
2014,12,11,10,76
2015,1,13,28,92
2015,2,13,27,93
2015,3,14,27,93
2015,4,269,134,1416
2015,5,35131,12668,102237
2015,6,96322,35291,239045
2015,7,95324,36005,241276
2015,8,84330,34934,229459
2015,9,14552,11990,77115
2015,10,374,402,3789
2015,11,19,50,99
2015,12,17,35,61
2016,1,16,35,62
2016,2,17,36,63
2016,3,17,36,66
2016,4,250,99,1165
2016,5,28988,10001,83240
2016,6,95279,36706,239155
2016,7,96005,37584,243220
2016,8,87371,36459,232492
2016,9,18629,13466,85042
2016,10,577,596,4916
2016,11,43,35,121
2016,12,14,31,82
2017,1,12,31,92
2017,2,13,31,96
2017,3,14,38,104
2017,4,203,142,1083
2017,5,33480,12060,91697
2017,6,96995,39161,242109
2017,7,96385,39732,244528
2017,8,85107,38349,230962
2017,9,12178,11594,65517
2017,10,442,437,4179
2017,11,28,43,113
2017,12,17,42,86
2018,1,17,42,92
2018,2,16,42,93
2018,3,16,42,97
2018,4,519,235,1983
2018,5,37712,13998,104342
2018,6,95216,39835,242310
2018,7,94350,40458,244769
2018,8,81466,38485,227485
2018,9,14381,13455,76845
2018,10,343,589,3399
2018,11,37,48,153
2018,12,18,44,121
2019,1,18,44,94
2019,2,18,45,98
2019,3,20,45,105
2019,4,283,232,1627
2019,5,22690,8261,61366
2019,6,93327,39295,233550
2019,7,94259,41122,241584
2019,8,84823,40118,230222
2019,9,16651,15067,84319
2019,10,448,759,4945
2019,11,35,45,134
2019,12,15,43,86
2020,1,15,43,92
2020,2,16,43,93
2020,3,15,43,94
2020,4,696,306,2596
2020,5,51661,18934,132111
2020,6,94637,41250,237069
2020,7,93265,41748,238230
2020,8,78612,40053,220439
2020,9,12066,11397,63961
2020,10,421,376,3255
2020,11,16,50,163
2020,12,16,38,124
2021,1,17,39,123
2021,2,18,39,119
2021,3,17,39,96
2021,4,372,227,1607
2021,5,22244,7780,58342
2021,6,92823,41771,231135
2021,7,93993,43171,237514
2021,8,84677,41723,225448
2021,9,18182,16014,86465
2021,10,587,863,6051
2021,11,48,41,160
2021,12,25,34,80
2022,1,26,37,74
2022,2,27,39,79
2022,3,26,39,87
2022,4,667,314,2406
2022,5,49331,19347,131307
2022,6,94710,43815,239855
2022,7,93116,44102,240743
2022,8,76702,41208,219942
2022,9,12496,11317,62368
2022,10,566,732,5649
2022,11,63,33,172
2022,12,25,30,126
2023,1,25,29,112
2023,2,24,29,115
2023,3,26,26,55
2023,4,348,283,1932
2023,5,40982,17418,112418
2023,6,91967,44948,240619
2023,7,91078,45439,242379
