year,month,total
2010,1,481
2010,2,359
2010,3,355
2010,4,1758
2010,5,125081
2010,6,359982
2010,7,364063
2010,8,336255
2010,9,93781
2010,10,4822
2010,11,611
2010,12,487
2011,1,336
2011,2,329
2011,3,345
2011,4,4918
2011,5,181871
2011,6,362083
2011,7,360962
2011,8,328921
2011,9,95213
2011,10,5491
2011,11,794
2011,12,525
2012,1,461
2012,2,443
2012,3,447
2012,4,1619
2012,5,115367
2012,6,355325
2012,7,358915
2012,8,337111
2012,9,102246
2012,10,3277
2012,11,313
2012,12,210
2013,1,202
2013,2,200
2013,3,251
2013,4,1020
2013,5,58271
2013,6,348493
2013,7,360782
2013,8,343688
2013,9,116349
2013,10,6109
2013,11,285
2013,12,238
2014,1,150
2014,2,148
2014,3,245
2014,4,2649
2014,5,156140
2014,6,369181
2014,7,371622
2014,8,341277
2014,9,98598
2014,10,5887
2014,11,195
2014,12,97
2015,1,133
2015,2,133
2015,3,134
2015,4,1819
2015,5,150036
2015,6,370658
2015,7,372605
2015,8,348723
2015,9,103657
2015,10,4565
2015,11,168
2015,12,113
2016,1,113
2016,2,116
2016,3,119
2016,4,1514
2016,5,122229
2016,6,371140
2016,7,376809
2016,8,356322
2016,9,117137
2016,10,6089
2016,11,199
2016,12,127
2017,1,135
2017,2,140
2017,3,156
2017,4,1428
2017,5,137237
2017,6,378265
2017,7,380645
2017,8,354418
2017,9,89289
2017,10,5058
2017,11,184
2017,12,145
2018,1,151
2018,2,151
2018,3,155
2018,4,2737
2018,5,156052
2018,6,377361
2018,7,379577
2018,8,347436
2018,9,104681
2018,10,4331
2018,11,238
2018,12,183
2019,1,156
2019,2,161
2019,3,170
2019,4,2142
2019,5,92317
2019,6,366172
2019,7,376965
2019,8,355163
2019,9,116037
2019,10,6152
2019,11,214
2019,12,144
2020,1,150
2020,2,152
2020,3,152
2020,4,3598
2020,5,202706
2020,6,372956
2020,7,373243
2020,8,339104
2020,9,87424
2020,10,4052
2020,11,229
2020,12,178
2021,1,179
2021,2,176
2021,3,152
2021,4,2206
2021,5,88366
2021,6,365729
2021,7,374678
2021,8,351848
2021,9,120661
2021,10,7501
2021,11,249
2021,12,139
2022,1,137
2022,2,145
2022,3,152
2022,4,3387
2022,5,199985
2022,6,378380
2022,7,377961
2022,8,337852
2022,9,86181
2022,10,6947
2022,11,268
2022,12,181
2023,1,166
2023,2,168
2023,3,107
2023,4,2563
2023,5,170818
2023,6,377534
2023,7,378896
