owner_language,name,rank_language,count_language,rank_overall,count_total
de,Bella,1,3761,1,4369
fr,Bella,1,559,1,4369
it,Bella,3,47,1,4369
de,Fiona,2,2859,2,3208
it,Fiona,5,41,2,3208
de,Bianca,4,2684,3,3030
it,Bianca,6,37,3,3030
de,Sina,3,2802,4,2918
de,Nora,5,2550,5,2839
it,Nora,9,34,5,2839
it,Tina,2,48,6,2805
de,Tina,6,2396,6,2805
fr,Tina,8,361,6,2805
fr,Nina,7,362,7,2687
de,Nina,9,2291,7,2687
it,Nina,9,34,7,2687
it,Luna,1,69,8,2648
de,Luna,8,2330,8,2648
de,Belinda,7,2373,9,2621
it,Belinda,8,35,9,2621
de,Diana,10,2201,10,2509
it,Viola,7,36,15,2178
it,Stella,4,43,39,1617
fr,Iris,5,392,56,1418
it,Perla,9,34,269,593
fr,Vanille,6,390,292,563
fr,Etoile,3,414,301,552
fr,Tulipe,2,456,317,525
fr,Noisette,4,408,340,498
fr,Caline,10,341,413,420
fr,Cerise,9,350,442,393
